cluster_a	cluster_b	name_a	name_b	type_a	type_b	settlements_a	settlements_b	db_a	db_b	db_name_a	db_name_b	decision_a	decision_b	shared_hosts	jaccard	idf_score	shared_host_headings	pair_review_decision	flag
ORG-C00270	ORG-C00702	יידישע טעאַטריקל עלייענס	לעקסיקאָן פון יידישן טעאַטער	Theatre-related Society/ Union	Publisher	ניו יאָרק | ניו-יאָרק		1524	310	יידישע טעאַטריקל עלייענס	לעקסיקאָן פון יידישן טעאַטער	NEW	ALIGN	6	0.083	1.942	ווייסמאַן, ראובן | יידישע טעאַטריקל עלייענס | ירדני, מרדכי [מאָטל שערמאַן] | קאָהען, טשאַרלי [שבתי) | רומשינסקי, יוסף [רומשיסקי] | פֿרידלענדער, מאַקס		
ORG-C00378	ORG-C00515_Q01	אַרטש סטריט טעאַטער	טאַליאַ-טעאַטער	Theatre	Theatre	פֿילאַדעלפיע | פולאדעלפיע | פילאַדעלפיע | פילאָדעלפיע | פֿילאַדעלפיע | פֿילאַדעלפֿיע | פֿילאַדעלפֿיער | פֿילאַָעלפֿיער | פֿילאָדעלפיע | פֿילאָדעלפֿיע | פֿילאָדעלפֿיער | פֿילאדעלפיע | פֿילאדעלפֿייע | פֿילאדעלפֿיע | פֿילאדעלפֿיער	ניו יאָרק | ניו-יאָרק | ניוּ-יאָרק | ניו־יאָרק	190	130	Arch Street Theatre	Thalia Theatre|Bowery Theatre	ALIGN	ALIGN	7	0.065	1.937	ווייסמאַן, דאָראַ | סעקונדאַ, שלום | פינקעל, מאָריס [משה] | קאַטץ, משה | קאָרנבליט, ז[ישע] | שאָר [שור], אַנשל | פֿיינמאַן, דיינע		
ORG-C00180_Q01	ORG-C00384	יידישן קונסט-טעאַטער	יידישער אַקטיאָרן-יוניע	Theatre	Theatre-related Society/ Union	ניו יאָרק | ניו יארק | ניו יאָָרק | ניו-יאָרק | ניו-יאָָרק	ניו יאָרק | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | פֿילאָדעלפיע	1459	442	יידישן קונסט-טעאַטער (ניו יאָרק)	Yiddish artists union	ALIGN	ALIGN	7	0.034	1.935	טראָסבערג, משה | מייזעל, היימאַן (חיים) | נאַדיר, משה [יצחק רייז] | נעמי, לאה [קיגעל-אייזענבערג] | קעשיר איזידאָר [זישע קאַסירער] | קרעסין, מרים | ראָזען, מאַקס [מאַנעס ראָזענצווייג]		
ORG-C00515_Q01	ORG-C00634	טאַליאַ-טעאַטער	קעסלערס סעקאָנד עוועניו טעאַטער	Theatre	Theatre	ניו יאָרק | ניו-יאָרק | ניוּ-יאָרק | ניו־יאָרק	ניו יאָרק | ניו יאָרקער | ניו-יאָרק	130	128	Thalia Theatre|Bowery Theatre	סעקאָנד עוועניו טעאַטער	ALIGN	ALIGN	7	0.074	1.933	ווילנער, מאַקס, ר | טאָמאַשעווסקי, בעסי [ברכה באומפעלד-קויפמאַן] | ליבּין, ז. [ישראל-זלמן הוּרוויטש] | ליפּצין, קעני [קריינע סאָניעס, סאַכאַר] | מאָריסאָן, מאָריטץ [משה קאָהן] | נאַדאָלסקי, סאָניאַ [שרה קאַץ] | קעסלער, דוד		
ORG-C00353	ORG-C03902_Q01	אוירווינג פלייס טעאַטער	געביל	Theatre	Theatre	ניו יאָרק | ניו יאָָרק | ניו- יאָרק | ניו-יאָרק	ניו יאָרק | ניו יארק	116		Irwing Place (Deutsches) Theatre		ALIGN		7	0.084	1.926	בליי העלען [יונה] | בלייך, יהודה | בלייך, יהודה | גאָלדקנאָפּ, אַברהם דר. | גראַף, פּיטער [פתחיה] | לאַוויץ, פּעפּי [פלפּול] | לאָהנפעלד, סעמיוּעל		
ORG-C00156	ORG-C00515_Q01	ליפּצין-טעאַטער	טאַליאַ-טעאַטער	Theatre	Theatre	ניו יאָרק | ניו-יאָרק	ניו יאָרק | ניו-יאָרק | ניוּ-יאָרק | ניו־יאָרק	299	130	Keni Lipzin Troupe (star tour)	Thalia Theatre|Bowery Theatre	ALIGN	ALIGN	7	0.078	1.923	"גאָלדשטיין, דזשאָן ס. [יעקב] | היינע-חיימאָוויטש, משה | ליפּצין, קעני [קריינע סאָניעס, סאַכאַר] | מאָגולעסקאָ, זיגמונט [זעלייג מאָגילעווסקי] | מאָריסאָן, מאָריטץ [משה קאָהן] | מאָשקאָוויטש, מאָריס | „ליטעראַרישע טרופּע""."		
ORG-C00103	ORG-C00920	ווילנער טרופּע	אַרטעף	Company on Tour	Theatre	אַמעריקע | בוקאַרעסט | ביאַליסטאָק | בערלין | בראַנקס | בראַנקס, ניו-יאָרק | וואַרשע | ווילנע | ווין | יאָס' | לאָס אַנדזשעלעס | לעמבערג | לאָדזש | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | ניויאָרק | פּאַריז | פאַריז | קליוולאַנד | קעשענעוו | קראָקע | קראקע | שיקאַגאָ | שיקאַגע | שיקאָגאָ	ניו יאָרק | ניו-יאָרק	551	110	ווילנער טרופּע	Artef Theatre	ALIGN	ALIGN	6	0.032	1.909	אַקסענפעלד, ישראל | אייזענבערג, ליובאַ | ביראָ, פעלאַ [פֿיינרייך] | וועליטשאַנסקי, ישראל | זאָלאָטאַראָף, מאו | עלשטיין אַברהם		
ORG-C00180_Q01	ORG-C00270	יידישן קונסט-טעאַטער	יידישע טעאַטריקל עלייענס	Theatre	Theatre-related Society/ Union	ניו יאָרק | ניו יארק | ניו יאָָרק | ניו-יאָרק | ניו-יאָָרק	ניו יאָרק | ניו-יאָרק	1459	1524	יידישן קונסט-טעאַטער (ניו יאָרק)	יידישע טעאַטריקל עלייענס	ALIGN	NEW	6	0.046	1.896	גאָלדשמידט, יחיאָל | זילבערט ראָזאַ | קאָהען, טשאַרלי [שבתי) | ראָזענטאַל, מאַקס | רומשינסקי, יוסף [רומשיסקי] | שעהר, מאיר		
ORG-C00257_Q01	ORG-C00384	פֿאַרווערטס	יידישער אַקטיאָרן-יוניע	Journals/ Newspapers	Theatre-related Society/ Union	נ. י. | ניו יאָרק | ניו-יאָרק | ניויאָרק	ניו יאָרק | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | פֿילאָדעלפיע	692	442	פֿאַרווערטס	Yiddish artists union	ALIGN	ALIGN	7	0.037	1.887	ירדני, מרדכי [מאָטל שערמאַן] | קעסטין, סעם | קרעסין, מרים | ראָגאָוו, דוד | שוואַרץ, מאָריס [אַברהם משה] | שווייד, מאַרק [וואָלף-מרדכי] | פֿרידמאַן, יצחק		
ORG-C00157_Q01	ORG-C00360_Q01	ליבערטי-טעאַטער	האָפּקינסאָן-טעאַטער	Theatre	Theatre	ניו יאָרק | ניו-יאָרק | ניויאָָרק | פּראָווינץ	ברוקליינער | ברוקלין | ברוקלינער		282		Hopkinson Theatre	SPLIT	ALIGN	7	0.08	1.879	אַדלער, יוליוס | וואולף, סיימאַן [שמחה] | ווייס, לואיס [לוי] | מאַרקאָוויטש, לואי [ישראל-לייב מאָרדקאָוויטש] | עפּשטיין, וויליאַם (הלל) | קרעמער לואיס | רעכטצייט, יעקב		
ORG-C00595	ORG-C00633_Q01	פּראָספּעקט-טעאַטער	פּיפּלס-טעאַטער	Theatre	Theatre	בראַנקס | בראָנקס | ניו יאָרק | ניו-יאָרק | ניויאָרק	ניו יאָרק | ניו יארק | ניו יאָרק | ניו-יאָרק | ניו-יאָרקער | ניוּ-יאָרק	364	120	Prospect Theatre	People's Theatre NY	ALIGN	ALIGN	7	0.061	1.878	וויינטרויב, זיגמונט | טאָמאַשעווסקי, בעסי [ברכה באומפעלד-קויפמאַן] | יאָנג, קלאַראַ [חיה-ריסיע שפּיקאָליצער] | פּאַסטערנאַק, ווילי | פּערלמוטער, אַרנאָלד (אַהרל׳ע) | קאַרפּ, ראָזע | ראָזענטאַל, מאַקס		
ORG-C00103	ORG-C00203	ווילנער טרופּע	הירשביין-טרופּע	Company on Tour	Traveling Company	אַמעריקע | בוקאַרעסט | ביאַליסטאָק | בערלין | בראַנקס | בראַנקס, ניו-יאָרק | וואַרשע | ווילנע | ווין | יאָס' | לאָס אַנדזשעלעס | לעמבערג | לאָדזש | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | ניויאָרק | פּאַריז | פאַריז | קליוולאַנד | קעשענעוו | קראָקע | קראקע | שיקאַגאָ | שיקאַגע | שיקאָגאָ	אָדעם | אָדעס | וואַרשע | יעקאַטערינאָסלאָוו	551	276	ווילנער טרופּע	Hebrew Actors' Union (HAU)	ALIGN	ALIGN	7	0.038	1.878	אָפּשאַצונגען | הערמאַן, דוד | ווענדאָרף ראובן | זילבּערבּערג, וואָלף | יושקעוויטש, סעמיאָן | נעמי, לאה [קיגעל-אייזענבערג] | עלקין, מענדל		
ORG-C00161_Q01	ORG-C00682	ראָלאַנד-טעאַטער	סעקאָנד עוועניו טעאַטער	Theatre	Theatre	ברוקלין | ברוקלינער	New York | ניו יאָרק | ניו יארק | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער	1526	128	ראָלאַנד-טעאַטער	סעקאָנד עוועניו טעאַטער	NEW	ALIGN	7	0.061	1.87	בירנבוים, לואיס [יעקב לייב] | בלייך, יהודה | וואולף, סיימאַן [שמחה] | יחסן, מרדכי | מיכאַלעסקאָ, מיכאל [ווייסבּלאַט] | פעלד הערי | רויזעלע ליבקין		
ORG-C00682	ORG-C00683	סעקאָנד עוועניו טעאַטער	פאַרקוועי טעאַטער	Theatre	Theatre	New York | ניו יאָרק | ניו יארק | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער	ברוקלין	128	1777	סעקאָנד עוועניו טעאַטער	פאַרקוועי טעאַטער	ALIGN	NEW	7	0.072	1.864	יחסן, מרדכי | לובעלסקאַ, פּאָליאַ | ליפשיץ, פֿריידעלע | קאַלמאַנאָוויטש, הערי | קרעסין, מרים | רעכצייט, סימאָר (שמעון ישעיהו] | פֿאָפּער, דוד		
ORG-C00317	ORG-C01140	פישזאָןס טרופּע	סאָבסיי	Traveling Company	Traveling Company	אָדעס | בערדיטשעוו | וואַרשע | זשיטאָמיר | יעקאַטערינאָסלאַוו | כאָרקאָוו | סימפעראָפּאָל | קאנאַטאָפּ	אָדעם | אָדעס | ווילנע | יעקאַטערינאָסלאָוו | קאָלאַראַש | קעלץ | קעשענעוו | ריגע	506	373	ביראָ ביאָזשאַנער יידישן מלוכה-טעאַטער	סאָביים טרופּע	ALIGN	ALIGN	5	0.071	1.85	וואַקסמאַן, יעקב | מאַכאָראָווסקאַ, חנה [געכט] | מעדוויעדעוואָ ראַיסע | ראָזענטאָל, באָריס | ריכטער נייטאַן		
ORG-C00384	ORG-C00684	יידישער אַקטיאָרן-יוניע	גרענד-טעאַטער	Theatre-related Society/ Union	Theatre	ניו יאָרק | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | פֿילאָדעלפיע	ניו יאָרק | ניו יארק | ניו-יאָרק | ניוּ-יאָרק	442	115	Yiddish artists union	Grand Theatre	ALIGN	ALIGN	6	0.038	1.839	טעפּליצקי, מענדעל | פעלד הערי | קרעמער איידא | קרעמער לואיס | שאַפּיראָ, טשאַרלז | שעכטער לעאָן		
ORG-C00089	ORG-C02149_Q01	ווינדזאָר-טעאַטער	רומעניע-אָפּערע-הויז	Theatre	Theatre	ניו יאָרק | ניו יארק | ניו יאָָרק | ניו יאָרק | ניו-יאָרק | ניו-יאָרקער	ניו יאָרק | ניו יארק | ניו-יאָרק	134	125	Windsor Theatre	Roumanian Opera House|Central Theatre	ALIGN	ALIGN	7	0.1	1.836	טאָמאַשעווסקי, בעסי [ברכה באומפעלד-קויפמאַן] | מאַרקס, דאָלף [ראָדקינסאָן] | מאָגולעסקאָ, זיגמונט [זעלייג מאָגילעווסקי] | פיינמאַן, זיגמונד | ראָזענפעלד, מאָריס [משה יעקב, אַלטער] | ראָטשטיין, עליאַס | פֿיינמאַן, דיינע		
ORG-C00103	ORG-C00207	ווילנער טרופּע	חדר	Company on Tour	Education	אַמעריקע | בוקאַרעסט | ביאַליסטאָק | בערלין | בראַנקס | בראַנקס, ניו-יאָרק | וואַרשע | ווילנע | ווין | יאָס' | לאָס אַנדזשעלעס | לעמבערג | לאָדזש | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | ניויאָרק | פּאַריז | פאַריז | קליוולאַנד | קעשענעוו | קראָקע | קראקע | שיקאַגאָ | שיקאַגע | שיקאָגאָ	ווילנע | קלעשטשעל	551		ווילנער טרופּע		ALIGN	DESCRIPTIVE	6	0.027	1.834	אַַזראַ, אַלעקסאַנדער [אָרליוק] | אַרנשטיין, מאַרק [אַנדזשעי מאַרעק] | אייזענבערג, אַברהם | בערקאָוויטש, אַברהם | לוּבאָצקי, יעקב | קאָדיסאָן, לייב [שוסטער]		
ORG-C00052	ORG-C00105	אַראַראַט	אַזאַזעל			לאָדזש | לאָדזש	וואַרשע	489	636	בורג-טעאַטער	אַזאַזעל	NEW	NEW	6	0.176	1.829	אַבאָזשאַנעק, יעקב | בערלעווי הענריק | געבירטיג, מרדכי [בערטיג] | וויינשטאָק, שמחה | מאַטום, דינה | פּאַטאַשינסקי, משה		
ORG-C00103	ORG-C00178_Q01	ווילנער טרופּע	נייער יידישער טעאַטער	Company on Tour	Theatre	אַמעריקע | בוקאַרעסט | ביאַליסטאָק | בערלין | בראַנקס | בראַנקס, ניו-יאָרק | וואַרשע | ווילנע | ווין | יאָס' | לאָס אַנדזשעלעס | לעמבערג | לאָדזש | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | ניויאָרק | פּאַריז | פאַריז | קליוולאַנד | קעשענעוו | קראָקע | קראקע | שיקאַגאָ | שיקאַגע | שיקאָגאָ	ריגע | ריגער	551	1026	ווילנער טרופּע	נייער יידישער טעאַטער	ALIGN	NEW	6	0.033	1.816	אַש, שלום | בוזגאָן, חבל | וויטאַליין פֿרידע [שימעליסקא, לאַפין] | וויטאָלין, פֿרידאָ [לאַפּין] | ווייכערט, מיכאל, דר. | שאַפּיראָ, אַננאַ (עני)		
ORG-C00353	ORG-C00635_Q01	אוירווינג פלייס טעאַטער	פּאָבליק-טעאַטער	Theatre	Theatre	ניו יאָרק | ניו יאָָרק | ניו- יאָרק | ניו-יאָרק	ניו יאָרק | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער	116	365	Irwing Place (Deutsches) Theatre	Public Theatre (Folks Theatre)	ALIGN	ALIGN	6	0.056	1.816	אַדלער, סטעלאַ | בליי העלען [יונה] | בלייך, יהודה | גילראָד לואי | טשערנאַווסקי, יוסף | פינקעל, בעלאַ		
ORG-C00635_Q01	ORG-C00740	פּאָבליק-טעאַטער	פּאָבליק-סקול	Theatre	Education	ניו יאָרק | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער	אָמעריקע | אמעריקע | לאָנדאָן | ניו יאָרק | ניו-יאָרק | סינסינעטי | פילאַדעלפיע | פילאדעלפיע | קליוולאַנד | שיקאָגאָ | פֿילאָדעלפיע	365		Public Theatre (Folks Theatre)		ALIGN	DESCRIPTIVE	5	0.047	1.806	באַראַט, מאַרטי [משה-מאָרטין באַראַץ] | בלאַנק לעאָן | לובריצקי, דעיוו (דוד) | פינקעל, בעלאַ | פרענק בעלאַ		
ORG-C00340_Q01	ORG-C01286_Q01	נעשאָנאַל-טעאַטער	אַקטיאָרן-יוניע	Theatre	Theatre-related Society/ Union	ניו יאָרק | ניו יאָרקער | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער | ניו-יאָרק	ניו יאָרק | ניו-יאָרק	118		National Theatre		ALIGN		5	0.035	1.804	גראס אייבי | דזשייקאָבסאָן, הענריעטאָ | לאַווענדאַ, פּנחס | לאַקסער, סאַבּינאַ (שרה) | סערעבראָוו, מוני [חיים זילבערראַנג]		
ORG-C00180_Q01	ORG-C00741_Q01	יידישן קונסט-טעאַטער	האָי-סקול	Theatre	Education	ניו יאָרק | ניו יארק | ניו יאָָרק | ניו-יאָרק | ניו-יאָָרק	שיקאָגאָ	1459		יידישן קונסט-טעאַטער (ניו יאָרק)		ALIGN	DESCRIPTIVE	5	0.043	1.804	בודאַנאָוו, בעסי [בודניק] | גראָסמאַן, דזשאָזעף מ. | זיידענבערג, לעאָן [דוד-לייב זיידענווערג] | זילבערט ראָזאַ | סקולער צבי		
ORG-C00089	ORG-C00740	ווינדזאָר-טעאַטער	פּאָבליק-סקול	Theatre	Education	ניו יאָרק | ניו יארק | ניו יאָָרק | ניו יאָרק | ניו-יאָרק | ניו-יאָרקער	אָמעריקע | אמעריקע | לאָנדאָן | ניו יאָרק | ניו-יאָרק | סינסינעטי | פילאַדעלפיע | פילאדעלפיע | קליוולאַנד | שיקאָגאָ | פֿילאָדעלפיע	134		Windsor Theatre		ALIGN	DESCRIPTIVE	6	0.051	1.798	בלאַנק לעאָן | גאָלדשטיין, איידא | גאָלדשטיין, דזשאָן ס. [יעקב] | טאָמאַשעווסקי, עני | קאַרפּ, ראָזע | ראָפֿאָלאַ קלאַראַ		
ORG-C00360_Q01	ORG-C00635_Q01	האָפּקינסאָן-טעאַטער	פּאָבליק-טעאַטער	Theatre	Theatre	ברוקליינער | ברוקלין | ברוקלינער	ניו יאָרק | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער	282	365	Hopkinson Theatre	Public Theatre (Folks Theatre)	ALIGN	ALIGN	7	0.082	1.794	"בליי העלען [יונה] | בלייך, יהודה | בראַנדט, לואי [„מאָטעלע""] | טשערנאַווסקי, יוסף | נאַגער אהרן | סעקונדאַ, שלום | שיף דזשייקאָב ר."		
ORG-C00157_Q01	ORG-C00635_Q01	ליבערטי-טעאַטער	פּאָבליק-טעאַטער	Theatre	Theatre	ניו יאָרק | ניו-יאָרק | ניויאָָרק | פּראָווינץ	ניו יאָרק | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער		365		Public Theatre (Folks Theatre)	SPLIT	ALIGN	6	0.072	1.792	באַראַט, מאַרטי [משה-מאָרטין באַראַץ] | בלאַנק לעאָן | בלום סעם [אַלעקסאַנדער] | גאָלדשטיין, זינאַ | מיכאַלעסקאָ, מיכאל [ווייסבּלאַט] | פינקעל, בעלאַ		
ORG-C00029	ORG-C04097	קאַמינסקי	קאָמפּאַנעעץ	Traveling Company	Traveling Company	אָדעס | וואַרשע | יעקאַטערינאָסלאָוו | לאָדזש	וואַרשע | לאָדזש | קאַווקאַז | קיעוו | ריגע	147	302	Kaminski's Theatre	קאָמפּאַניעיעצ'ס טרופּע	ALIGN	ALIGN	6	0.09	1.779	אָבּערבּערג, אַדאָלף | באַנקאָוו, יאַנקעוו | גורעוויטש, אייזיק | וויינבערג, הערי [אהרן] | נייהוייז, וואָלף | קאָוואָלסקי, מתתיהן		
ORG-C00029	ORG-C00030	קאַמינסקי	גענפער	Traveling Company	Traveling Company	אָדעס | וואַרשע | יעקאַטערינאָסלאָוו | לאָדזש	ווילנע | טוקום | קעשעניעוו	147	254	Kaminski's Theatre	גענפערס טרופּע	ALIGN	ALIGN	6	0.111	1.777	אָבּערבּערג, אַדאָלף | אוואכער עוואַ [חוה ליטווין] | גורעוויטש, אייזיק | מאַכאַראָווסקי, משה-דוד | קאָוואָלסקי, מתתיהן | רייטין (רייצען], דוד		
ORG-C00180_Q01	ORG-C04072_Q01	יידישן קונסט-טעאַטער	יוניע	Theatre	Theatre-related Society/ Union	ניו יאָרק | ניו יארק | ניו יאָָרק | ניו-יאָרק | ניו-יאָָרק		1459		יידישן קונסט-טעאַטער (ניו יאָרק)		ALIGN		6	0.05	1.758	בלייך, יהודה | בן-עמי יעקב [שטשירין] | גאָלדשטיין, יעקב | ווינאָגראָדאָוו, אַנאַטאָל [נפתלי-הערץ גליקמאַן] | זיידענבערג, לעאָן [דוד-לייב זיידענווערג] | זילבערשטייין, שמעון		
ORG-C02682	ORG-C04097	ליפּאָווסקי	קאָמפּאַנעעץ	Traveling Company	Traveling Company	באָברויסק | ווילנע | לאָדזש | ליבאַווע | ריגע	וואַרשע | לאָדזש | קאַווקאַז | קיעוו | ריגע	759	302	ליפּאָווסקיס טרופּע	קאָמפּאַניעיעצ'ס טרופּע	ALIGN	ALIGN	6	0.133	1.75	אָבּערבּערג, אַדאָלף | דובראָווינסקי, הילעל | וויינבערג, סאָניע [קאַרל] | וויינבערג, שמואל | קאַנער לעאָפּאָלד [לייב] | קאָוואָלסקי, מתתיהן		
ORG-C00338_Q01	ORG-C00390	ליריק-טעאַטער	לענאָקס-טעאַטער	Theatre	Theatre	ברוקלין	בראַנקס | בראנקס | האַדלעם | האַרלעם | האָבלעם | האָרלעם | ניו יאָרק | ניו-יאָרק | ניויאָרק	176	140	ליריק-טעאַטער	Lenox Theater	ALIGN	ALIGN	5	0.067	1.735	גאָלדבערג, נייטאָן | האָלענדער, חנה [פינקענטאָל] | האָניגמאַן, יצחק | וואָלערשטיין, עלאַ [געשפּאָס] | וואולף, סיימאַן [שמחה]		
ORG-C00160_Q01	ORG-C00340_Q01	יידישער קונסט טעאַטער	נעשאָנאַל-טעאַטער	Theatre	Theatre	ניו יאָרק | ניו יאָרק | ניו-יאָרק	ניו יאָרק | ניו יאָרקער | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער | ניו-יאָרק	443	118	Yiddish Art Theatre	National Theatre	ALIGN	ALIGN	6	0.041	1.726	האָניגמאַן, יצחק | טייטעלבוים, אַברהם (=שלום, סעם) | סלאָוואָ-ליס, לידאַ | פינקעל, בעלאַ | רובין, מנחם [עקהייזער קייזער] | רעכטצייט, יעקב		
ORG-C00180_Q01	ORG-C00635_Q01	יידישן קונסט-טעאַטער	פּאָבליק-טעאַטער	Theatre	Theatre	ניו יאָרק | ניו יארק | ניו יאָָרק | ניו-יאָרק | ניו-יאָָרק	ניו יאָרק | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער	1459	365	יידישן קונסט-טעאַטער (ניו יאָרק)	Public Theatre (Folks Theatre)	ALIGN	ALIGN	6	0.045	1.719	"בראַנדט, לואי [„מאָטעלע""] | טשערנאַווסקי, יוסף | פישקינד, אַברהם | קאָהען, טשאַרלי [שבתי) | קרעסין, מרים | פֿרידלענדער, עדוואַרד"		
ORG-C00145	ORG-C00207	גימנאַזיע	חדר	Education	Education	בוקאַרעשט | בערלין | וואַרשע | ווילנע | זשיטאָמיר | טאַשקענט | טאָרנע | טשערנאָוויץ | יעקאַטערינאָסלאָוו | לאָדזש | לעמבערג | מאָסקווע | מינסק | ניקאָ'אַיעוו | סואַוואָלק | פּאָלטאַווע | פּלאָצק | פּעטערבורג | קאָלאָמיי | קאמעניעץ-פּאָדאָלסק | קעשענעוו | קרעמעניץ	ווילנע | קלעשטשעל					DESCRIPTIVE	DESCRIPTIVE	5	0.045	1.717	גראָס נפתלי | וויינשטאָק, אייזיק | זילבערמאַן, מאָריס, דר | טוניס, הערמאַן [חיים-הערש אָווענד] | נעכאַמקאָס, מישע		
ORG-C00103	ORG-C00672	ווילנער טרופּע	קאַמינסקי-טעאַטער	Company on Tour	Theatre	אַמעריקע | בוקאַרעסט | ביאַליסטאָק | בערלין | בראַנקס | בראַנקס, ניו-יאָרק | וואַרשע | ווילנע | ווין | יאָס' | לאָס אַנדזשעלעס | לעמבערג | לאָדזש | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | ניויאָרק | פּאַריז | פאַריז | קליוולאַנד | קעשענעוו | קראָקע | קראקע | שיקאַגאָ | שיקאַגע | שיקאָגאָ	וואַרשע | וואָרשע	551	147	ווילנער טרופּע	Kaminski's Theatre	ALIGN	ALIGN	5	0.025	1.712	אַלטבוים, סאָניאַ [סטאַראָדוב) | אַס, ברוך | טורקאָוו, זיגמונט | סעגאָלאָוויטש, קלאַראַ [באַראַדינאַ] | שלאָסבערג, יצחק		
ORG-C00005	ORG-C00515_Q01	פאַוויליאָן-טעאַטער	טאַליאַ-טעאַטער	Theatre	Theatre	וואַרשע | טשערנאָוויץ | לאָנדאָן | שיקאַגאָ	ניו יאָרק | ניו-יאָרק | ניוּ-יאָרק | ניו־יאָרק	467	130	בלויען פויגל	Thalia Theatre|Bowery Theatre	UNCLUSTER	ALIGN	6	0.053	1.706	אויערבאַך, סעם | וואַקסמאַן, מאָריס [משה דוד] | מאָשקאָוויטש, מאָריס | פיינמאַן, זיגמונד | קאָרנבליט, ז[ישע] | פֿיינמאַן, דיינע		
ORG-C00340_Q01	ORG-C03902_Q01	נעשאָנאַל-טעאַטער	געביל	Theatre	Theatre	ניו יאָרק | ניו יאָרקער | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער | ניו-יאָרק	ניו יאָרק | ניו יארק	118		National Theatre		ALIGN		6	0.044	1.702	בלום אַברהם | טשערטאָוו, אַלעקס | לאַוויץ, פּעפּי [פלפּול] | לאָהנפעלד, סעמיוּעל | לובריצקי, גאָלדע | פּערלמוטער, אַרנאָלד (אַהרל׳ע)		
ORG-C00054	ORG-C02682	פישזאָן	ליפּאָווסקי	Traveling Company	Traveling Company	אָדעס | ווילנע | יעקאַטערינאָסלאָוו | יעקאָטעדינאָסלאָוו | פּעטערבורג | קעשעניעוו | ראָוונע	באָברויסק | ווילנע | לאָדזש | ליבאַווע | ריגע	362	759	"Poale Zion (""Workers of Zion"")"	ליפּאָווסקיס טרופּע	ALIGN	ALIGN	6	0.158	1.701	דובראָווינסקי, הילעל | וויינבערג, סאָניע [קאַרל] | לדערמאַן, דוד | ליכטענשטיין, משה | עפשטיין, גרישאַ (יואל) | קאָוואָלסקי, מתתיהן		
ORG-C00340_Q01	ORG-C00683	נעשאָנאַל-טעאַטער	פאַרקוועי טעאַטער	Theatre	Theatre	ניו יאָרק | ניו יאָרקער | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער | ניו-יאָרק	ברוקלין	118	1777	National Theatre	פאַרקוועי טעאַטער	ALIGN	NEW	6	0.046	1.7	לובעלסקאַ, פּאָליאַ | סלאָוואָ-ליס, לידאַ | סקולניק, ברכה [גאָלדמאַן] | קרעסין, מרים | רעכצייט, סימאָר (שמעון ישעיהו] | פֿאָפּער, דוד		
ORG-C00257_Q01	ORG-C01098	פֿאַרווערטס	היברו פּאָבלישינג קאָמפּאַני	Journals/ Newspapers		נ. י. | ניו יאָרק | ניו-יאָרק | ניויאָרק	נ. י. | ניו יאָרק | ניו יאָרק | ניו-יאָרק	692	52	פֿאַרווערטס	היברו פּאָבלישינג קאָמפּאַני	ALIGN	ALIGN	5	0.053	1.7	גאָרדין, יעקב | ליבּין, ז. [ישראל-זלמן הוּרוויטש] | מאָטקע חבּ'ד | סערדאַצקי, יענטע (רייבּמאַן] | קאַטץ, משה		
ORG-C00103	ORG-C00384	ווילנער טרופּע	יידישער אַקטיאָרן-יוניע	Company on Tour	Theatre-related Society/ Union	אַמעריקע | בוקאַרעסט | ביאַליסטאָק | בערלין | בראַנקס | בראַנקס, ניו-יאָרק | וואַרשע | ווילנע | ווין | יאָס' | לאָס אַנדזשעלעס | לעמבערג | לאָדזש | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | ניויאָרק | פּאַריז | פאַריז | קליוולאַנד | קעשענעוו | קראָקע | קראקע | שיקאַגאָ | שיקאַגע | שיקאָגאָ	ניו יאָרק | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | פֿילאָדעלפיע	551	442	ווילנער טרופּע	Yiddish artists union	ALIGN	ALIGN	6	0.021	1.698	גענדעל, הירש | וועליטשאַנסקי, ישראל | טייטעלבוים, אַברהם (=שלום, סעם) | ליבגאָלד לעאָן | נעמי, לאה [קיגעל-אייזענבערג] | פעדער, משה		
