n	play	page	line_id	offset	span	line	url
1391	MS_YoysefInEgipten	0046_30778121.xml	r2l1	0	%ביידע%	%ביידע% וויר דאנקען דיר גאט	https://app.transkribus.org/collection/2372172/doc/826832/detail/46
1392	MS_YoysefInEgipten	0046_30778121.xml	r2l19	0	%ביידע%	%ביידע% וויר דאנקין דיר גאט א.ז.וו %בנימן אב%	https://app.transkribus.org/collection/2372172/doc/826832/detail/46
1393	MS_YoysefInEgipten	0046_30778121.xml	line_1636733529174_4061	31	%צווא קאמען%	יוסף מנשה אפרים מיינע גאט אהרן %צווא קאמען%	https://app.transkribus.org/collection/2372172/doc/826832/detail/46
1394	MS_YoysefInEgipten	0047_30778122.xml	line_1636734408894_4211	31	% מנשה מיט דעם בעכער	בנימן זעהר שעהן גרויסער הערשער % מנשה מיט דעם בעכער	https://app.transkribus.org/collection/2372172/doc/826832/detail/47
1395	MS_YoysefInEgipten	0048_30778124.xml	r2l3	0	% מנשה וויל נעמען בנימענען אלע ברודער רופען האלט%	% מנשה וויל נעמען בנימענען אלע ברודער רופען האלט%	https://app.transkribus.org/collection/2372172/doc/826832/detail/48
1396	MS_YoysefInEgipten	0048_30778124.xml	r2l6	11	%בנימנין פירט מען אַוועק%	געפונט אייך %בנימנין פירט מען אַוועק% יעצט מיינע	https://app.transkribus.org/collection/2372172/doc/826832/detail/48
1397	MS_YoysefInEgipten	0048_30778124.xml	r1l18	6	%קלאפט אין אין דער טיער%	יהודה %קלאפט אין אין דער טיער% הע! הע! %מנשה קומט אריין%	https://app.transkribus.org/collection/2372172/doc/826832/detail/48
1398	MS_YoysefInEgipten	0049_30778126.xml	r2l9	5	%הערשיינט%	יוסף %הערשיינט% ווער וואלט עס מיר צו שטערען?	https://app.transkribus.org/collection/2372172/doc/826832/detail/49
1399	MS_YoysefInEgipten	0051_30778129.xml	r2l14	0	%ער פאטכט מיט דיא הענד עס הייסט זיך אויף אַ טאבלע מיט	%ער פאטכט מיט דיא הענד עס הייסט זיך אויף אַ טאבלע מיט	https://app.transkribus.org/collection/2372172/doc/826832/detail/51
1400	MS_YoysefInEgipten	0051_30778129.xml	r2l15	0	עגיפטישע סאלדאטען%	עגיפטישע סאלדאטען% נו מיין העלד דוא ביזסט	https://app.transkribus.org/collection/2372172/doc/826832/detail/51
