db_a	name_a	name_yid_a	aligns_a	db_b	name_b	name_yid_b	aligns_b	token_set_sim
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	591	מאָלדאָוואַנישן מלוכה-טעאַטער		0	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	592	אוקראַאינישן יידישן מלוכה-טעאַטער		0	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	593	ווייסרוסישן יידישן מלוכה-טעאַטער		1	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	615	ניו יאָרקער יידישן פֿאָלקס-טעאַטער		1	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	623	פּאַריזער יידישע קונסט-טעאַטער		1	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	638	קאַמעראַל-טעאַטער		1	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	655	שיקאַגער יידישן טעאַטער		1	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	658	באַסטאָנער יידישן טעאַטער		1	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	664	לאָדזשער יידישן טעאַטער	לאָדזשער יידישן טעאַטער	1	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	665	קיעווער יידישן טעאַטער	קיעווער יידישן טעאַטער	1	1.000
