db_id	canonical_yiddish	org_type	linked_cluster_ids	mentions	n_settlements	extracted_settlements	extracted_addresses	extracted_venues	extracted_countries	is_generic	is_exploded	parent_db_id	confirmed_settlement	confirmed_settlement_yiddish	confirmed_address	confirmed_address_romanized	lat	lon	reviewer_notes	confirmed_locations	reviewer	reviewed_at
132	Union Theatre	Theatre		0	0		Eighth Street and Third Avenue, Manhattan, NY															
133	V. Pillings's National Theatre	Theatre		0	0		104-106 Bowery, Manhattan, NY															
432	Victoria Theatre	Theatre		0	0																	
134	Windsor Theatre	Theatre		0	0		37 and 39 Bowery, Manhattan, NY															
441	Wonderland Theatre	Theatre		0	0																	
443	Yiddish Art Theatre	Theatre		0	0																	
174	Yiddish theatre on Alexanderplatz	Theatre		0	0		Mokotowska 72, Warsaw															
450	Yidishn folks teater (Vilnius)	Theatre		0	0																	
397	teater gesselshaft	Theatre		0	0																	
400	theater Solovtsov	Theatre		0	0																	
152	איזראעליטישער נאציאנאל גארטען  Israelitisches Nationalgarten	Theatre		0	0		קאלעא וואקארעשט 35, בוקרשט															
497	באַלאַגעניידען	Theatre		0	0																	
502	בוקאַרעשטער יידישן מלוכה-טעאַטער	Theatre		0	0					TRUE												
506	ביראָ ביאָזשאַנער יידישן מלוכה-טעאַטער	Theatre		0	0					TRUE												
498	הכל הבל	Theatre		0	0																	
494	ווינער דייטשן פאָלקס-טעאַטער	Theatre		0	0																	
471	יידישן מלוכה-טעאַטער אין באָקו	theatre		0	0																	
499	יידישן מלוכה-טעאַטער אין יאָס	Theatre		0	0																	
501	מינסקער יידישן מלוכה-טעאַטער	Theatre		0	0																	
137	פּאמול ווערדי - Gradina Pomul verde	Theatre		0	0		קאלעא וואקארעשט 1, בוקרשט						Bucharest	קאַלעאַ וואַקאַרעשט 1, בוקאַרעשט	 Calea Văcărești,	1 Calea Văcărești, Bucharest	47.179896	27.62038	better locate	"[{""settlement"": ""Bucharest"", ""settlement_yiddish"": ""קאַלעאַ וואַקאַרעשט 1, בוקאַרעשט"", ""address"": "" Calea Văcărești,"", ""address_romanized"": ""1 Calea Văcărești, Bucharest"", ""lat"": ""47.179896"", ""lon"": ""27.62038""}]"	Maaty	2026-04-11T20:14:04Z
136	פאָלקס גאַרדען⸗האָל Folks Garden Hall	Theatre		0	0																	
138	רוף גאַרדן - Roof Garden	Theatre		0	0																	
500	ריגער יידישן מלוכה-טעאַטער	Theatre		0	0																	
306	Kunst-Ring	Society/ Union	ORG-C00179	16	2	ניו יאָרק | ניו-יאָרק		אַמעריקע | יידישן קונסט-טעאַטער	אַמעריקע				New-York	189 צווייטע אַוועניו, ניו יאָרק	שדרה שנייה 189 (פינת רחוב 12), ניו יורק	189 Second Avenue , New York, NY	40.691395	-73.993663		"[{""settlement"": ""New-York"", ""settlement_yiddish"": ""189 צווייטע אַוועניו, ניו יאָרק"", ""address"": ""שדרה שנייה 189 (פינת רחוב 12), ניו יורק"", ""address_romanized"": ""189 Second Avenue , New York, NY"", ""lat"": ""40.691395"", ""lon"": ""-73.993663""}]"	Maaty	2026-04-11T18:51:42Z
68	הצפירה	Printer	ORG-C00210	16	0		פייַנסקא 40, וורשה						Warsaw	פּאַנסקאַ 40, וואַרשע	פאנסקה 40, וורשה	40 Pańska , Warsaw	52.230336	20.987748		"[{""settlement"": ""Warsaw"", ""settlement_yiddish"": ""פּאַנסקאַ 40, וואַרשע"", ""address"": ""פאנסקה 40, וורשה"", ""address_romanized"": ""40 Pańska , Warsaw"", ""lat"": ""52.230336"", ""lon"": ""20.987748""}]"	Maaty	2026-04-11T19:07:58Z
52	היברו פּאַבלישינג קאָמפאני	Publisher	ORG-C01098	15	4	נ. י. | ניו יאָרק | ניו יאָרק | ניו-יאָרק	185-3 קאנאל סט.	היברן פּאָבלישינג קאַמפּאַני | ניו יאָרק	אַמעריקע | אמעריקע	TRUE						183-185 canal street NY	40.725421	-74.010299				
55	Elizeum	Publisher	ORG-C00113	12	1	וואַרשע		"טעאַטער ""עליזעום“ | עליזעום | „עליזעום“"	פּוילן	TRUE			Warsaw 	קאַראָווע 18, וואַרשע	קארובה 18, וורשה	Warszawa Karowa 18	52.242855	21.017642		"[{""settlement"": ""Warsaw "", ""settlement_yiddish"": ""קאַראָווע 18, וואַרשע"", ""address"": ""קארובה 18, וורשה"", ""address_romanized"": ""Warszawa Karowa 18"", ""lat"": ""52.242855"", ""lon"": ""21.017642""}]"	Maaty	2026-04-11T19:00:11Z
