ts	kind	result_db	qid	org_type	target_cluster	target_yiddish	n_partners	partners	partner_yiddish
2026-06-20T12:49:23Z	NEW_DB	1138	Q2280	Publisher	ORG-C03958	מינסקער ווייסרוסלענדישן מלוכה-	1	ORG-C04683	ווייסרוסלעניידישער מעלוכע-פאַר
2026-06-20T12:58:36Z	NEW_DB	1152	Q2280	Jewish political bodies	ORG-C01589	קלוב אויפֿן נאָמען גראָסער	0		
2026-06-20T14:32:29Z	NEW_DB	1158	Q1899	Education	ORG-C00059	קיעווער גימנאַזיע	1	ORG-C03694_Q06	אוניווערזיטעט
2026-06-20T14:48:53Z	NEW_DB	1171	Q1899	Education	ORG-C02218	קיעווער מלוכהשער מוזיקאַלישער 	1	ORG-C04669	קיעווער מוזיקאָלישער שול
2026-06-20T14:50:38Z	NEW_DB	1172	Q1899	Education	ORG-C04269	קיעווער דראַמאַטישן אינסטיטוט 	1	ORG-C03603	קיעווער דראַמאַטישן אינסטיטוט
2026-06-20T15:00:24Z	INTO_EXISTING		Q1899	Theatre	db:400		1	ORG-C03664	סאָלאָווצאָווס טעאַטער
2026-06-20T16:31:59Z	INTO_EXISTING		Q656	Theatre	ORG-C04627	יידישער מלוכהשער קאָמער-טעאַטע	1	db:117	
2026-06-20T16:33:57Z	INTO_EXISTING	117	Q656	Theatre	ORG-C04693_Q02	יידישן קאָמער-טעאַטער	1	ORG-C04627	יידישער מלוכהשער קאָמער-טעאַטע
2026-06-21T07:11:37Z	NEW_DB	1314	Q216	Education	ORG-C01910	רוסישער פֿאָלקס-שול	1	ORG-C03583	רוסיש-יידישע פֿאָלקשול
2026-06-21T07:50:20Z	INTO_EXISTING	1102	Q649	Education	ORG-C00423	יידישער מלוכה-סטודיע פֿון ווייס	8	ORG-C02388,ORG-C02576_Q07,ORG-C03618,ORG-C03731,ORG-C03774,ORG-C04315,ORG-C04377,ORG-C04613_Q02	מאָסקווער מלוכה-סטודיע פֿון שלמ | יידישער דראָמאַטישער סטודיע | מאָסקווער מלוכהשער יידישער טעא | מאָסקווער יידישע טעאַטערשול | מאָסקווער טעאָטער-סטודיע | מלוכהש יידיש טעאַטראַל טעכניקו | יידישער מלוכה-סטודיע ביים וויי | גראַנאָווסקיס סטודיע
2026-06-21T07:56:17Z	INTO_EXISTING	1085	Q216	Education	ORG-C00562	ערשטער יידישער דראַמאַטישער שו	1	ORG-C01811	ערשטער ווילנער יידישער דראָמאַ
2026-06-21T08:01:11Z	INTO_EXISTING	940	Q216	Education	ORG-C01492	טרעסקיןס מוזיק-שול	1	ORG-C05553	טרעסקינס ווילנער מוזיק-שול
2026-06-21T08:03:57Z	NEW_DB	1315	Q216	Education	ORG-C02835	ווילנער טעכניקום	1	ORG-C05781	טעכנוקום
2026-06-21T08:06:52Z	INTO_EXISTING	1102	Q649	Education	ORG-C03605	טעאַטראַלן אינסטיטוט	4	ORG-C00412,ORG-C00851,ORG-C02289,ORG-C03731	מאָסקווער טעאַטראַלע שול ביים  | מאָסקווער דראַמאַטישע אַקאַדעמ | מאָסקווער מלוכישן יידישן טעאַט | מאָסקווער יידישע טעאַטערשול
2026-06-21T08:17:00Z	INTO_EXISTING	1102	Q649	Education	ORG-C02285	טעאַטערסטודיע ביים מאָסקווער יי	6	ORG-C00412,ORG-C00753,ORG-C02289,ORG-C02388,ORG-C05933,ORG-C06012	מאָסקווער טעאַטראַלע שול ביים  | שלום-עליכם-סטוּדיע | מאָסקווער מלוכישן יידישן טעאַט | מאָסקווער מלוכה-סטודיע פֿון שלמ | מאָסקווער שלום-עליכם-סטודיע | טעאַטער-שול ביים מאָסקווער ייד
2026-06-21T08:19:18Z	NEW_DB	1316	Q216	Education	ORG-C00001_Q09	קאָנסערוואַטאָריע	1	ORG-C02983	ווילנער מלוכהשע קאָנסערוואַטאָ
2026-06-21T08:21:59Z	NEW_DB	1317	Q649	Education	ORG-C00208_Q05	מוזיק-שול	2	ORG-C00311,ORG-C06697	מאָסקווער (איצט טשייקאָווסקי)  | גאָלוואָניס קאָנסערוואַטאָריע
2026-06-21T08:22:39Z	NEW_DB	1318	Q216	Education	ORG-C07139	ווילנער לערער-אינסטיטוט	2	ORG-C04873,ORG-C05683	3-קלאַסיקער קרוינישער שול ביים | שול ביים ווילנער לערער-אינסטיט
2026-06-21T08:26:08Z	NEW_DB	1319	Q216	Education	ORG-C02086	באַלעט-שול א'ל פֿון העלענאַ לאַ	1	ORG-C03374	ווילנער טאַנץ-סטודיע פֿון העלענ
2026-06-21T08:26:16Z	INTO_EXISTING	1102	Q649	Education	ORG-C04027	סטוּדיע פֿוּן ראַפאַלסקי	2	ORG-C00423,ORG-C05544	יידישער מלוכה-סטודיע פֿון ווייס | מלוכהשער יידישער טעאַטערסטודיע 
2026-06-21T08:29:11Z	NEW_DB	1320	Q649	Education	ORG-C04309	מלוכישן העכסטן רעזשיסאַרישן וו	1	ORG-C05259	מייערכאָלדס סטודיע
2026-06-21T08:30:30Z	INTO_EXISTING	1319	Q216	Education	ORG-C02086	באַלעט-שול א'ל פֿון העלענאַ לאַ	1	ORG-C03374	ווילנער טאַנץ-סטודיע פֿון העלענ
2026-06-21T08:30:35Z	NEW_DB	1321	Q649	Education	ORG-C04527	ווייסרוסישן הויך אינסטיטוט פֿון	2	ORG-C05993,ORG-C06544	ווייסרוסלענדישן אינסטיטוט פֿון | יידישער סעקציע פֿון ווייסרוסלענ
2026-06-21T08:49:51Z	INTO_EXISTING	1100	Q649	Publisher	ORG-C01538	פֿאַרלאַג עמעס	1	ORG-C00309	מאָסקווער פאַרלאָג „דער עמעס“
2026-06-21T08:51:28Z	INTO_EXISTING	1043	Q216	Theatre-related Society/ Union	ORG-C03088	ווילנער יידישער קונסטגעזעלשאַפ	2	ORG-C02961,ORG-C03245	יידישער קונסט-געזעלשאַפֿט | יידישער קונסטגעזעלשאַפט
2026-06-21T08:53:50Z	NEW_DB	1322	Q216	Publisher	ORG-C05665	י. ל. מץ	1	ORG-C06346	"פֿאַרלאָג הירש מ""ץ"
2026-06-21T08:58:17Z	NEW_DB	1323	Q216	Jewish political bodies	ORG-C03045	יידן-פֿאַרוואַלטונג	1	ORG-C03109	געטאָ-אַדמיניסטראַציע
