kind	id	city	miscls_theatre	duplicate	name_latin	QID	historic_address	current_address	comments
cluster	ORG-C06368	Vienna							Erstes jiddisches festes literarisches Theater/ The first established Yiddish literary theatre
cluster	ORG-C06390	Vienna		yes	Zum goldenen Widder		Taborstraße 36, 1020 Wien		
cluster	ORG-C06397	Vienna		yes	Jiddisches Theater auf der Taborstraße 12/ Hotel Stefanie	Q1399214		Taborstraße 12, 1020 Wien	
cluster	ORG-C06400	Vienna		yes	Teater Reklam				
cluster	ORG-C06424	Vienna							Bühne/ stage
cluster	ORG-C06606	Vienna		yes	Ringtheater	Q441937		Schottenring 7, 1010 Wien	
cluster	ORG-C06662	Vienna							Jiddisches Künstlerkabarett/ Yiddish artists' cabaret
cluster	ORG-C06667	Vienna		yes	Hotel Stefanie	Q1399214		Taborstraße 12, 1020 Wien	
cluster	ORG-C07283	Vienna							Professionelles jiddisches literarisches Theater/ Professional Yiddish literary theatre
db	124	Vienna		yes	Ringtheater	Q441937		Schottenring 7, 1010 Wien	
db	321	Vienna			Lit. Dram. Gesellschaft				?????
db	494	Vienna		yes	Volkstheater Wien	Q688555		Neustiftgasse 1, 1070 Wien	
db	526	Vienna							can't identify any theatre from the relevant period/ the present-day Odeon Theatre at Taborstraße 10 was not founded until the end of the 20th century
db	688	Vienna		yes	Carltheater	Q877699		Praterstraße 31, 1020 Wien	
