db_id	name	org_type	address	linked_cluster_ids
479	אָרטיקער פילהאַרמאָניע	Theatre		ORG-C00017
480	יידיש אַרבעטער-טעאַטער (באָקו)	Theatre		ORG-C00016
481	וואַרשעווער יודישען קאָלענדאַר	Publisher		ORG-C00021
482	יודישער האַנדעלס קאַלענדאָר	Publisher		ORG-C00022
483	טרופּע פֿון ווייספעלד	Troupe		ORG-C00028
484	אינסטיטוט א'נ פֿון אָסטראָווסקי	School		ORG-C00036
485	קאָמפּאַנעעצס טרופּע	Troupe		ORG-C00047
486	טרופּע פֿון גוזיק	Troupe		ORG-C00034
487	ירושלימער אוניווערזיטעט	School		ORG-C00040
488	אַראַראַט	Theatre		ORG-C00055
489	בורג-טעאַטער	Theatre		ORG-C00052
490	טרופּע ציפקוס	Troupe		ORG-C00050
491	טעאַטער „קאָמעדיאָ“	Theatre		ORG-C00038
492	יידל גאָלדפאַדנס טרופּע	Troupe		ORG-C00048
493	סאַן פּאָולאַ יידישער געזעלשאַפט	Organization		ORG-C00051
494	ווינער דייטשן פאָלקס-טעאַטער	Theatre		ORG-C00053
495	דרוקעריי פון ראָם	Publisher		ORG-C00074
496	אַקטיאָרן-פאַריין (בוענאָס איירעס)	Union		ORG-C00071
497	באַלאַגעניידען	Theatre		ORG-C00054_S01
498	הכל הבל	Theatre		ORG-C00058
499	יידישן מלוכה-טעאַטער אין יאָס	Theatre		ORG-C01656
500	ריגער יידישן מלוכה-טעאַטער	Theatre		ORG-C05354
501	מינסקער יידישן מלוכה-טעאַטער	Theatre		ORG-C02284
502	בוקאַרעשטער יידישן מלוכה-טעאַטער	Theatre		ORG-C00293
503	צאָלמאַן	Troupe		ORG-C03322
504	העבראיקאַ	Theatre		ORG-C00060
505	יאָסער יידישן מלוכה-טעאַטער	Theatre		ORG-C00305
506	ביראָ ביאָזשאַנער יידישן מלוכה-טעאַטער	Theatre		ORG-C00317
507	נאָוואָשטשי	Theatre		ORG-C00215
508	ווילנער דרוקער-פאַריין	Union		ORG-C00074
509	ווערדי-טעאַטער	Theatre		ORG-C00240
510	מאָלדעוואָנישער יידישער מלוכה-טעאַטער	Theatre		ORG-C00235
