db_id_a	db_id_b	name_a	name_b	name_yi_a	name_yi_b	org_type_a	org_type_b	matched_fields	score	signal	type_match	linked_a	linked_b	suggested_action	suggested_keep	suggested_drop	reviewer_decision	reviewer_notes
176	874	Lyric Theatre	ליריק-טעאַטער	ליריק-טעאַטער	ליריק-טעאַטער		theatre	ליריק-טעאַטער ~ ליריק-טעאַטער	1.000	trigram_full	N		ORG-C00338_Q07	REVIEW	874	176		
176	875	Lyric Theatre	ליריק-טעאַטער	ליריק-טעאַטער	ליריק-טעאַטער		theatre	ליריק-טעאַטער ~ ליריק-טעאַטער	1.000	trigram_full	N		ORG-C00338_Q02	REVIEW	875	176		
176	876	Lyric Theatre	ליריק-טעאַטער  (בראַנזוויל)	ליריק-טעאַטער	ליריק-טעאַטער		theatre	ליריק-טעאַטער ~ ליריק-טעאַטער  (בראַנזוויל)	1.000	trigram_full	N		ORG-C00338_Q04	REVIEW	876	176		
176	877	Lyric Theatre	ליריק-טעאַטער	ליריק-טעאַטער	ליריק-טעאַטער		theatre	ליריק-טעאַטער ~ ליריק-טעאַטער	1.000	trigram_full	N		ORG-C00338_Q05	REVIEW	877	176		
178	170	3rd Street Theatre	Madison Street Theater				Theatre	<surname>street ~ <surname>street	1.000	surname_trigram	N			REVIEW	170	178		
178	190	3rd Street Theatre	Arch Street Theatre				Theatre	<surname>street ~ <surname>street	1.000	surname_trigram	N			REVIEW	178	190		
178	513	3rd Street Theatre	"""49טע סטריט""-טעאַטער"					<surname>סטריט ~ <surname>סטריט	1.000	surname_trigram	Y		ORG-C06913	REVIEW	513	178		
178	670	3rd Street Theatre	14טע סטריט-טעאַטער		14טע סטריט-טעאַטער		theatre	<surname>סטריט ~ <surname>סטריט	1.000	surname_trigram	N		ORG-C06693	REVIEW	670	178		
179	196	Aba Shoengold Troupe	Bennie Shoengold Troupe			Traveling Company	Traveling Company	<surname>shoengold ~ <surname>shoengold	1.000	surname_trigram	Y			REVIEW	179	196		
180	340	Abraham Axelrad Troupe	Morris Akselrad Troupe			Traveling Company	Traveling Company	<surname>אקסעלראד ~ <surname>אקסעלראד	1.000	surname_trigram	Y			REVIEW	180	340		
182	288	Adolf Gertner Troupe	Jacob Gertner Troupe	גערטנערס טרופּע			Traveling Company	<surname>gertner ~ <surname>gertner	1.000	surname_trigram	N			REVIEW	182	288		
187	342	Anshel Schorr's Troupe	Moshe Schorr Troupe			Traveling Company	Traveling Company	<surname>שארר ~ <surname>שארר	1.000	surname_trigram	Y			REVIEW	187	342		
187	438	Anshel Schorr's Troupe	Weinstock-Schorr Troupe			Traveling Company	Traveling Company	<surname>שארר ~ <surname>שארר	1.000	surname_trigram	Y			REVIEW	187	438		
189	124	Arbeter Ring (Workmen's Circle)	Ringtheater		רינג-טעאַטער		Theatre	<surname>רינג ~ <surname>רינג	1.000	surname_trigram	N			REVIEW	124	189		
