db_id	name	original_type	canonical_type	changed
314	Levitan Troupe	Traveling Company	Traveling Company	
315	Liberesco Troupe			
316	Liberty Theatre	Theatre	Theatre	
317	Lidia Potocka's Tour	Company on Tour	Company on Tour	
318	Lieberman Theatre	Theatre	Theatre	
319	Lira (as drama society)			
320	Lira (as drama school)	Education	Education	
321	Lit. Dram. Gesellschaft	Theatre	Theatre	
322	Literarishe Trupe (Literary Troupe)			
323	Literarisze Bleter⁩ - ⁨ליטערארישע בלעטער			
324	Literary Drama Club	Kleinkunst	Kleinkunst	
325	Littman Troupe			
326	Lublin Municipal Theatre	Theatre	Theatre	
327	M.D. Waxman Troupe	Traveling Company	Traveling Company	
328	Max Gabel Theatre	Kleinkunst	Kleinkunst	
329	Meerson and Sam Adler Troupe	Traveling Company	Traveling Company	
330	Meerson Troupe			
331	Mendl Elkin's Children Theatre Studio	Company on Tour	Company on Tour	
332	Brownsville Metropolitan Singer Hall	Theatre	Theatre	
333	Michalesko guest-starring Troupe	Company on Tour	Company on Tour	
334	Mike Thomashefsky Troupe	Traveling Company	Traveling Company	
335	Mitelman, Baran and Gizets Troupe	Traveling Company	Traveling Company	
336	Mitleman Troupe	Traveling Company	Traveling Company	
337	Mogulesco Troupe			
338	Mordechai Segalesco Troupe	Traveling Company	Traveling Company	
340	Morris Akselrad Troupe	Traveling Company	Traveling Company	
341	Moscow State Jewish Theatre	Company on Tour	Company on Tour	
342	Moshe Schorr Troupe	Traveling Company	Traveling Company	
343	Moshkovich troupe	Traveling Company	Traveling Company	
344	Mount Morris Theatre	Theatre	Theatre	
345	Naftali Goldfaden Troupe			
346	National Opera Warsaw	Theatre	Theatre	
347	Neue Lodzer Zeitung			
348	New York's Public Theatre	Theatre	Theatre	
349	Nordisk Film	Media (Radio/ Film)	Media (Radio/ Film/TV)	yes
350	Nord Star Theatre	Theatre	Theatre	
351	Nowa Gazeta			
352	Nowy Dziennik			
353	Nowy Teatr	Theatre	Theatre	
354	Odessa Municipal Theatre	Theatre	Theatre	
355	Oriental Operetta Society	Traveling Company	Traveling Company	
356	Pavilion Theatre	Theatre	Theatre	
357	People's Theater London	Theatre	Theatre	
358	Peretz Society Drama studio	Education	Education	
359	Peretz Theatre	Theatre	Theatre	
360	Petrograd Theatre Society			
361	Plaza Theatre	Theatre	Theatre	
362	"Poale Zion (""Workers of Zion"")"			
363	Progresiv dramatik klub (Progressive Drama Club)			
364	Prospect Theatre	Theatre	Theatre	
365	Public Theatre (Folks Theatre)	Theatre	Theatre	
366	Rabinovitsh Troupe	Traveling Company	Traveling Company	
367	Rappel Troupe	Traveling Company	Traveling Company	
368	Rappo Circus	Circus	Circus	
369	Remeslengi Club			
370	Rosenberg and Spivakovski Troupe	Traveling Company	Traveling Company	
371	Rumanian Opera (National Theatre in Bucharest)	Theatre	Theatre	
372	Rumenish-yidish teater under the direction of Izak Libresko and Leon Berger	Traveling Company	Traveling Company	
373	Sabsey Troupe			
374	Sam Adler and Kaminski Troupe	Traveling Company	Traveling Company	
375	Sam Adler and Spivakovski Troupe	Traveling Company	Traveling Company	
376	Sam Adler Troupe			
377	Sam Dayen Troupe	Traveling Company	Traveling Company	
378	Samolesko Troupe	Traveling Company	Traveling Company	
379	Sam Wallerstein Troupe	Traveling Company	Traveling Company	
380	Sarah Adler Troupe	Traveling Company	Traveling Company	
381	Satz Public Theatre	Theatre	Theatre	
382	Serotsky and Weissman Troupe	Traveling Company	Traveling Company	
383	Shaari tsion choral school	Education	Education	
384	Shlifershteyn Troupe	Amateur	Amateur	
385	Shomer Troupe	Traveling Company	Traveling Company	
386	Sidney M. Goldin Productions	Media (Radio/ Film)	Media (Radio/ Film/TV)	yes
387	Sincoff's Metropolitan Theatre	Theatre	Theatre	
388	Sniegoff Troupe	Traveling Company	Traveling Company	
390	Spivakovski and Weinstock Troupe	Traveling Company	Traveling Company	
391	Spivakovski Troupe	Traveling Company	Traveling Company	
