db_id	db_hebrew	db_english	name_in_volume	additional_appearance	notes	where_to_fix	correct_form	gender	external_source_id	external_source	name_variants
1218	דער בדחן פון זעמבין (שיינמאן לייזער)	Badkhan of Zembin	דער בדחן פֿון זעמבין [לייזער שיינמאַן]					Male	yt/lex/B/badkhan-of-zembin.htm	Zylbercweig Leksikon fun Yidishn Teater	
1220	הערש באַלברסקי	Hirsh Balbirski	באלבירסקי, הערש					Male	moyt/lex/B/balbirski-hirsh-V5.htm	Zylbercweig Leksikon fun Yidishn Teater	
1222	יאַנקעוו בּאַנקאָוו	Yankev Bankov	באַנקאָוו, יאַנקעוו					Male	yt/lex/B/bankov-yankev.htm	Zylbercweig Leksikon fun Yidishn Teater	
1223	בּן-צבי בּאַראָטאָוו (פּאַוועל בּרענער)	Ben-Tsvi Baratov	כאַראַטאָוו, בן-צכי [פּאָוועל ברענער]		לתקן בטרנסקריבוס או בדאטהבייס	בדאטאבייס תיקנתי בטרנסקריבוס	באַראַטאָוו, בן-צכי [פּאַוועל ברענער]	Male	yt/lex/B/baratov-ben-tsvi.htm	Zylbercweig Leksikon fun Yidishn Teater	
1225	מארטי באַראַט (משה-מאַרטין באַראַץ)	Marty Baratz	באַראַט, מאַרטי [משה-מאָרטין באַראַץ]					Male	yt/lex/B/baratz-marty.htm	Zylbercweig Leksikon fun Yidishn Teater	
1235	נחום בּאַזעלינסקי	Nachum Bazelinski	באַזעלינסקי, נחום					Male	yt/lex/B/bazelinski-nachum.htm	Zylbercweig Leksikon fun Yidishn Teater	
1237	סאַשאַ בעקער	Sasha Becker	בעקער, סאַשאַ					Male	yt/lex/B/becker-sasha.htm	Zylbercweig Leksikon fun Yidishn Teater	
1239	דוד בייגעלמאַן	David Beigelman	בייגעלמאַן, דוד					Male	moyt/lex/B/beigelman-david-V5.htm	Zylbercweig Leksikon fun Yidishn Teater	
1245	נחום בּעלעזאווסקי	Nachum Belezavski	בעלעזאָווסקי, נחום,					Male	moyt/lex/B/belezavski-nachum-V5.htm	Zylbercweig Leksikon fun Yidishn Teater	
1249	הירש גדלי בעללויה (בעללאו – בעללאה)	Hirsh Gedalyi Bellow	בעללויה, הירש גדלי' [בעלאו — בעללאַה]					Male	yt/lex/B/bellow-hirsh-gedalyi.htm	Zylbercweig Leksikon fun Yidishn Teater	
