a_xml_id	b_xml_id	decision	reviewer	reviewed_at	notes	a_heading	b_heading	composite	batch
facs_112_tr_1740521163	facs_358_tr_1739221614	different	Sinai	2026-05-18T11:48:18Z		בעל, אַדאָלף [אַברהם ביעלאָצערקאָווסקי]	שטיין, אַדאָלף (אַברהם)	0.55	Pseudonym candidates (208)
facs_130_tr_1740521104	facs_330_tr_1754998386	different	Sinai	2026-05-18T11:48:19Z		דובינסקי, יאַקאַווקע [יעקבקע ?]	מאָזער בנציון [יעקב הערצאָג]	0.55	Pseudonym candidates (208)
facs_82_tr_1744131384	facs_52_tr_1733050567	different	Sinai	2026-05-18T11:48:21Z		ים, א. [יעקב-אברהם יערוכאָמאָוויטש — י. א. מעריסאָן]	וואַקסמאַן, יעקב	0.55	Pseudonym candidates (208)
facs_382_tr_1744366861	facs_186_tr_1736588948	different	Sinai	2026-05-18T11:48:23Z		עדעלמאַן-קלעבאַנאָוואַ, ניוניע (חנה)	שערמאַן, אַננאַ [פּאָפּערנא]	0.55	Pseudonym candidates (208)
facs_268_tr_1741260225	facs_324_tr_1744365762	different	Sinai	2026-05-18T11:48:25Z		גערשאָי, מ. [משה גערשויג]	סאָבסיי דוד-משה	0.55	Pseudonym candidates (208)
facs_351_tr_1741260417	facs_97_tr_1733059493	different	Sinai	2026-05-18T11:48:26Z		ווייזענפֿריינד מוני [משולם-מאיר]	פּאַסטאָר משה [מוני] [אַברהם משה פּאַסטערנאַק]	0.55	Pseudonym candidates (208)
facs_360_TextRegion_1710852639568_206	facs_343_tr_1744365797	different	Sinai	2026-05-18T11:48:28Z		וויינפּער, ז. [זישע וויינפּערליך]	סיגעל וויליאָם (וועלוול-יצחק הערצאָג]	0.55	Pseudonym candidates (208)
facs_250_tr_1744280768	facs_185_tr_1736588943	different	Sinai	2026-05-18T11:48:32Z		מאָשקאָוויטש, נאַדיאַ [גורעוויטש]	מאָשקאָוויטש, אסתר [געליבטער, גאָטליב]	0.55	Pseudonym candidates (208)
facs_257_tr_1744280825	facs_52_r_3	different	Sinai	2026-05-18T11:48:34Z		מייזעלס קלאַראַ (פרידהאָפער]	צוקער, חיה  [קלאַראַ] [מישניעווסקאַ]	0.55	Pseudonym candidates (208)
facs_200_tr_1754841831	facs_201_tr_1754998569	different	Sinai	2026-05-18T11:48:36Z		פינקעל, לוסי	פינקעל, בעלאַ	0.55	Pseudonym candidates (208)
facs_64_tr_1740520956	facs_304_tr_1741260491	different	Sinai	2026-05-18T11:48:37Z		אַריעל, סאָניאַ [בעזמאַן]	האָכבערג, רחל [אַריעל]	0.7	Pseudonym candidates (208)
facs_60_tr_1740521087	facs_252_tr_1741260224	different	Sinai	2026-05-18T11:48:39Z		אַקסעלראָד, מיני [בלייכמאַן]	גוטענטאָג, בערטאָ [אַקסעלראָד]	0.627	Pseudonym candidates (208)
facs_34_tr_1740521039	facs_203_tr_1747929008	different	Sinai	2026-05-18T11:48:41Z		אַדלער פֿרענציס	פֿיינמאַן, דיינע	0.6	Pseudonym candidates (208)
