mention_surface	source_sheet	occurrences	as_heading	alternative_heading	notes	match_method	matched_person_ids	n_matched	db_id	db_status
וויליאַם ראָלאַנד	full	6.0	ראָלאַנד, וויליאַם (וועלוול כאַסקין)			exact	P-7-facs_37_r_9	1	2771	ok
וויליאַם שוואַרץ	full	4.0	שוואַרץ, וויליאָם		ניקוד	exact	P-6-facs_78_tr_1747746119	1	3793	ok
וויליאָם עדלין	full	6.0	עדלין, וויליאַם			exact	P-2-facs_379_tr_1744366858	1	3472	ok
וויליאָם קאָנראַד	full	1.0	קאָנראַד, וויליאַם			exact	P-4-facs_270_tr_1754998433	1	1464	ok
וויעראַ גאָרדאָן	full	4.0	גאָרדאָן, וויעראַ			exact	P-4-facs_130_r_2	1	1869	ok
וויעראַ זאַסלאַווסקאַ	full	12.0	זאָסלאָווסקאַיאָ, וויעראָ			exact	P-1-facs_391_tr_1739715056	1	3355	ok
וויעראַ פּאָדאָלסקאַ	full	1.0	פּאָדאָלסקאַ, וויעראַ			exact	P-3-facs_12_tr_1752652590	1		no_db_alignment
וויעראַ ראָזאַנקאַ	full	6.0	ראָזאַנקאַ, וויעראַ [שרה ווינער]			exact	P-4-facs_386_tr_1755029933	1	2772	ok
וויקטאָר גאָלאָווטשינער	full	1.0	גאָלאָווטשינער, וויקטאָר			exact	P-1-facs_146_tr_1740520955	1	1861	ok
וויקטאָר פּעקער	full	4.0	פעקער וויקטאָר (אביגדור)			exact	P-3-facs_127_tr_1754820296	1		no_db_alignment
וולאַדיסלאוו גאָדיק	full	1.0	בעקער, ראָזאַ [זילבערט]			exact	P-1-facs_114_tr_1740520993|P-7-facs_41_r	2	1236	ok
וועלוול באַרזשער	full	4.0	באַרזשער, וועלוועל			exact	P-1-facs_131_r_7	1		no_db_alignment
וועלוול זבאַרזשער	full	6.0	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]			exact	P-1-facs_395_r_6	1	3360	ok
וועלוועל זבאָרזשער	full	3.0	באַרזשער, וועלוועל			exact	P-1-facs_131_r_7	1		no_db_alignment
וועריטע (ווייסבלאַט)	full	1.0	וועריטע, ס. [ס. ווייסבלאַט]			exact	P-7-facs_46_r_2	1	3178	ok
וליאַ זאַנדבערג	full	1.0	זאַנדבערג, יוליאַ [טויבע-איטע ספּעקטאָר]			exact	P-1-facs_390_tr_1739715054	1	3347	ok
זאַהיק דוד	full	1.0	זאַהיק, דוד			exact	P-1-facs_383_tr_1739715273	1	3336	ok
זאַכאַר ווין	full	1.0	זאַכאַראָוו, זכריה			exact	P-5-facs_335_r	1	3339	ok
זאַנווייל פֿרומקיס	full	1.0	פֿרומקיס, זאַנוויל			exact	P-4-facs_375_tr_1755029878	1	1709	ok
זאַנוול שענקמאַן	full	1.0	שענקמאַן, זיגמונד (זיינוול]			exact	P-4-facs_87_tr_1753938277	1	727	ok
זאָל זיין	full	1.0	אונדזערע בויער			exact	P-4-facs_651_tr_1755030219|P-5-facs_595_r_18|P-6-facs_650_tr_1747931534	3		no_db_alignment
זאָן פּאָליאַקאָוו	full	2.0	פּאָליאַקאָוו, זאָן			exact	P-5-facs_247_tr_1739222208	1	2676	ok
זוני מאוד	full	4.0	מאוד זוּני (מועד]			exact	P-2-facs_214_tr_1744280718	1	2421	ok
זיגמונד האַרט	full	1.0	האַרט, זיגמונט			exact	P-1-facs_310_tr_1741260423	1	1978	ok
זיגמונד וויינטרויב	full	3.0	וויינטרויב, זיגמונט			exact	P-1-facs_359_TextRegion_1710852536774_157	1	3236	ok
זיגמונד טורקאָוו	full	9.0	טורקאָוו, זיגמונט			exact	P-2-facs_42_tr_1744131426	1	3125	ok
זיגמונד מאָגולעסקאָ	full	5.0	מאָגולעסקאָ, זיגמונט [זעלייג מאָגילעווסקי]		כתיב	exact	P-2-facs_198_r_4	1		no_db_alignment
זיגמונד פיינמאַן	full	1.0	פיינמאַן, זיגמונד			exact	P-4-facs_70_r	1	714	ok
זיגמונד פֿיינמאַן	full	3.0	פיינמאַן, זיגמונד			exact	P-4-facs_70_r	1	714	ok
זיגמונט באָלק	full	1.0	באָלק, זייגמונט			exact	P-5-facs_173_tr_1736588921	1	3498	ok
זיגמונט האָרט	full	1.0	האַרט, זיגמונט			exact	P-1-facs_310_tr_1741260423	1	1978	ok
זיגמונט וויינטרויב	full	12.0	וויינטרויב, זיגמונט			exact	P-1-facs_359_TextRegion_1710852536774_157	1	3236	ok
זיגמונט טורקאָוו	full	113.0	טורקאָוו, זיגמונט			exact	P-2-facs_42_tr_1744131426	1	3125	ok
זיגמונט טירקאָוו	full	1.0	טורקאָוו, זיגמונט			exact	P-2-facs_42_tr_1744131426	1	3125	ok
זיגמונט לעווין	full	1.0	לעוו, זיגמונט [אש-זעליג]			exact	P-3-facs_350_tr_1756108023	1		no_db_alignment
זיגמונט מאָגולעסקאָ	full	13.0	מאָגולעסקאָ, זיגמונט [זעלייג מאָגילעווסקי]			exact	P-2-facs_198_r_4	1		no_db_alignment
זיגמונט פיינמאַן	full	4.0	פיינמאַן, זיגמונד			exact	P-4-facs_70_r	1	714	ok
זיגמונט פענמאַן	full	1.0	פיינמאַן, זיגמונד			exact	P-4-facs_70_r	1	714	ok
זיגמונט פֿיינמאַן	full	24.0	פיינמאַן, זיגמונד			exact	P-4-facs_70_r	1	714	ok
זיגמונט פֿיינמאָז	full	1.0	פיינמאַן, זיגמונד		לתקן	exact	P-4-facs_70_r	1	714	ok
זיגמינט טורקאָוו	full	1.0	טורקאָוו, זיגמונט			exact	P-2-facs_42_tr_1744131426	1	3125	ok
זיינאַ ראַפּעל	full	16.0	ראַפּעל, ליזע [שולמית שאַפּראַן]			exact	P-6-facs_244_tr_1747928999	1	2735	ok
זינמונט טורקאָוו	full	1.0	טורקאָוו, זיגמונט			exact	P-2-facs_42_tr_1744131426	1	3125	ok
זינמונט לעווין	full	1.0	לעוו, זיגמונט [אש-זעליג]			exact	P-3-facs_350_tr_1756108023	1		no_db_alignment
זיסל גאָרליצקאַ	full	1.0	גאָרליצקאַ-ריינגלאַס, זיסל			exact	P-3-facs_277_tr_1755674190	1		no_db_alignment
זישע גאָלד	full	1.0	גאָלד זישע [לייזגאָלד]			exact	P-4-facs_618_tr_1755029883	1	1808	ok
זישע לאַנדוי	full	2.0	לאַנדוי, זישע			exact	P-2-facs_107_r_2	1	2187	ok
זישע קאַץ	full	3.0	קאַץ, זישע			exact	P-5-facs_97_tr_1733059490	1	3546	ok
זכריה זאַכאַראָוו	full	1.0	זאַכאַראָוו, זכריה			exact	P-5-facs_335_r	1	3339	ok
זכריה פֿישל פֿיליפּעסקאָ	full	1.0	פיליפּעסקאַ און זיין פרוי דזשאַנעט			exact	P-1-facs_132_tr_1740520964	1		no_db_alignment
זכריה פֿראַנצאָס	full	1.0	פֿראַנצאָז, זכריה [פּראַנקאָווסקי]			exact	P-6-facs_90_r_2	1		no_db_alignment
זלאַטקע יאַראָסלאַווסקאַ	full	1.0	יאַראָסלאַווסקאַ, זלאַטע			exact	P-2-facs_73_tr_1744131424	1	3304	ok
זלמן הירשפעלד	full	5.0	הירשפעלד זלמן-לייב			exact	P-1-facs_330_r_16	1	2004	ok
זלמן הירשפעלר	full	1.0	הירשפעלד זלמן-לייב			exact	P-1-facs_330_r_16	1	2004	ok
זלמן זילבערצווייג	full	169.0	זילבּערצווייג, זלמן			exact	P-1-facs_408_TextRegion_1710064929131_307	1	3440	ok
זלמן זילכערצווייג	full	1.0	זילבּערצווייג, זלמן			exact	P-1-facs_408_TextRegion_1710064929131_307	1	3440	ok
זלמן ליבגאָלד	full	3.0	ליבּגאָלד, זלמן			exact	P-2-facs_121_r	1	2292	ok
זלמן קרוין	full	1.0	קרוין [קרוויינשטאַט], זלמן			exact	P-5-facs_547_tr_1739222023	1	2167	ok
זלמן רייזינס	full	1.0	רייזען, זלמן			exact	P-3-facs_355_tr_1755856094	1		no_db_alignment
זלמן רייזן	full	1.0	רייזען, זלמן			exact	P-3-facs_355_tr_1755856094	1		no_db_alignment
זלמן רייזע	full	1.0	רייזען, זלמן			exact	P-3-facs_355_tr_1755856094	1		no_db_alignment
זלמן רייזען	full	48.0	רייזען, זלמן			exact	P-3-facs_355_tr_1755856094	1		no_db_alignment
זמרה זעליגפעלד	full	3.0	זעליגפעלד, זמרה			exact	P-5-facs_66_tr_1733059440	1	3445	ok
זעליג ליבגאָלד	full	3.0	ליבּגאָלד, זעליג			exact	P-2-facs_121_tr_1744279183	1	2293	ok
זעליג מאָגולעסקאָ	full	3.0	מאָגולעסקאָ, זיגמונט [זעלייג מאָגילעווסקי]			exact	P-2-facs_198_r_4	1		no_db_alignment
זעליג שאָר	full	10.0	לעוו, זיגמונט [אש-זעליג]			exact	P-3-facs_350_tr_1756108023	1		no_db_alignment
זעליג שאָר [שור]	full	1.0	שור זעליג [יוסף-אהרן אַשר-זעליג]			exact	P-3-facs_281_tr_1755674203	1		no_db_alignment
זעקב מעסטעל	full	1.0	מעסטעל, יעקב			exact	P-2-facs_293_tr_1744280709	1	920	ok
זשאַנעט פּאַסקעוויטש	full	1.0	פּאַסקעוויטש, דזשאַנעט			exact	P-3-facs_35_tr_1752653022	1		no_db_alignment
זשאַק לעווי	full	5.0	לעווי זשאַק			exact	P-2-facs_178_tr_1744279111	1	2271	ok
זשאַק לעוויי	full	1.0	לעווי זשאַק			exact	P-2-facs_178_tr_1744279111	1	2271	ok
זשורנאַליסט לעאָן גאָטליב	full	1.0	גאָטליב, לעאָן [לייבוש אהרן]			exact	P-1-facs_145_tr_1740521058	1	1879	ok
זשעני זעלצער	full	1.0	זעלצער, דזשעני			exact	P-1-facs_414_r_304	1	3371	ok
זשעני לאָוויץ	full	1.0	לאַוויץ, דזשעני [שמילאָוויטש]			exact	P-6-facs_160_tr_1747825040	1	2212	ok
זשעני שמילאָוויטש	full	1.0	לאַוויץ, דזשעני [שמילאָוויטש]			exact	P-6-facs_160_tr_1747825040	1	2212	ok
חבל בוזגאַן	full	4.0	בוזגאָן, חבל			exact	P-1-facs_89_tr_1740521006	1	1435	ok
