source_sheet	volume	xml_id	heading	index_unmatched	extras
volume 3 align	3.0		רומשינסקי, יוסף [רומשיסקי]		רומשינסקי, יוסף 1832:3
volume 3 align	3.0		רוסקין, שמעון		רוסקין, שמעון 9722:3
volume 3 align	3.0		רייזען, זלמן		רייזען, זלמן 8822:3
volume 3 align	3.0		ריינגלאַס, יעקב		ריינגלאַס, יעקב 1312:3
volume 3 align	3.0		רעכצייט, סימאָר (שמעון ישעיהו]		רעכטצייט, סימאָר 9632:3
volume 3 align	3.0		רעשאַווער, מאַקס		קרעשאווער, מאַקס 5212:3
volume 3 align	3.0		שאַכט, גוסטאָוו		שאַכט, גוסטאַוו 9122:3
volume 3 align	3.0		שאָמער אַברהם		שאָמער, אברהם 4012:3
volume 3 align	3.0		שאַמער-באַטשעליס ראָזע		שאָמער-באַטשעלעס, ראָזע 2112:3
volume 3 align	3.0		שוואַרץ, מאָריס [אַברהם משה]		שוואַרץ, מאָריס 7232:3
volume 3 align	3.0		שוואַרץ, סעם		שוואַרץ, סעם 3622:3
volume 3 align	3.0		שוואַרצבאַרד דוד		שוואַרצבּאַרד, דוד 7212:3
volume 3 align	3.0		שוואַרצבאַרד, גוסטאָוו		שוואַרצבּאַרד, גוסטאַוו 3412:3
volume 3 align	3.0		שולווייס, משה		שולווייס, משה 6232:3
volume 3 align	3.0		שומסקי, וואָלף (מאַרמאָר]		שומסקי, וואָלף 7212:3
volume 3 align	3.0		שומסקי, פעלאַ [כור-לאַנצמאַן]		שומסקי, פעלאַ 8212:3
volume 3 align	3.0		שור ברוך		שור, ברוך 1412:3
volume 3 align	3.0		שור זעליג [יוסף-אהרן אַשר-זעליג]		שור, זעליג 9312:3
volume 3 align	3.0		שושנה, ר		שושנה, ר. 5422:3
volume 3 align	3.0		שייקעוויטש, דזשעק [יעקבן		שייקעוויטש, דזשעק 2312:3
volume 3 align	3.0		שייקעוויטש, נינאַ [הע צאָג]		שייקעוויטש, נינאַ 3312:3
volume 3 align	3.0		שלאָסבערג, יצחק		שלאָסבּערג, יצחק 0512:3
volume 3 align	3.0		"שמ""ר [שייקעוויטש. נחום מאיר]"		"שמ""ר 7702:3"
volume 3 align	3.0		שער-גרין, אסתר		שער-גרין, אסתר 9212:3
volume 7 align	7.0	facs_17_tr_1756390458	"""באַלאַגאַניידען"""		
volume 7 align	7.0	facs_19_r	"„הכל הבל"""		
volume 7 align	7.0	facs_47_tr_1756359790	"""יידישע באַנדע"""		
volume 7 align	7.0	facs_35_r_2	„ניי-אַזאַזעל“		
volume 7 align	7.0	facs_37_r_6	"„סימכעוועסאָסען"" [שמחה וששון]"		
volume 7 align	7.0	facs_74_tr_1757228890	אַבּעלמאַן, מרדכי		
volume 7 align	7.0	facs_13_r_4	אוואכער עוואַ [חוה ליטווין]		
volume 7 align	7.0	facs_71_tr_1757228906	אונטערקישער, האַנס		
volume 7 align	7.0	facs_34_tr_1756359795	איצקאָוויטש, סאָניאַ		
volume 7 align	7.0	facs_28_r_6	אלוני, סעם (שמואל קאָפּעלבוים)		
volume 7 align	7.0	facs_24_r_5	אלטמאן, חיים [היימאן]		
volume 7 align	7.0	facs_28_r_1	אַנטשאַראָוו, איסאק		
