hub_id	canonical_heading	n_entries	n_db_rows	n_surfaces	entry_person_ids	db_ids	volumes	birth_date	death_date	evidence	pending_drafts	multi_db	non_person	top_surfaces
HUB-D684	הורוויץ, [האָרוויץ - הורוויטש] משה איש הלוי פּראָפעסאָר	1	1	10	P-1-facs_312_TextRegion_1708860417410_829	684	1	1844-02-27	1910-03-04	human_align	0	0	0	פּראָפ. הורוויץ|פּראָפעסאָר הורוויץ|פּראָפ. האָרוויץ|משה הורוויץ|„פּראָפעסאָר“ הורוויטש
HUB-D685	מאָגולעסקאָ, זיגמונט [זעלייג מאָגילעווסקי]	1	1	6	P-2-facs_198_r_4	685	2	1858-12-16	1914-02-04	human_align	0	0	0	מאָגולעסקאָ|זיגמונט מאָגולעסקאָ|זיגמונד מאָגולעסקאָ|זעליג מאָגולעסקאָ|מאָגולעסקאָן
HUB-D693	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]	1	1	4	P-2-facs_10_tr_1743943373	693	2	1886		ra_align	0	0	0	טאָמאַשעווסקי|באָריס טאָמאַשעווסקי|באריס טאָמאַשעפסקי|ברוך טשעמערינסקי
HUB-D694	אַבראַמאָוויטש, מאַקס (מענדל)	1	1	1	P-1-facs_19_r_6	694	1	1859	1905-04-06	ra_align	0	0	0	מענדל אַבראַמאָוויטש
HUB-D695	פֿרידזעל, לואיס	1	1	1	P-3-facs_284_tr_1755674201	695	3			human_align	0	0	0	לואיס פֿרידזעל
HUB-D696	שאַרקאַנסקי, אַברהם מיכל	1	1	4	P-4-facs_43_r	696	4	1869-09-08	1907-06-27	ra_align	0	0	0	שאַרקאַנסקי|א. מ. שאַרקאַנסקי|מ. א. שאַרקאַנסקי|מיכל
HUB-D698	גאָרדין, יעקב	1	1	9	P-1-facs_212_tr_1741260189	698	1	1853-05-01	1909-06-10	ra_align	0	0	0	גאָרדין|יעקב גאָרדין|גאָרדינען|יעקב גאָרדינס|י. גאָרדין
HUB-D700	פינקעל, מאָריס [משה]	1	1	2	P-4-facs_132_tr_1754224993	700	4	1852~	1904-06-07	ra_align	0	0	0	מאָריס פינקעל|משה פינקעל
HUB-D701	זילבערמאַן, מאָריס, דר	1	1	0	P-1-facs_407_tr_1739715081	701	1	1881		ra_align	0	0	0	
HUB-D702	היינע-חיימאָוויטש, משה	1	1	6	P-1-facs_320_tr_1741260434	702	1	1853-02-15		ra_align	0	0	0	חיימאָוויטש|היינע|היינע-חיימאָוויטש|מ. חיימאָוויטש|משה היינע-חיימאָוויטש
HUB-D703	קאַרפּ, מאַקס	1	1	3	P-4-facs_91_tr_1753602024	703	4	1856~	1898-11-17	ra_align	0	0	0	מאַקס קאַרפּ|מרס. קאַרפּ|מר. קאַרפּ
HUB-D706	אַדלער, יעקב פּ. [יעקב בן פּנחס]	1	1	5	P-1-facs_23_r	706	1	1855-01-01	1926-03-31	ra_align	0	0	0	יעקב פּ. אַדלער|יעקב אַדלער|יאַנקל אַדלער|יאַנקעל אַדלער|יאַקאָב אַדלער
HUB-D707	עדעלשטיין, יאָזעף (יוסף)	1	1	5	P-2-facs_382_tr_1744366859	707	2	1859-12		ra_align	0	0	0	עדעלשטיין|יאָזעף עדעלשטיין|יוסף עדעלשטיין|י. עדעלשטיין|יאָסל עדעלשטיין
