db_id	hebname	english	alternative_name	gender	date_born	date_died	born_in	died_in	external_source_id	external_source	author_of	editor_of	mentioned_in	professional_role_org	professional_role_perf	character_perf	created_expressions	name_variants	probably_not_zylbercweig	source	raw
3228	טשאַרלז וויינשטיין	Charles Weinstein		Male					yt/lex/W/weinstein-charles.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Charles Weinstein|3228|טשאַרלז וויינשטיין
3229	שאול וויינשטיין	Sol Weinstein		Male					yt/lex/W/weinstein-sol.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Sol Weinstein|3229|שאול וויינשטיין
3230	יוסף וויינשטאָק	Joseph Weinstock		Male					yt/lex/W/weinstock-joseph.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Joseph Weinstock|3230|יוסף וויינשטאָק
3231	שמחה וויינשטאָק	Simcha Weinstock		Female					moyt/lex/W/weinstock-simcha-V5.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Simcha Weinstock|3231|שמחה וויינשטאָק
3232	פרענציס וויינטרויבּ (פייגע)	Frances Weintraub		Female					yt/lex/W/weintraub-frances.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Frances Weintraub|3232|פרענציס וויינטרויבּ (פייגע)
3233	מילטאָן וויינטרויבּ	Milton Weintraub		Male					yt/lex/W/weintraub-milton.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Milton Weintraub|3233|מילטאָן וויינטרויבּ
3234	רבקה וויינטרויבּ (פוספעלד)	Rebecca Weintraub		Female					yt/lex/W/weintraub-rebecca.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Rebecca Weintraub|3234|רבקה וויינטרויבּ (פוספעלד)
3235	סאַלי וויינטרוייב	Sally Weintraub		Female					yt/lex/W/weintraub-sally.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Sally Weintraub|3235|סאַלי וויינטרוייב
3236	זיגמונט וויינטרויבּ	Sigmund Weintraub		Male					yt/lex/W/weintraub-sigmund.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Sigmund Weintraub|3236|זיגמונט וויינטרויבּ
3237	שמחה וויינטרויבּ	Simcha Weintraub		Female					yt/lex/W/weintraub-simcha.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Simcha Weintraub|3237|שמחה וויינטרויבּ
3238	וו ווינטרויבּ	W. Weintraub		Male					yt/lex/W/weintraub-w.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	W. Weintraub|3238|וו ווינטרויבּ
3239	לאה ווינטרויבּ-גאַרף	Leah Weintraub-Graf		Female					moyt/lex/W/weintraub-graf-leah-V5.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Leah Weintraub-Graf|3239|לאה ווינטרויבּ-גאַרף
3240	לעאָן וויזענפעלד	Leon Weisenfeld		Male					yt/lex/W/weisenfeld-leon.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Leon Weisenfeld|3240|לעאָן וויזענפעלד
3241	מוני ווייזענפריינד (משולם-מאיר)	Muni Weisenfreund		Male					yt/lex/W/weisenfreund-muni.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Muni Weisenfreund|3241|מוני ווייזענפריינד (משולם-מאיר)
3242	פיליפּ ווייזענפריינד (נחום-פייוול)	Phillip Weisenfreund		Male					yt/lex/W/weisenfreund-phillip.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Phillip Weisenfreund|3242|פיליפּ ווייזענפריינד (נחום-פייוול)
3243	סאַלי וויזענפריינד (חיה צילקע פישלער)	Salli Weisenfreund		Female					yt/lex/W/weisenfreund-salli.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Salli Weisenfreund|3243|סאַלי וויזענפריינד (חיה צילקע פישלער)
3244	אברהם-יעקב ווייסליץ	Avraham-Yakov Weislitz		Male					yt/lex/W/weislitz-avraham-yakov.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Avraham-Yakov Weislitz|3244|אברהם-יעקב ווייסליץ
3245	יוכבד ווייסליץ (פּראָוויזאָר)	Yocheved Weislitz		Female					yt/lex/W/weislitz-yocheved.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Yocheved Weislitz|3245|יוכבד ווייסליץ (פּראָוויזאָר)
3246	אהרן ווייסמאַן	Aaron Weisman		Male					yt/lex/W/weisman-aaron.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Aaron Weisman|3246|אהרן ווייסמאַן
3247	בּערנאַרדאָ ווייסמאַן	Bernardo Weisman		Female					yt/lex/W/weisman-bernardo.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Bernardo Weisman|3247|בּערנאַרדאָ ווייסמאַן
3248	ווילהעלם ווייס	Wilhelm Weiss		Male					yt/lex/W/weiss-wilhelm.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Wilhelm Weiss|3248|ווילהעלם ווייס
3249	לואיס ווייסבּערג	Louis Weissberg		Male					yt/lex/W/weissberg-louis.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Louis Weissberg|3249|לואיס ווייסבּערג
3250	רחל וויסבּערג	Rachel Weissberg		Female					moyt/lex/W/weissberg-rachel-V5.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Rachel Weissberg|3250|רחל וויסבּערג
3251	בּעסי ווייסמאַן	Bessie Weissman		Female					yt/lex/W/weissman-bessie.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Bessie Weissman|3251|בּעסי ווייסמאַן
3252	ישראל	Israel Welichansky		Male					yt/lex/W/welichansky-israel-V6.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Israel Welichansky|3252|ישראל
3253	ראובן ווענדאָרף	Ruben Wendorf		Male					yt/lex/W/wendorf-ruben.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Ruben Wendorf|3253|ראובן ווענדאָרף
3254	לאהלע ווענדאָרף (וואַסערמאַן)	Leola Wendorff		Female					yt/lex/W/wendorff-leola.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Leola Wendorff|3254|לאהלע ווענדאָרף (וואַסערמאַן)
3255	מישעל-אַדאָלף ווערבעל (משה-אברהם)	Mishel-Adolf Werbel		Male					yt/lex/W/werbel-mishel-adolf.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Mishel-Adolf Werbel|3255|מישעל-אַדאָלף ווערבעל (משה-אברהם)
3256	קלאַראַ וועטשטיין (נעכעלעס-בוקסענבוים)	Clara Wetstein		Female					yt/lex/W/wetstein-clara.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Clara Wetstein|3256|קלאַראַ וועטשטיין (נעכעלעס-בוקסענבוים)
3257	דוד וועטשטיין	David Wetstein		Male					yt/lex/W/wetstein-david.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	David Wetstein|3257|דוד וועטשטיין
3258	יעקב וועקסלער	Jacob Wexler		Male					yt/lex/W/wexler-jacob.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Jacob Wexler|3258|יעקב וועקסלער
3259	בּתיה וויערניק	Batya Wiernik		Female					yt/lex/W/wiernik-batya.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Batya Wiernik|3259|בּתיה וויערניק
3260	יצחק וויערניק	Yitzhak Wiernik		Male					yt/lex/W/wiernik-yitzhak.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Yitzhak Wiernik|3260|יצחק וויערניק
3261	יעקב וויגאָדסקי דר.	Jacob Wigodski		Male					yt/lex/W/wigodski-jacob-dr.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Jacob Wigodski|3261|יעקב וויגאָדסקי דר.
3262	בּערנאַרד ווילענסקי	Bernard Wilensky		Male					yt/lex/W/wilensky-bernard.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Bernard Wilensky|3262|בּערנאַרד ווילענסקי
3263	יוליאַן ווילענסקי	Julian Wilensky		Male					yt/lex/W/wilensky-julian.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Julian Wilensky|3263|יוליאַן ווילענסקי
3264	מערי ווילענסקי (מרים קאץ)	Mary Wilensky		Female					yt/lex/W/wilensky-mary.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Mary Wilensky|3264|מערי ווילענסקי (מרים קאץ)
3265	מייקל ווילענסקי (מיכאל)	Michael Wilensky		Male					yt/lex/W/wilensky-michael.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Michael Wilensky|3265|מייקל ווילענסקי (מיכאל)
3266	מאַקס ווילנער	Max Wilner		Male					yt/lex/W/wilner-max.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Max Wilner|3266|מאַקס ווילנער
3267		Max R. Wilner		Male					yt/lex/W/wilner-max-r.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Max R. Wilner|3267|
3268	מאָריס ווינטשעווסקי (בנציון נאָוואַכאָוויטש)	Morris Winchevsky		Male					yt/lex/W/winchevsky-morris.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Morris Winchevsky|3268|מאָריס ווינטשעווסקי (בנציון נאָוואַכאָוויטש)
3269	לייבּ וויינער	Leyb Winer		Male					yt/lex/W/winer-leyb.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Leyb Winer|3269|לייבּ וויינער
3270	אַנאַטאָל ווינאגראַדאוו (נפתלי-הערץ גליקמאַן)	Anatol Winogradoff		Male					yt/lex/W/winogradoff-anatol.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Anatol Winogradoff|3270|אַנאַטאָל ווינאגראַדאוו (נפתלי-הערץ גליקמאַן)
3271	יוסף ווינאָגראַדאָוו (וויינשטיין)	Joseph Winogradoff		Male					yt/lex/W/winogradoff-joseph.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Joseph Winogradoff|3271|יוסף ווינאָגראַדאָוו (וויינשטיין)
3272	בן-ציון וויטלער	Benzion Witler		Male					yt/lex/W/witler-benzion.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Benzion Witler|3272|בן-ציון וויטלער
3273	ישראל-מעיר וואָהלמאַן	Israel Meir Wohlman		Male					yt/lex/W/wohlman-israel-meir.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Israel Meir Wohlman|3273|ישראל-מעיר וואָהלמאַן
3274	יהודה-לייבּ וואָהלמאַן	Yehuda-Leib Wohlman		Male					yt/lex/W/wohlman-yehuda-leib.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Yehuda-Leib Wohlman|3274|יהודה-לייבּ וואָהלמאַן
3275	אַרטהור וואָלף	Arthur Wolf		Male					yt/lex/W/wolf-arthur.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Arthur Wolf|3275|אַרטהור וואָלף
3276	סיימאָן וואולף (שמחה)	Simon Wolf		Male					yt/lex/W/wolf-simon.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Simon Wolf|3276|סיימאָן וואולף (שמחה)
3277	אהרן וואָלפסזאָהן האַללע	Aaron Wolfsohn-Halle		Male					yt/lex/W/wolfsohn-halle-aaron.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Aaron Wolfsohn-Halle|3277|אהרן וואָלפסזאָהן האַללע
