mention	occurrences	as_heading	alternative_heading	notes
קרוג	5.0	קרוג, [?]		
קרילאָוו	5.0			
קרעמער	5.0	קרעמער, איזאַ	קרעמער איידא	יש יותר מדי אפשרויות
ראָווינדזשער	5.0			
רובין	5.0			יש יותר מדי אפשרויות
רעזניק	5.0			
רעלקין	5.0	רעלקין, ערווין, א. נאַרנאָלד אַברהם]		
שומסקי	5.0	ליפשיץ, מיריאָם [שומסקי]	שומסקי, וואָלף (מאַרמאָר]	
שטיינבערג	5.0	צוקערמאַן, קלאַראַ [שטיינבערג]	שטיינבאַרג אַליעזר	
שידלאָ	5.0			
שייקעוויטש	5.0	שייקעוויטש, דזשעק [יעקבן	שייקעוויטש, נינאַ [הע צאָג]	
שניאור	5.0	שניאור, מ.	לייבּנער דזש. (שניאור-זלמן)	
אוירווינג	4.0			
איזידאָר	4.0			יש יותר מדי אפשרויות
איריס	4.0	איריס, סאָניאַ [פעלדמאַן]	איריס, שמואל	
אַלבּערט	4.0	שעהנגאָלד אבא [אַלבערט]	פרידמאַן, אַלבערט [וועלוול-אַלטער]	
אַלעקסאַנדער	4.0			יש יותר מדי אפשרויות
אַנדרעיעוו	4.0			
באַראַטאָוון	4.0			
בולאָוו	4.0	בולאָוו, יוסף [בולקין]		
בימקאָ	4.0	בימקאַ פֿישל	לאָניאַ בימקאָ	
בלייך	4.0	בלייך, יהודה		
בעני	4.0	שעהנגאַלד בעני	אַבּעלמאַן, בעני [ברוך-משה]	
בערנשטיינען	4.0	יהודית [רחל בערנשטיין]	בערנשטיין, בערל [בורשטין]	
גאַזאָווסקי	4.0	גאַזאָווסקי, מאַרקוס [מענדעלע]		
גאָלדע	4.0	אייזמאַן, גאָלדע	אַמזעל, גאָלדע [געניאַ שניידער]	
גאָלדפֿאַדעם	4.0			
גאָלדשטיין	4.0			יש יותר מדי אפשרויות
גוזיקן	4.0	גוזיק, יעקב		
גוטהאַרץ	4.0			
גינזבורג	4.0	אַרנאַלד [א. גינזבורג]	גינזבורג, אַדעלאַ	
גלאַזונאָוו	4.0	גלאַזונאָוו, בעטיע [בונצע טייקין]	גלאַזונאָוו, נאָאום [נחמן גלאָזמאַן]	
גענפֿער	4.0	גענפֿער סאָלאָמאָן		
גערשענסאָן	4.0	גערשענזאָן, משה		
גרינבערג	4.0			יש יותר מדי אפשרויות
דאָקטאָראָוו	4.0	דאָקטאָראָוו, ב.		
דובינסקי	4.0	דובינסקי, ראובן	דובינסקאַ, דאָראַ [ראָבורין]	
דינעזאָן	4.0	דינעזאָן, יעקב		
דעיוו	4.0	לובריצקי, דעיוו (דוד)		
דראַנאָוו	4.0	דראַנאָוו, מ. [מרדכי דוד ראָזענבלאַט]	דראַנאָוו, נאַדיאַ [גנעסיע מייטוס]	
האָכבערג	4.0	האָכבערג, יעטע	האָכבערג, מרדכי	
הוגאָ	4.0			
וו.	4.0	בידערמאַן, איטשע וו.	גראָלל, טשאַרלס וו.	
וויינבערג	4.0	וויינבערג, הערי [אהרן]	וויינבערג, הערמאַן	יש עוד אפשרויות
ווישניעווסקי	4.0			
ווערשילאָוו	4.0			
זאָלאָטאַרעווסקיס	4.0			
זילבערבערג	4.0	בערג, רודאָלף [זילבערבערג]		
זילבערצווייג	4.0	צילע (באַיאָרסקאָ) זילבערצווייג	צוקערבערג-זילבערצווייג, צילע [טשיפּע באָיאָרסקי, צילע סילווער]	
חיים	4.0			יש יותר מדי אפשרויות
טשייקאָווסקי	4.0	טשייקאָווסקי, הערי [הערשל חייקאָווסקי]		
יאָזעף	4.0			יש יותר מדי אפשרויות
יאָנאַס	4.0	טורקאָוו, יאָנאַס		
יאַנקל	4.0	טרופּיאַנסקי, יאַנקל (יעקב)	לובריצקי, אייזיק-יאַנקעל	
יאָסל	4.0	בודייסקי, יאָסל	מוראַק יאָסל	
יעדוואָב	4.0	יעדוואַבּ, הערש		
יעקב-בער	4.0	ראָזענטאַל, יאַשאַ [יעקב-בער]	גימפּעל, יעקב-בער	
ל.	4.0			יש יותר מדי אפשרויות
לאָרענצאָ	4.0			
ליוויי	4.0	ליוויי, מאַקס	ליוויי, יוּליוּס	
לערנער	4.0	לערנער חנה	הענרי לערנער	יש עוד  אפשרויות
מאָלנאַר	4.0			
מאַנגער	4.0			
מאַנדעלקערן	4.0	מאַנדעלקערן, יאָזעף		
מאָפּאַסאַן	4.0			
מאָריסאָן	4.0	מאָריסאָן, מאָריטץ [משה קאָהן]		
מייערכאָלד	4.0			
מינקאָווסקי	4.0			
ניגער	4.0	ניגער שמואל [טשאַרני]		
נפתלי	4.0	שראַגע, אַדאָלף [נפתלי-יהושע]	בוכוואַלד נפתלי	יש עוד אפשרויות
סאַמבערגן	4.0	סאַמבערג, א. [יצחק-אייזיק סאָמבאָרק]	סאַמבערג, אַ. [יצחק-אייזיק סאַמבאָרעק]	
סטאַניסלאַווסקי	4.0			
סטרעלסקאַ	4.0			
סילוויאַ	4.0	גראָסמאַן, סילוויאַ	סילוויאפ, סאַראַ [גאָלדשטיין]	
ספּיוואַקאָווסקין	4.0			
סקולער	4.0	סקולער צבי		
עפּלבערג	4.0	סקולער צבי		
פ.	4.0	מאָליי, פ. ה.	נוגער, א. פ.	
פּושקין	4.0			
פֿינקעלשטיין	4.0	פינקעלשטיין ישעיה מאיר	עדעלשטיין, פאולינאַ [פינקעלשטיין]	יש עוד אפשרויות
פיסקאַטאָר	4.0			
פעלדמאַן	4.0	איריס, סאָניאַ [פעלדמאַן]	חקלאי [פעלדמאַן]	
פעניגשטיין	4.0	פעניגשטיין, אַדאָלף		
פֿראַנצאָס	4.0	פֿראַנצאָז, זכריה [פּראַנקאָווסקי]		
פֿרוג	4.0			
פֿריימאָן	4.0			
פרענק	4.0			יש יותר מדי אפשרויות
ק.	4.0	קדיש [ק. כאַש]		
קאָמפּאַנעעצן	4.0			למזג עם קאַמפאנעעץ
קאַנער	4.0	קאַנער לעאָפּאָלד [לייב]	קאַנער, שרה [פרילינג]	
קויפמאַן	4.0	קויפמאַן, הערשל	טאָמאַשעווסקי, בעסי [ברכה באומפעלד-קויפמאַן]	
קופּער	4.0			
קופּערמאַן	4.0			
קוראַזש	4.0	קוראַזש, גאָדל [?]		
קושניראָוו	4.0			
קלוג	4.0			
קעמפּנער	4.0			
ראָזענטאל	4.0			יש יותר מדי אפשרויות
ראָלאַנד	4.0	ראָלאַנד, וויליאַם (וועלוול כאַסקין)		
ראַפאָלסקי	4.0			
רובינשטיין	4.0	רובינשטיין, צבי-הירש	גאָלובאַק, אַננאַ [חנה רובינשטיין]	
רעגינאַ	4.0			יש יותר מדי אפשרויות
שאָמער	4.0	שאָמער אַברהם		
שאַפּיראָ	4.0	שאַפּיראַ פֿימע	שאַפּיראָ, אַננאַ (עני)	יש יותר מדי אפשרויות
שולמאַן	4.0	שולמאַן, נייטאָן		
שטאָקפעדער	4.0	שטאָקפעדער, אַברהם [משה]	שטאָקפעדער עוואַ חוה]	
שטראַמער	4.0			
שילדקרויטן	4.0	שילדקרויט, רודאָלף [חיים-מרדכי]		
שילערס	4.0	שילער, רבקה [בוזגאַן, שקאָלניק]		
שלאָסבערג	4.0	שלאָסבערג, יצחק		
שנעק	4.0	שנעק, מאַרקוס		
שפּיראָ	4.0	שפּיראָ, משה		
אַבראַמאָוויטש	3.0	אַבראַמאָוויטש, איזאַק	אַבראַמאָוויטש, בינע [פוקס]	יש עוד אפשרויות
אָגער	3.0			
אחד-העם	3.0			
איידעם	3.0			
אייזענבאַך	3.0			
אייזענבערג	3.0			יש יותר מדי אפשרויות
איסאַק	3.0			
אָלגינסקאַיאָ	3.0			
אַלעקסאַנדראָוו	3.0	אַלעקסאַנדראָוו, אהרן	אַלעקסאַנדראָוו, ח. [וויליאָם מילער]	
אַלשאַנעצקי	3.0	אָלשאַנעצקי, אַלעקסאַנדער [יהושע]		
אַנעט	3.0			אין אֲַנעט. יש א‎ַנעטא
אַסטראָווסקיס	3.0	מאיר אַסטראָווסקי	אַסטראָווסקי, חיים	
אָסקאַר	3.0	קאַרטאָזשינסקי, אָסקאַר [אשר]	אַסטראָף, אָסקאַר [יהושע אָסטריצקי]	יש עוד אפשרויות
אָפּאַטאָשוס	3.0	אָפּאַטאשו, יוסף [יוסף אָפּאַטאָווסקי]		
אָפּעלבוים	3.0	אָפּעלבוים מישאַ		
אַרקאָ	3.0	אַרקאָ פריצי	אַרקאָ, איסאַק	
באָזשיק	3.0	באָזשיק, אַברהמלע	באָזשיק, מאַקס [באָזשיקאָווסקי]	
באַראָדקין	3.0	באַראָדקין, בערל [באַרדאָקין]	באַראָדקין, סאָניאַ	
באַראַץ	3.0	באַראַץ, דוד		
באַרסקאַ-פֿישער	3.0	באַרסקאַ-פֿישער ליזאַ	באַרסקאַ-פֿישער, ליזאַ	
ביילע	3.0	בלייכמאַן, בעטי [ביילע קאַץ]	דזשייקאָבסאָן, בעסי [ביילע שור]	יש עוד אפשרויות
ביעלאַיעוו	3.0			
בירנבוים	3.0	בירנבוים (נחום) נתן, דר.	בירנבוים ישראל [ישראל-איסר באָרנבוים]	יש עוד אפשרויות
בלומענטאל	3.0	בלומענטאַל, נייטאַן	בלומענטאָל, דוד	
בעלאָסקאָ	3.0	שעפנער, אַסתר		
בערגמאַן	3.0	בערגמאַן, שמחה	בערגמאַן, איציק-מענדל	
בערטאַ	3.0			יש יותר מדי אפשרויות
בראָדערזינגער	3.0	בראָדערזינגער און פֿאָלקסינגער		
בראַסלאַווסקי	3.0			
ברוידי	3.0	ברוידי יוסף		
גאָטלאָבער	3.0	גאָטלאָבער, אַברהם-בער		
גאָלדיצע	3.0	גאָלדיצע		
גאָלדפֿאַדנס	3.0	גאָלדפאַדען, וואָלף		
גאָלדפאַדעןס	3.0	געצייכנט פון אברהם גאָלדפאַדען		
גאָרדינען	3.0	גאָרדין, יעקב		
גאַרטענשטיין	3.0	גאַרטענשטיין, יעקב [האַרטענשטיין]		
גאָרין	3.0	אָסקאַר גאָרין	גאָרין, ב. [יצחק גוידאָ-הוידאַ]	
גאַרקי	3.0			
גימפּל	3.0	גימפּעל, אַדאָלף	יאָלעס-גימפּעל, מאַלווינאַ	
גלאָגאָלין	3.0			
גענס	3.0			
גרין	3.0	גרין, אָסקאַר	שער-גרין, אסתר	
דאַניעלס	3.0	דאַניעל, יצחק		
דאָראַ	3.0	קאַרפּינאָוויטש, דאָראַ (דבורה)	ווייסמאַן, דאָראַ	יש יותר מדי אפשרויות
דונאַיעווסקי	3.0			
דיקי	3.0	דיק, אייזיק (יצחק) מאיר		
דעסער	3.0	אָדעסער פֿאָלקס-זינגער מאיר גאָרבאָי [פּאַרך]	אָדעסער פֿאָלקסזינגער	
האָרי	3.0	זיידערמאַן, האַרי		
הורוויטש	3.0	בן-גור, א.א. [אהרן הורוויטש]	הורוויץ, [האָרוויץ - הורוויטש] משה איש הלוי פּראָפעסאָר	
הערמאָלין	3.0	הערמאַלין, משה	הערמאָלין, דוד-משה	
הערצל	3.0	זילבּערט, טעאָדאַר-הערצל		
הערשל	3.0			יש יותר מדי אפשרויות
וויינבלאַט	3.0	וויינבלאַט, סאַבינאַ	וויינבלאַט, ישראל [וואורצל]	
ווייס	3.0	ווייס אַשר-זעליג	ווייס דזשאָן [יוסף-לייב]	יש יותר מדי אפשרויות
ווייסבלאָט	3.0	וועריטע, ס. [ס. ווייסבלאַט]	מיכאַלעסקאָ, מיכאל [ווייסבּלאַט]	
ווינטשעווסקי	3.0	ווינטשעווסקי, מאָריס [בנציון נאָוואָכאָוויטש]		
ווינער	3.0	ווינער-ליכטיגער רעגינע	ראָזאַנקאַ, וויעראַ [שרה ווינער]	
ווערדי	3.0			
ז.	3.0	וויינפּער, ז. [זישע וויינפּערליך]	אנכי ז. י [זלמן יצחק ַאראָנסאָן]	יש עוד אפשרויות
זאָלאָ	3.0			
זאָלאָטאַראָוו	3.0	זאָלאָטאראָוו, הלל דר.	זאָלאָטאַראָף, מאו	
זאָלאַטאַרעפסקי	3.0	זאָלאַטאַרעפסקי, איזידאָר [יצחק]		
זאַקס	3.0	זאַקס ראָיע (?]		
זוסמאַן	3.0	סעגאַלאָוויטש, זוסמאַן	זוסמאַן, יוסף-אַבא	
זיידערמאַן	3.0	זיידערמאַן, האַרי	זיידערמאַן, דוד	
זייפערט	3.0	זייפערט, משה		
זילבערמאָז	3.0	זילבערמאַן, משה	האָראָוויץ-זילבערמאַן, עדיט	
זילבערקאָסטן	3.0	זילבערקאָסטען, משה		
זעלוועראָוויטש	3.0			
זעליג	3.0	ווייס אַשר-זעליג	זאָבאָלינסקי, זעליג	יש עודאפשרויות
זשאָרזש	3.0	זשאָרזש מ. [מאָטל אביון]	דזשאָרדזש מ. זעלצער	
זשולאָווסקי	3.0			
זשיטאָמירסקין	3.0	זשיטאָמירסקי, [?]	זשיטאָמירסקי, יוסף	
חאַרלאַמפּ	3.0			
חאָש	3.0			
חיה-שרה	3.0	נאַטאַנסאָן, סאָניאַ (חיה-שרה)		
חיהלע	3.0	חיהלע אָש (פֿורמאַן)	אַש, חיהלע	
טאַרלאָ	3.0	טאַרלאָ, הענרי		
טורגעניעוו	3.0			
טייטעלבוים	3.0	טייטעלבוים, אַברהם (=שלום, סעם)	טייטעלבוים, חנה [אַננאַ דרוקער]	
טישלער	3.0			
טשיזשיק	3.0	טשיזשיק, בוּנעם	טשיזשיק, דאָראַ	יש עוד אפשרויות
טשערנאָוו	3.0	טשערטאָוו, אַלעקס		
יאָווילער	3.0	יאָוועליר דזשין (בּעלאַ)	יאָוועליר, קלמן	
יאָראַטשינסקי	3.0			
יהודית	3.0	מינקאָוואַ, יוכבד-יהודית	וואַראַדי דזשוליאַ [יהודית האָבערמאַן]	יש עוד אפשרויות
יונגווירטן	3.0	יונגווירט, לעאָפּאָלד (פרץ)	יונגווירט, ערנעסטינע [קערנער]	
יחיאָל	3.0	ענגעלבערג, לוצא [יחיאָל]	גאָלדשמידט, יחיאָל	יש עוד אפשרויות
לאַזאַר	3.0	לאַזאַר-אינגאַרד, חנה [ראַקאָווער]	פריד, לאַזאַר	
לאַנגער	3.0			
לאָנפעלד	3.0			
לונאַטשאַרסקי	3.0			
לוקאַטשער	3.0	לוקאַטשער, חיים-שמואל	לוקאַטשער חיים-שמואל	
לוקסעמבורג	3.0			
ליביז	3.0	ליבּין, ז. [ישראל-זלמן הוּרוויטש]		
ליבערטן	3.0	ליבערט-לובאָצקי, אָליא	ליבערט, שרה ל. [לאה]	
לייבעלע	3.0	גאָלד, לעאָן [לייבעלע גאָלדוואָג]	לאָבּעל, סאָלאָמאָן [לייבעל]	
לייכטענשטיין	3.0	ליכטענשטיין,	ליכטענשטיין, משה	
ליפּאָוויעצקי	3.0			
ליפשיץ	3.0	זאָריצקאַ, גיטל [ליפשיץ-זעליגער]	ליפשיץ [ליוושיץ], משה	יש עוד אפשרויות
לעדער	3.0			
לעווינסאָן	3.0	לעווינסאָן, אַברהם	לעווינזאָן, לודווייג (אַריה-לייב)	
מאָגולעסקאָן	3.0	מאָגולעסקאָ, זיגמונט [זעלייג מאָגילעווסקי]	מאָגולעסקאָ, אַמאַליע [פינקעלשטיין]	
מאַזאַה	3.0	מאז'ה, (מאַזאָ) מרדכי		
מאיר	3.0			יש יותר מדי אפשרויות
מאָלסקי	3.0			
מאַנסדאָרף	3.0	מאַנסדאָרף, אַברהם-יעקב [קעלמאָוויטש]		
מאַרינאָוו	3.0	מאַריענהאָף, מאַקס		
מורער	3.0			
מיאָדאָווניק	3.0	מיאָדאָווניק, מאַרק		
מיטניק	3.0	מיטניק, לייזער	מיטניק, אייק	
מיכאַלעסקאַ	3.0	מיכאַלעסקאָ, מיכאל [ווייסבּלאַט]	אין אָנדענק פֿון מיכאל און אַננאַ מיכאַלעסקאָ	
מינדלין	3.0	צוקערמאַן, מינדל [שנאַפּ]	בירנבוים, מיני [מינדל פּולפּעל]	
מינצע	3.0	גאָכאַנסקי, מרים (מינצע)		
מלכה	3.0	שעפנער, מלכה	גאָלדשטיין, בעקי [מלכה רבקה ראָזענבערג]	יש עוד אפשרויות
מנחם	3.0			יש יותר מדי אפשרויות
מענדעלסאָן	3.0	מענדעלסאָן, דזשאָזעף	מענדעלסאָן, שלמה [קייאָווסקי]	
מערי	3.0	מערי ריטשמאַן	אַבראַמאָוו, מערי [מרים איינהאָרן]	
נ.	3.0	ראַקאָוו, נ.	גאָרדאָן, נ.	יש עוד אפשרויות
נאָדיר	3.0	נאַדיר, משה [יצחק רייז]		
נאָרפלוס	3.0	נאָרפלוס, יוסף		
נעסטאָר	3.0	נעסטאָר משה		
סאַבינאַ	3.0	ראָזענטאַל, סאַבינאַ	וויינבלאַט, סאַבינאַ	
סאָניע	3.0			יש יותר מדי אפשרויות
סאָפיע	3.0	קאַרפּ, סאָפיע	אַפּטייקער סאָפיאַ [שרה פֿריינד]	יש עוד אפשרויות
סאָקס	3.0	סאַקס, מיכאַאיל [סאַדייגורסקי]		
סאָרדו	3.0			
סוכאָדאָלסקי	3.0			
סורגוטשאָוו	3.0			
סטענלי	3.0			
ספּיוואַק	3.0			
עבעלן	3.0			
עדעלהאָפער	3.0	עדעלהאָפֿער, מאָריץ (משה)		
עמאַ	3.0	דרייזינאַ, עמאַ	עמאַ שייווער	
עני	3.0	האָפמאַן-שניידער עני	זימאַן, עני	יש עוד אפשרויות
פֿאָגעלנעסט	3.0			
פּאָדזאַמטשען	3.0			
פּאַסטערנאַק	3.0			
פוקס	3.0	פוקס, רוזשע	אַבראַמאָוויטש, בינע [פוקס]	
פֿיינבערג	3.0			
פֿיינמאָן	3.0	פיינמאַן, זיגמונד	טשערניאַק, עני [פיינמאַן]	
פֿינקעל	3.0	פינקעל, אַליעזר-דוד	פינקעל, אַנעטא [שוואַרץ]	יש עוד אפשרויות
פּיראַנדעלאָ	3.0			
פישמאַן	3.0	פישמאַן, סילוויאַ	בעלאַ און יעקב פישמאַן	יש עוד אפשרויות
פּערלמאַן	3.0			
פֿריד	3.0	פריד, לאַזאַר		
פֿרידזעל	3.0			
פּריזאַמענט	3.0	היידען-פּריזאַמענט, גיזי		
פרישמאן	3.0	פרישמאַן, דוד		
צאָלמאַן	3.0			
צונזער	3.0	טאָמער צונזער, מרים (מיני)	צונזער, אליקום	
צילע	3.0			יש יותר מדי אפשרויות
צימבאַליסט	3.0	צימבאַליסט, קאָרל [עקיבאַ]		
צמח	3.0			
קאַדיסאָן	3.0	קאָדיסאָן, לייב [שוסטער]		
קאָן	3.0	קאָן, מאָטל	קאָן, שלמה	
קאַרמאַן	3.0			
קאָרנבליט	3.0	פיעלד אסתר [קאָרנבליט]	קאָרנבליט, ז[ישע]	
קדיש-כאַש	3.0	קדיש [ק. כאַש]		
קוגעל	3.0			
קורץ	3.0	קורץ, אַברהם	קורץ-סמאַרגאַנסקאַ, מוסיאַ [לאַנגמאַן]	
קושטשינסקי	3.0			
קלמן	3.0	קאַטץ, איזידאָר [יצחק-קלמן]	גוטמאַן, קלמן	יש יותר מדי אפשרויות
ראָזאַ	3.0			יש יותר מדי אפשרויות
ראָזאָווסקי	3.0			
ראָזענפעלד	3.0	באָנטשע [אַברהם ראָזענפעלד]	ראָזענפעלד, יונה	יש עוד אפשרויות
ראָט	3.0	ראָט, גרשון		
ראָטמאַן	3.0	ראָטמאַן, אייזיק		
ראָטשיין	3.0	ראָטשטיין פעליאַ	ראָטשטיין, סאָלאָמאָן [שלמה]	
רבקה	3.0			יש יותר מדי אפשרויות
רחל'ע	3.0			
ריבאַלסקי	3.0	ריבאַלסקי, מרדכי		
רייזל	3.0	באַזשיק, רייזל [לעוועבראווסקאַ]	טארוּ, רות [רייזל טוכמאַכער]	
רייזענס	3.0	רייזען, אַברהם	רייזען, זלמן	
רייש	3.0			
"רמב""ם"	3.0			
רעי	3.0			
רעמאַרק	3.0			
שאַר	3.0	שאָר יהושע-העשל	שאָר [שור], משה	יש עוד אפשרויות
שאַרלאָטע	3.0	הורוויץ שאַרלאָטא [שיפרע]		
שטיימאַן	3.0			
שטראוס	3.0			
שטשערבאַקאָוו	3.0	שטשערבאַקאָוו, באָריס מאַרקאָוויטש [בער מאיר]		
שידלאָווער	3.0			
שליפערשטיינען	3.0	שליפערשטיין, אַדאָלף		
שמוּליאַק	3.0	שמוליאק		
שענקמאַן	3.0	שענקמאַן, יאָסעלע	שענקמאַן, דוד (?]	
שראַמעק	3.0			
אַבעלמאַן	2.0	אַבּעלמאַן, בעני [ברוך-משה]	אַבּעלמאַן, מרדכי	
אַבראַשאַ	2.0			
אַגעדן	2.0			
אָדלער-ליפּאָווסקי	2.0			
אַדלערס	2.0			יש יותר מדי אפשרויות
אַדעלאַ	2.0			יש יותר מדי אפשרויות
אַוועליר	2.0			
אַזאַרך	2.0	אַזאַרך, יצחק		
איגנאַץ	2.0	שיפּער יצחק (איגנאַץ) דר.		
איליא	2.0	קאָריק, איליאַ	גאָלדפֿאַדען יידל [איליאַ גאָלדענפֿאָדים]	
אַלקאַן	2.0	אַלקאָן, י [יהושע עלקין]	אַלקאַן,יהושע	
אַמאליע	2.0	סעגאַלעסקאָ, אַמאַליע (מלכה)	נאַטאַנסאָן, אַמאַליע (נאַטאַליאָ?)	
אַנדערסען	2.0			
אַנדרעיעווס	2.0			
אַנדרעעווס	2.0			
אַניאַ	2.0	וועלטמאַן, אַנעטאָ [אננאַ]	בוים אַננאַ [חנה פּאָלאַקאָווסקאַ]	
אַניע	2.0	קאַפּוסטין, אַניע		
אַנעטאַ	2.0	אַקסעלראָד, אַנעטאַ [ברענער]	גראָדנער אַנעטאָ	יש עוד אפשרויות
אָנער	2.0			
אַפֿרים	2.0	פֿאָדלובני פרויקע (אפרים)		
אַפרתי	2.0			
אַרבוזאָוו	2.0			
אַרציבאַשעוו	2.0	אַרצישעווסקאַ, טאָטשיא [ליפּסקי, קראטקאָ]		
אָרשאַנסקי	2.0			
באַלזאַק	2.0			
באָלעסלאַווסקי	2.0			
באַקסט	2.0			
באַראַנדעס	2.0	באַראַנדעס, יוסף		
באָריץ	2.0	באָריץ, פֿראַנץ [אָפרים]	באַריץ, קלאַרא [דרוקער]	
באַשעוויס	2.0			
בוגאָוואַ	2.0			
בוזגאַן	2.0			
בוים	2.0	בוים יחיאָל	בוים אַננאַ [חנה פּאָלאַקאָווסקאַ]	
בולמאַן	2.0	בולמאַן, גוירטי	בולמאַן, מאַקס	
ביכנער	2.0			
בן-אָרי	2.0	בן-אָרי ר [חיים-זאָב רייקין]		
בן-יעקב	2.0			
בן-עמין	2.0	בן-עמי יעקב [שטשירין]	גאָלדבלאַט, מוישע [משה גאָלדענבלאָט — בן-עמי]	
בנציון	2.0	וועקשטיין, בנציון	מאָזער בנציון [יעקב הערצאָג]	
בעקערן	2.0	בעקער, ראָזאַ [זילבערט]	בעקער, סאַשאַ	
בערנאָרדי	2.0	בערנאַרדי בערל [טאָפּ]	בערנאָרדי העלען [לאַמפּעל — טאָפּף]	
בערענשטיין	2.0			
בראַדסקי	2.0	בראָדסקי, אהרן	בראָדסקי, מוסיאַ	
בראַנדעס	2.0	בראַנדעס, שאַול		
בראָניסלאָוו	2.0			
ברין	2.0	ברין, מאַקס	ברין, אַליאַ [גאָלדע זיידלין]	
בריעס	2.0			
ברעכער	2.0	ברעכער, עגאָן		
גאָטליב	2.0	גאָטליב, העלענאַ [שלאַגמאַן]	גאָטליב, לואיס סילאַ	יש עוד אפשרויות
גאָטעספעלדס	2.0	גאָטעספעלד חנאַ		
גאַטפּריד	2.0	גאָטפֿריד, איידל [ערליך]	גאָטפֿרייד, אַברהם-יצחק	
גאָלדאָני	2.0			
גאָלדמאַן	2.0	גאָלדמאַן	גאָלדמאַן, דוד	
גאָלדענבורגן	2.0	גאָלדענבורג, סעמיועל [שלום גאָלדשטיין]		
גאָלדפלוס	2.0			
גאָלובאָק	2.0			
גאַלסוואירטי	2.0			
גאַרבאַרסקי	2.0			
גאָרדאָן	2.0	גאָרדאָן, הערש-לייב	גאָרדאָן, וויעראַ	
גאָרדיז	2.0			
גאַרטעלעוויטש	2.0	גאַרטעלעוויטש, יעקב		
גבריאל	2.0	גבריאל ראָזענטאָל	זאַר, הער [גבריאל זאַרשעווסקי]	
גוטמאַן	2.0	גוטמאַן, חיים	גוטמאַן, קלמן	יש עוד אפשרויות
גילטמאַן	2.0	גילטמאַן, איזידאָר		
גלאַנץ-לעיעלעס	2.0	לעיעלעס, א. [אַהרן גלאַנץ]		
גלינקא	2.0			
געבילס	2.0	געביל, הערי	געביל, מאַקס [מנחם-מענדעל, נחום]	
געבירטיק	2.0	געבירטיג, מרדכי [בערטיג]	געבירטיג, מרדכי	
געטע	2.0			
געלאַדע	2.0			
גערשאַנאָוויטש	2.0	גערשאַנאָוויטש, הערש	גאָטליב, קלאַראַ [גערשאַנאָוויטש]	
גראָמאַן	2.0			
גראָפּער	2.0	גראָפּער איידאַ [בריה]	גראָפּער יוסף	
גרובינסקי	2.0			
גריגאָריאַ	2.0			
גרינשטיין	2.0	גרינשטיין, חנה,		
גריצהענדלער	2.0			
גרעץ	2.0			
דאַווידאָוויטש	2.0			
דבורה	2.0	ראָזענבלום דבורה	באָרטשעווסקאַ, אירענאַ [דבורה]	יש עוד אפשרויות
דזשוּליוס	2.0	אַדלער, דזשוליוס [יואל]	דזשוליוס און בערטאָ מילער	יש עוד אפשרויות
דזשין	2.0	יאָוועליר דזשין (בּעלאַ)	גרינפעלד, דזשין [יעקב]	
דיומא	2.0			
דינה	2.0	שאַיעוויטש, דינה [אייגעלסקיאַ]	גאָלדבערג, דינה	יש עוד אפשרויות
דינמאַן	2.0	דינמאַן [דילמאַן], שמחה		
דינענזאָן	2.0	דינעזאָן, יעקב		
דיקענס	2.0			
דעניקין	2.0			
דראָדאָוויטש	2.0	דראָזדאָוויטש, [?]		
האזנקוועלער	2.0			
האָכשטיין	2.0	האָכשטיין, הערי [כאזין]	האָכשטיין, יעקב	
האָפּשטיין	2.0			
האַרלאַמפּ-קאַניעווסקאַ	2.0			
הובערמאַן	2.0			
היימאַן	2.0	מילער היימאַן (?)	אַדלער, היימאַן [באַרטפּעלד]	יש עוד אפשרויות
היימי	2.0	פריזאַנט, היימי	דזשייקאָבסאָן, היימי [חיים-מענדל]	
הילסבערג	2.0	הילסבערג, דבורה (דאַרעלע)	הילסבערג, מרדכי	
הלוי	2.0	האַלפּערן, יצחק-צבי הלוי	הורוויץ, [האָרוויץ - הורוויטש] משה איש הלוי פּראָפעסאָר	
העלער	2.0	העלער איציק [הערשקאָוויטש]		
הענרי	2.0	בלום הענרי [היינריך]	בערלעווי הענריק	יש עוד אפשרויות
הענריעטאָ	2.0	דזשייקאָבסאָן, הענריעטאָ		
הענריק	2.0	בערלעווי הענריק	גרינבערג, הענריק	יש עוד אפשרויות
העראָלד	2.0	שטערנבערג, העראָלד		
הערי	2.0			יש יותר מדי אפשרויות
העריס	2.0	פֿיינבערג, העריס	העריס, אַל.	
הערש	2.0			יש יותר מדי אפשרויות
הריניוויעצקאַ	2.0			
הריניעוויעצקא	2.0			
וואָכטאָנגאָוון	2.0			
וואָלגעשאַפּען	2.0	וואָלגעשאַפען, מ.		
וואָלטער	2.0			
וואָלפֿזאָן	2.0	וואָלפסזאָהן האָללע, אהרן		
וואָלפּסאָן	2.0	וואָלפסזאָהן האָללע, אהרן		
וואַן-ראָזען	2.0			
וואַרלאַמאָוו	2.0			
ווייטער	2.0	ווייטער, א. [אייזיק-מאיר דעווענישסקי]		
וויינטרויבן	2.0	וויינטרויב-גראַף, לאה	וויינטרויב, וו.	יש יותר מדי אפשרויות
ווייסבערג	2.0	ווייסבערג רחל	ווייסבערג, לואיס	יש עוד אפשרויות
ווייסהאָף	2.0	ליטווינאַ-ווייסהאָף, בערטאַ		
