a_xml_id	b_xml_id	verdict	reason	a_db_id	b_db_id	a_heading	b_heading
facs_102_tr_1740521060	facs_382_r_5	different	db_contradiction	1323	3255	בלאַנק. יחיאָל	ווערבעל, מישעל-אַדאָלף [משה-אַברהם]
facs_102_tr_1740521060	facs_396_tr_1744366839	different	db_contradiction	1323	1568	בלאַנק. יחיאָל	עלשטיין אַברהם
facs_102_tr_1740521060	facs_407_tr_1744366814	different	db_contradiction	1323	1589	בלאַנק. יחיאָל	ערבער, דושליוס (יחיאל)
facs_102_tr_1740521060	facs_408_tr_1747930566	different	db_contradiction	1323	3654	בלאַנק. יחיאָל	רייזען, אַברהם
facs_102_tr_1740521060	facs_43_r	different	db_contradiction	1323	696	בלאַנק. יחיאָל	שאַרקאַנסקי, אַברהם מיכל
facs_102_tr_1740521060	facs_43_tr_1733050580	different	db_contradiction	1323	3444	בלאַנק. יחיאָל	בוים יחיאָל
facs_102_tr_1740521060	facs_43_tr_1747746166	different	db_contradiction	1323	1573	בלאַנק. יחיאָל	ענגעלבערג, לוצא [יחיאָל]
facs_102_tr_1740521060	facs_44_tr_1740521158	different	db_contradiction	1323	1600	בלאַנק. יחיאָל	אייכעל, יצחק
facs_102_tr_1740521060	facs_463_tr_1747930281	different	db_contradiction	1323	2289	בלאַנק. יחיאָל	ליבערמאַן אַברהם
facs_102_tr_1740521060	facs_509_tr_1739221079	different	db_contradiction	1323	3548	בלאַנק. יחיאָל	קאַצענעלסאָן, יצחק[-יחיאָל]
facs_102_tr_1740521060	facs_55_tr_1753681940	different	db_contradiction	1323	3807	בלאַנק. יחיאָל	צוקערמאַן, לייזער
facs_102_tr_1740521060	facs_59_tr_1740521087	different	db_contradiction	1323	1204	בלאַנק. יחיאָל	אַקסעלראָד, אַברהם [אַברהם יצחק]
facs_102_tr_1740521060	facs_64_tr_1747746195	different	db_contradiction	1323	2273	בלאַנק. יחיאָל	לייב אַ [אַברהם-מרדכי]
facs_102_tr_1740521060	facs_80_tr_1733059427	different	db_contradiction	1323	1185	בלאַנק. יחיאָל	אַש. אַברהם [אַברהם אווערבוך]
facs_102_tr_1740521060	facs_82_tr_1744131384	different	db_contradiction	1323	2385	בלאַנק. יחיאָל	ים, א. [יעקב-אברהם יערוכאָמאָוויטש — י. א. מעריסאָן]
facs_102_tr_1740521060	facs_86_tr_1733059457	different	db_contradiction	1323	3510	בלאַנק. יחיאָל	האַלפּערן, אַברהם
facs_102_tr_1740521060	facs_86_tr_1753938264	different	db_contradiction	1323	2008	בלאַנק. יחיאָל	האָכבאַן, אַברהם
facs_102_tr_1740521060	facs_87_r	different	db_contradiction	1323	3634	בלאַנק. יחיאָל	פישזאָן, אַברהם
facs_102_tr_1740521060	facs_90_tr_1740521094	different	db_contradiction	1323	728	בלאַנק. יחיאָל	בוים אַברהם
facs_102_tr_1740521060	facs_97_tr_1733059493	different	db_contradiction	1323	2623	בלאַנק. יחיאָל	פּאַסטאָר משה [מוני] [אַברהם משה פּאַסטערנאַק]
facs_102_tr_1747825165	facs_155_tr_1747825066	different	db_contradiction	1658	2075	פֿישער סאַמועל (שאול-פּנחס)	קאָניסקעוויטש, פּנחס
facs_102_tr_1747825165	facs_19_r_7	different	db_contradiction	1658	3652	פֿישער סאַמועל (שאול-פּנחס)	זשיטניצקי, ל. [פּנחס-אַליעזר]
facs_102_tr_1747825165	facs_299_r	different	db_contradiction	1658	2900	פֿישער סאַמועל (שאול-פּנחס)	שאַפּיראָ, פּנחס
facs_102_tr_1747825165	facs_84_tr_1757228895	different	db_contradiction	1658	1654	פֿישער סאַמועל (שאול-פּנחס)	פֿישער, אַברהם-אַליעזר
facs_102_tr_1753681953	facs_108_r	different	db_contradiction	3007	2970	סאָלאָמאָן, אַסתר	ראָזענבערג, שרה (-שיינדל) [הערמאַן]
facs_102_tr_1753681953	facs_11_r	different	db_contradiction	3007	2068	סאָלאָמאָן, אַסתר	קאַליש, בערטאָ
facs_102_tr_1753681953	facs_120_tr_1753936413	different	db_contradiction	3007	838	סאָלאָמאָן, אַסתר	קראַנצפעלד שרה
