mention	occurrences	as_heading	alternative_heading	notes
ל. זשעלאַזאַ	2.0	זשעלאַזא, לייזער [זשעלאַזני]		
ל. טאָלסטאָי	2.0			ויקידאטה
ל. טרייסטער	2.0			
ל. מ. שטיין	2.0			
ל. מאָרגענשטערן	2.0			
ל. מילער	2.0			
ל. פריימאַן	2.0			
ל. קאָברין	2.0	קאָברין, לעאָן		
ל. קאָברינס	2.0	קאָברין, לעאָן		
ל. קוויטקאָ	2.0			
ל. קרישטאָל	2.0	קרישטאָל, לעאָן [לייב]		
ל. קרעמער	2.0	קרעמער לואיס		
ל. רעזניק	2.0			
ל. שטראַספאָגעל	2.0	שטראַספֿאַגעל, לעאָן		
ל. שרייבער	2.0			
ל. שריפטזעצער	2.0	שריפטזעצער, לייב		
מ. בראָדערזאָן	2.0	בראָדערזאָהן, משה		
מ. גאָלדבלאַט	2.0	גאָלדבלאַט, מוישע [משה גאָלדענבלאָט — בן-עמי]		
מ. דאַנציס	2.0	דאַנציס, מרדכי		
מ. וויינער	2.0			
מ. וויינרייך	2.0	וויינרייך, מאַקס דר [מאיר]		
מ. זאַגאַרסקי	2.0	זאַגאָרין, זלמן		
מ. זייגלער	2.0	זיגלער, מאָריץ [משה בעלזער]		
מ. ח. מיטעלמאַן	2.0		מיטעלמאַן, אהרן	
מ. ל. מייערסאָן	2.0	מייערסאָן, מ. ל.		
מ. ליבליך	2.0	ליבּליך, מאָריץ (יצחק-משה)		
מ. מאַזא	2.0	מאז'ה, (מאַזאָ) מרדכי		
מ. מאַזאָה	2.0	"מאז""ה,, מרדכי"		
מ. מיכאַלעסקאָ	2.0	מיכאַלעסקאָ, מיכאל [ווייסבּלאַט]		
מ. נאַכאַמקוס	2.0	סעגאַלעסקאָ, מרדכי (סעגאַל)		
מ. סעגאַלעסקאָ	2.0	סעגאַלעסקאָ, מרדכי (סעגאַל)		
מ. פּולאַווער	2.0		פולווער לעוו	
מ. ריוועסמאַן	2.0	ריוועסמאַן, מרדכי		
מאַקס נ. מייזעל	2.0			
מר. סיימאַן	2.0	סיימאָן	סיימאָן, מעי	
מרס. סיימאַן	2.0	מר. און מרס סוסמאַן		
מרס. קאַרפּ	2.0	קאַרפּ, מאַקס		
נ. ב. מינקאָוו	2.0		מינקאָוואַ, יוכבד-יהודית	
נ. גאָלדבערג	2.0			
נ. זאַלאָוויץ	2.0			
נ. צוקער	2.0			
נ. שטיף	2.0			
ס. ב. גראָסמאַן	2.0	גראָסמאַן, סעמועל ב.		
ס. גאָלדענבורג	2.0	גאָלדענבורג, סעמיועל [שלום גאָלדשטיין]		
ס. דינגאָל	2.0	דינגאָל,ס.		
ס. דיקשטיין	2.0	דיקשטיין, סאול		
ס. טאָביאַס	2.0	טאָביאַס, סעמועל [שמואל טאַבאַטשניקאָוו]		
ס. טאָרנבערג	2.0	טאָרבערג, סעמיועל (שמואל)		
ס. יושקעוויטש	2.0	יושקעוויטש, סעמיאָן		
ס. מ. מיכאָעלס	2.0	מיכאָעלס, ס. מ. [שלמה וואַפּסי]		
ס. ע. ראַדלאָוו	2.0			
ס. פּשיבישעווסקי	2.0			
סט. קלער	2.0			
סידני מ. גאָלדין	2.0	גאָלדין, סידני [סאַמועל גאָלדשטיין]		
עדוואַרד דזש. ראָבינסאָן	2.0			
פ. אַראָנעס	2.0	אַראָנעס, פֿייוול		
פ. באַריץ	2.0			
פ. בימקאָ	2.0	בימקאַ פֿישל		
פּ. הירשביין	2.0	הירשביין, פרץ		
פ. מאַרקיש	2.0	מאַרקיש, פּערעץ		
פּראָפ. קאַסטאָלדי	2.0			
ר. א. ברוידעס	2.0			
ר. זאַסלאַווסקי	2.0	זאַסלאַווסקי, רודאָלף [ראובן-לייב]		
ר. רובינשטיין	2.0			
ש. איריס	2.0	איריס, שמואל		
ש. אַלמאַזאָוו	2.0			
ש. באַסטאָמסקי	2.0		באַסטאָמסקי, אהרן	
ש. בערנשטיין	2.0			
ש. גאָלדשטיין	2.0	גאָלדשטיין, שמואליק	גאָלדשטיין, שכר	
ש. דובנאָוו	2.0			
ש. וויינטרויב	2.0	וויינטרויבּ, שמחה		
ש. ל. האַנדוואַהל [ס. וואָהל]	2.0			
ש. מיכאָעלס	2.0	מיכאָעלס, ס. מ. [שלמה וואַפּסי]		
ש. מילער	2.0			
ש. פרוג	2.0			
ש. קאַזשדאַן	2.0			
ש. קרויזע	2.0	קרויזע, שלמה		
ש. קרויזען	2.0	קרויזע, שלמה		
ש. שטיינבערג	2.0	שטיינבערג, שלמה		
ש. שנייפֿאַל	2.0			
Předsezónní  prohlídka  následujícího  dne    při  středečním  obědě  v  Brně  nebude  chybět.  Vesnická  kapela  při  zpěvu  hrála  skvěle,  návštěvníků  bylo  kolem  šesti set  a  nálada  u  stolu  se  hned  lepšila.  Děvčata  vynikala  v  nádherných krojích. Hosté si mohli kromě švestkových dobrot dát i pivo či víno. Každý návštěvník pak dostal u vchodu uzenou slivovičku a jablíčko. Zastavil se i ministr zemědělství pan Marek Výborný. Slavnostní dopoledne jsme si příjemně užili a jsme moc rádi, že nás pan poslanec Stanislav Blaha přišel navštívit.  Děkujeme.  -rk-      příloha k textu 1, k textu 2</em></em></em>_A_D01.csv	1.0			
B. Rosenzweig	1.0			
Dr. M. Bienenstock	1.0	(blank)		
E. P. E. p. r. i. n. t. o. o. p. h. t. h. s. c. c. p. s. s. d. (n. 1838) , f. h. r. q. u. i. l. . r. c. s. l. n. l. p. d. m. t. v. r. o. i. n. s. t. a. i. r. s. c. m. d. h. e. l. p. t. u. r. o. o. r. n. s. e. l. e. v. r. t. p. s. d. d. a. d. d. d. u. p. e. c. a. e. f. r. m. t. l. c. i. b. a. c. t. e. r. s. a. r. f. i. d. o. m. l. u. d. s. p. m. i. o. r. t. l. t. e. r. t. c. e. r. t. a. i. n. p. s. i. c. d. i. o. g. m. r. d. c. o. n. d. i. t. i. o. n. s. o. f. s. t. a. t. e. f. u. n. i. v. e. r. s. i. t. y. s. t. u. d. e. n. t. s. s. t. u. d. y. s. e. r. v. i. c. e. s. . I. n. G. O. L. e. v. i. n. s. k. i. f. i. n. e. r.  . ( Ed. ) , , T. h. e. h. e. a. l. t. h. y. s. e. l. f. : . p. s. y. c. h. o. l. o. g. i. c. a. l. d. e. t. e. r. m. i. n. a. n. t. s. o. f. h. e. a. l. t. h. a. n. d. w. e. l. l. b. e. i. n. g. . N. e. w. B. r. u. n. s. w. i. c. k. , . N. J. : . R. u. t. g. e. r. s. U. n. i. v. e. r. s. i. t. y. P. r. e. s. s. .</u> </strong> </div><div class=	1.0			
אַ ס. ריבאָ	1.0			
א. א. בן-גור	1.0	בן-גור, א.א. [אהרן הורוויטש]		
א. אַבראַמאָוויטש	1.0			
א. אואיילד	1.0			
א. אַווערבוך	1.0	אַש. אַברהם [אַברהם אווערבוך]		
א. אַווערטשענקאָ	1.0			
א. אויערבאַך	1.0	אויערבאַך, אפֿרים		
א. אוליאָנימסקי	1.0			
א. אוספּענסקי	1.0			
א. אַזארך	1.0		אַזאַרך, יצחק	
א. אייזענבערג	1.0	אייזענבערג אהרן	אייזענבערג אַווראָם	אייזענבערג אברהם
א. אָלשאַגעצקי	1.0	אָלשאַנעצקי, אַלעקסאַנדער [יהושע]		
א. אַסטראָוו	1.0			
א. אַסטראָף	1.0	אַסטראָף, אָסקאַר [יהושע אָסטריצקי]		
א. אַשכנזי	1.0	אַשכנזי איזידאָר [אייזיק]		
א. ב. בירנבוים	1.0			
א. ב. וועליזשעוו	1.0			
א. באַביטש	1.0			
א. באַזילינסקי	1.0		באַזעלינסקי, נחום	
א. באַראַן (ראביי זיידמאַן)	1.0			
א. בוימריטטער	1.0			
אַ. ביידערמאַן	1.0			
א. בייזער	1.0			
א. בלאַק	1.0		בלאַק יעטאַ	
א. בן צבי	1.0			
א. בן-שמר	1.0			
א. בערמאַן	1.0	בערמאַן, אַדאָלף		
א. בערקאָוויטש	1.0	בערקאָוויטש, אַברהם		
א. בראַהינסקי	1.0			
א. ברושטיין	1.0			
א. ג. קאָמפּאַניעיעץ	1.0			
א. ג. קאָמפּאַנענץ	1.0			
א. גאָלאָמב	1.0			
א. גאָלדווין	1.0			
א. גאָלדענבערג	1.0	גאָלדענבערג איציקל	גאָלדענבערג, אַסתר	
א. גאָלדפאַדן	1.0	געצייכנט פון אברהם גאָלדפאַדען		
א. גאָלובאָק	1.0	גאָלובאַק, אַברהם	גאָלובאַק, אַננאַ [חנה רובינשטיין]	
א. גאַמזע	1.0			
א. גאָרפינקעל	1.0			
א. גילטמאַן	1.0	גילטמאַן, איזידאָר		
א. גימעראָ	1.0			
א. גלאַנץ	1.0	לעיעלעס, א. [אַהרן גלאַנץ]	גלאַנץ, א.	
א. גערטנער	1.0	גערטנער, אַדאָלף		
א. געריסמאַן	1.0			
א. גראָסמאַן	1.0	גראָסמאַן, אוירווינג [יצחק לייב]		
