edition,page(s),line_id / count,category,owner,issue/detail,text,suggested_action
Yetsi'as Mitsrayim,40,r1l8,schema violation,NOA,stage span requires a type attribute (no bare stage),%apart/ ,fix per schema
Yetsi'as Mitsrayim,40,r1l15,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritt Menafto,fix per schema
Yetsi'as Mitsrayim,41,r1l15,schema violation,NOA,stage span requires a type attribute (no bare stage),%treibt allen weg/,fix per schema
Yetsi'as Mitsrayim,42,r1l6,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritt Ferisiss Tutmasiss,fix per schema
Yetsi'as Mitsrayim,43,r1l8,schema violation,NOA,stage span requires a type attribute (no bare stage),Quartet,fix per schema
Yetsi'as Mitsrayim,44,r1l17,schema violation,NOA,stage span requires a type attribute (no bare stage),/alle tanzen ab/,fix per schema
Yetsi'as Mitsrayim,44,r1l18,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritt Paroh Isiss.,fix per schema
Yetsi'as Mitsrayim,45,line_1635018788975_1279,schema violation,NOA,stage span requires a type attribute (no bare stage),/ab/,fix per schema
Yetsi'as Mitsrayim,45,line_1635018795823_1287,schema violation,NOA,stage span requires a type attribute (no bare stage),ruft/,fix per schema
Yetsi'as Mitsrayim,45,line_1635018795823_1287,schema violation,NOA,stage span requires a type attribute (no bare stage),%erscheinen/,fix per schema
Yetsi'as Mitsrayim,46,r1l11,schema violation,NOA,stage span requires a type attribute (no bare stage),"Auftritt Moses, Aron, Tutmasiss",fix per schema
Yetsi'as Mitsrayim,47,r1l10,schema violation,NOA,stage span requires a type attribute (no bare stage),%beide ab/,fix per schema
Yetsi'as Mitsrayim,47,r1l17,schema violation,NOA,stage span requires a type attribute (no bare stage),%er komt Bald,fix per schema
Yetsi'as Mitsrayim,47,r1l19,schema violation,NOA,stage span requires a type attribute (no bare stage),macht mit den Stecken fange un,fix per schema
Yetsi'as Mitsrayim,47,r1l20,schema violation,NOA,stage span requires a type attribute (no bare stage),"zu krücken frosche, alle laufen her",fix per schema
Yetsi'as Mitsrayim,47,r1l21,schema violation,NOA,stage span requires a type attribute (no bare stage),und hin.),fix per schema
Yetsi'as Mitsrayim,47,r1l22,schema violation,NOA,stage span requires a type attribute (no bare stage),Vorhang,fix per schema
Yetsi'as Mitsrayim,48,r1l2,schema violation,NOA,stage span requires a type attribute (no bare stage),Palast bei Paroh.,fix per schema
Yetsi'as Mitsrayim,48,r1l13,schema violation,NOA,stage span requires a type attribute (no bare stage),"Auftritt Paroh, Nachschon.",fix per schema
Yetsi'as Mitsrayim,49,r1l7,schema violation,NOA,stage span requires a type attribute (no bare stage),"Auftritt Moische, Aron.",fix per schema
Yetsi'as Mitsrayim,50,r1l16,schema violation,NOA,stage span requires a type attribute (no bare stage),/ab/,fix per schema
Yetsi'as Mitsrayim,51,r1l9,schema violation,NOA,stage span requires a type attribute (no bare stage),%Aron Moische ab/,fix per schema
Yetsi'as Mitsrayim,51,r1l14,schema violation,NOA,stage span requires a type attribute (no bare stage),/ab/,fix per schema
Yetsi'as Mitsrayim,51,r1l15,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritt Mirjam. Schifro.,fix per schema
Yetsi'as Mitsrayim,52,r2l12,schema violation,NOA,stage span requires a type attribute (no bare stage),/ab/,fix per schema
Yetsi'as Mitsrayim,52,r2l15,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritt Nachschon.,fix per schema
Yetsi'as Mitsrayim,54,r1l12,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritt Isiss,fix per schema
Yetsi'as Mitsrayim,56,r1l13,schema violation,NOA,stage span requires a type attribute (no bare stage),%umarmung/,fix per schema
Yetsi'as Mitsrayim,57,r1l3,schema violation,NOA,stage span requires a type attribute (no bare stage),%alle ab/,fix per schema
Yetsi'as Mitsrayim,57,r1l4,schema violation,NOA,stage span requires a type attribute (no bare stage),Verwandlung,fix per schema
Yetsi'as Mitsrayim,57,r1l5,schema violation,NOA,stage span requires a type attribute (no bare stage),%freie gegend%,fix per schema
Yetsi'as Mitsrayim,57,r1l12,schema violation,NOA,stage span requires a type attribute (no bare stage),/singt/,fix per schema
Yetsi'as Mitsrayim,59,r1l20,schema violation,NOA,stage span requires a type attribute (no bare stage),%alle ab/,fix per schema
Yetsi'as Mitsrayim,60,r1l1,schema violation,NOA,stage span requires a type attribute (no bare stage),Verwandlung alles bein Seider,fix per schema
Yetsi'as Mitsrayim,60,r1l2,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritt Schifro Menafto.,fix per schema
Yetsi'as Mitsrayim,60,r1l12,schema violation,NOA,stage span requires a type attribute (no bare stage),Singt/ ,fix per schema
Yetsi'as Mitsrayim,61,line_1635020486507_2161,schema violation,NOA,stage span requires a type attribute (no bare stage),% wiederholt das selbe%,fix per schema
Yetsi'as Mitsrayim,61,r2l12,schema violation,NOA,stage span requires a type attribute (no bare stage),Vorhang,fix per schema
Yetsi'as Mitsrayim,62,r2l1,schema violation,NOA,stage span requires a type attribute (no bare stage),IV Aufzug freie gegend.,fix per schema
Yetsi'as Mitsrayim,62,r2l6,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritt Ferisiss,fix per schema
Yetsi'as Mitsrayim,63,line_1635020961879_2417,schema violation,NOA,stage span requires a type attribute (no bare stage),%ab,fix per schema
Yetsi'as Mitsrayim,63,r2l11,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritt Isiss.,fix per schema
Yetsi'as Mitsrayim,64,r1l8,schema violation,NOA,stage span requires a type attribute (no bare stage),%ab/,fix per schema
Yetsi'as Mitsrayim,64,r1l15,schema violation,NOA,stage span requires a type attribute (no bare stage),%ab/,fix per schema
Yetsi'as Mitsrayim,64,r1l16,schema violation,NOA,stage span requires a type attribute (no bare stage),Verwandlung,fix per schema
Yetsi'as Mitsrayim,64,r1l17,schema violation,NOA,stage span requires a type attribute (no bare stage),bein breg von Jam-Sif,fix per schema
Yetsi'as Mitsrayim,64,r1l18,schema violation,NOA,stage span requires a type attribute (no bare stage),Alle auf ein Barg.,fix per schema
Yetsi'as Mitsrayim,65,r1l4,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritt Isiss,fix per schema
Yetsi'as Mitsrayim,65,r1l23,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritt Nachschon.,fix per schema
Yetsi'as Mitsrayim,66,line_1635021200554_2611,schema violation,NOA,stage span requires a type attribute (no bare stage),%Moische hebt,fix per schema
Yetsi'as Mitsrayim,66,r2l6,schema violation,NOA,stage span requires a type attribute (no bare stage),"sein stecken das Meer spalt sich, alle gehen arüber",fix per schema
Yetsi'as Mitsrayim,66,r2l7,schema violation,NOA,stage span requires a type attribute (no bare stage),auf den anderen seit singen%,fix per schema
Yetsi'as Mitsrayim,66,line_1636305006095_608,schema violation,NOA,unknown attrs on add: ['place'],n6246,fix per schema
Yetsi'as Mitsrayim,66,r2l13,schema violation,NOA,stage span requires a type attribute (no bare stage),"% wärend gesang tret auf Paroh, Soldaten gehen",fix per schema
Yetsi'as Mitsrayim,66,r2l14,schema violation,NOA,stage span requires a type attribute (no bare stage),"ins meer das Wasser dekt sei zu, geschrei",fix per schema
Yetsi'as Mitsrayim,66,r2l15,schema violation,NOA,stage span requires a type attribute (no bare stage),"Lärm, Musik Sturm%",fix per schema
Yetsi'as Mitsrayim,66,r2l16,schema violation,NOA,stage span requires a type attribute (no bare stage),Vorhang,fix per schema
Yetsi'as Mitsrayim,66,r2l17,schema violation,NOA,stage span requires a type attribute (no bare stage),Ende,fix per schema
