play	page	line_id	offset	mark	function	role	n	existing_tags	flag	line_text
MS_Emigration	0094	line_1653499353424_339	12	RII	musicCue	out		stage		II Returnel RII
MS_Emigration	0094	line_1653499362470_349	0	Marsch	musicCue	genre		stage		Marsch
MS_Emigration	0094	line_1653499377980_372	0	Returnell	musicCue	genre		unclear		Returnell
MS_Emigration	0095	line_1653499518585_503	0	II Returnel	musicCue	out		stage,textStyle,unclear		II Returnel
MS_Emigration	0097	r1l12	31	II Returnel	musicCue	out		speaker,stage,textStyle,unclear		סאני איך ווילל ניט איך געה ניט II Returnel
MS_Emigration	0108	line_1653491006393_3349	0	RI	musicCue	in		stage		RI
MS_Emigration	0109	line_1653490737258_3270	0	RII	musicCue	out		speaker,stage		RII X .?מאריץ ערטראנקען
MS_Emigration	0110	line_1653490514251_3206	0	RII	musicCue	out		stage		RII4
MS_KhurbnYerusholaim	0009	line_1637614880872_660	0	Refrein	musicCue	genre		head		Refrein }
MS_KhurbnYerusholaim	0021	r1l15	2	Refrein	musicCue	genre		stage		} Refrein
MS_KhurbnYerusholaim	0024	r2l13	5	Duet	musicCue	genre		head		2 cm Duet II
MS_KhurbnYerusholaim	0033	r1l17	3	arya	musicCue	genre		unclear		II arya
MS_TissaEssler	0007	region_1643560356202_457l19	0	N 3	musicCue	number	3	stage		N 3
MS_TissaEssler	0008	r2l9	0	No. 4	musicCue	number	4	stage,unclear		No. 4 Returne N=
MS_TissaEssler	0008	r2l9	4	4 Returne	musicCue	genre		stage,unclear		No. 4 Returne N=
MS_TissaEssler	0013	r1l31	0	No 1	musicCue	number	1	stage		No 1
MS_TissaEssler	0013	line_1644016119935_1807	0	N 2	musicCue	number	2	stage		N 2
MS_TissaEssler	0014	r1l5	25	Returnal	musicCue	genre				שטעלט פאר דיא דאָרפס שוהל Returnal
MS_YaakovEsav	0006	r3l7	1	No 1	musicCue	number	1	head,stage		.No 1
MS_YoysefInEgipten	0025	r2l1	51	No. 9	musicCue	number	9	stage		אין קעטען געשלאסען %מען בריינגט יוסיפען אין קייטין No. 9%
Lateiner_Meshumed	0004	line_1604851952792_1257	0	R I	musicCue	in		head,heading		R I II 1ter Act
Lateiner_Meshumed	0004	line_1605181385842_108	0	II R	musicCue	out		heading		II R
Lateiner_Meshumed	0004	line_1604849993346_1155	0	IR	musicCue	in		foreign,heading,unclear		IR | וועה איז מיר, מיינע קישקיס זוגען שוין ווידע.
Lateiner_Meshumed	0004	line_1604850008673_1160	17	R.I	musicCue	in		heading,speaker,textStyle		קאצאפ. | אה זו? .R.I
Lateiner_Meshumed	0005	r2l4	52	R. II	musicCue	out		foreign,heading,speaker		מעכיל. | אוי אז טאנצין זאל איך שוין נאך אייער לויה. R. II
Lateiner_Meshumed	0011	line_1605457299965_2411	25	R.I	musicCue	in		heading,speaker		אלע. | וווהין געהסטו?   .R.I
Lateiner_Meshumed	0015	r1l12	44	RI	musicCue	in				נאך הויזע קאמען וועל איך עס איהם דערצעהלין. RI
Lateiner_Meshumed	0015	r1l14	0	SI	sceneCue	in		heading		SI | אה יאסיף יוסיף איז דוס ניט דאס גראב געזאנג מיט ווילכין
Lateiner_Meshumed	0015	r1l21	0	R.II	musicCue	out		heading		R.II
Lateiner_Meshumed	0015	line_1606663968417_152	0	S II	sceneCue	out		heading		S II
Lateiner_Meshumed	0016	line_1606072634391_860	0	IIR	musicCue	out		stage,textStyle		IIR | (איין צימער בא מעכלין. געדעקטע טישען. ברענען דיע לעכט. פֿראטיג צי נאכטס)
Lateiner_Meshumed	0016	line_1606072522903_799	50	R.I	musicCue	in		heading,stage		טאקע שרה און ווארט נאך אויס מיטען צימיס (שרה אב) .R.I
Lateiner_Meshumed	0017	line_1606073309966_1331	23	R.II	musicCue	out		speaker		שרה. | יא יא זינג טאקע R.II
Lateiner_Meshumed	0018	r2l5	35	IR	musicCue	in		heading		וואס העלפֿט דוס וויינען און קלוגען IR
Lateiner_Meshumed	0019	r2l12	0	IR	musicCue	in		heading		IR
Lateiner_Meshumed	0019	r2l19	35	R.I	musicCue	in		foreign,heading		אבער צו ערשט וויל איך מאכען קידוש. R.I
Lateiner_Meshumed	0019	r2l22	22	IIR	musicCue	out		_deleted,foreign,heading,textStyle		אהוא וברוך שמוי. אמן. IIR
Lateiner_Meshumed	0019	line_1606074229787_1777	15	R.II	musicCue	out		heading,stage		(זינגען קידוש) R.II
Lateiner_Meshumed	0021	line_1606075204972_2223	39	IR	musicCue	in		_deleted,speaker,textStyle		יוסיף. | זא נעמען זיא דאס געלד אנקעל. .IR R.I
Lateiner_Meshumed	0021	line_1606075204972_2223	42	R.I	musicCue	in		_deleted,speaker,textStyle		יוסיף. | זא נעמען זיא דאס געלד אנקעל. .IR R.I
Lateiner_Meshumed	0021	line_1606075298943_2279	38	IIR	musicCue	out		foreign,heading,speaker,stage		קינד. | מאמאשא (וויינט) (מוזיק שטורם) IIR מעלאדראמע R.II
Lateiner_Meshumed	0021	line_1606075298943_2279	52	R.II	musicCue	out		foreign,heading,speaker,stage		קינד. | מאמאשא (וויינט) (מוזיק שטורם) IIR מעלאדראמע R.II
Lateiner_Meshumed	0021	line_1606075084151_2138	0	SI	sceneCue	in		heading		SI | ליובאוו ווירסטו אונטער דיינע פֿענסטיר הערין דיע שטיממע
Lateiner_Meshumed	0021	line_1606075093664_2143	51	R.I	musicCue	in		heading		פֿאן דיע יודען וועלכע ווערדען שריין וועה אוי וועה. R.I
Lateiner_Meshumed	0022	line_1607359384930_214	14	R.II	musicCue	out		head,heading		פֿערוואנדלונג R.II SII
Lateiner_Meshumed	0022	line_1607359384930_214	19	SII	sceneCue	out		head,heading		פֿערוואנדלונג R.II SII
Lateiner_Meshumed	0023	line_1607701679322_510	0	SI	sceneCue	in		heading		SI
Lateiner_Meshumed	0023	line_1607702072260_729	48	IR	musicCue	in		heading,speaker		איוואן. | און דאך זאגע איך דיר קאממע מיט אונדז. IR
Lateiner_Meshumed	0023	line_1607701868849_622	0	SII	sceneCue	out		heading		SII
Lateiner_Meshumed	0023	line_1607701362791_314	0	IIR	musicCue	out		_underline,foreign,heading		IIR | געריכט הויז. מוזיק שפיעלט. באזשע צאריא חראני ריכטיר איוואן.
Lateiner_Meshumed	0024	line_1607703237609_1429	23	R.I	musicCue	in		heading,role,stage		גרעגואר (מיט א פאפיער) R.I
Lateiner_Meshumed	0024	line_1607703219800_1417	7	IR	musicCue	in		heading		לעבען. IR
Lateiner_Meshumed	0024	line_1607702209691_818	38	R.II	musicCue	out		heading		קאמט און עמפפֿאנגט אייער נייען ברודער R.II
Lateiner_Meshumed	0024	line_1607702343402_874	0	IIR	musicCue	out		heading		IIR
Lateiner_Meshumed	0025	line_1607702898787_1204	0	IIR	musicCue	out		head,heading,textStyle		IIR דריטער אקט (קערקיר)
Lateiner_Meshumed	0026	r2l19	0	R.I	musicCue	in		heading		R.I
Lateiner_Meshumed	0026	line_1608460389664_72	0	IR	musicCue	in		heading		IR
Lateiner_Meshumed	0026	r1l20	0	IIR	musicCue	out		heading		IIR R.II
Lateiner_Meshumed	0026	r1l20	4	R.II	musicCue	out		heading		IIR R.II
Lateiner_Meshumed	0027	r1l19	0	SII	sceneCue	out		heading		SII
Lateiner_Meshumed	0029	line_1608658810894_709	0	IIR	musicCue	out		heading		IIR
Lateiner_Meshumed	0031	line_1608658332410_530	0	IR	musicCue	in		heading		IR
Lateiner_Meshumed	0031	line_1608658341293_536	0	SI	sceneCue	in		heading		SI
Lateiner_Meshumed	0031	r1l41	0	RI	musicCue	in		heading		RI | גליקליכסטע מענשין אויף דער וועלט. יעטצט
Lateiner_Meshumed	0031	r1l8	0	RII	musicCue	out		heading		RII
Lateiner_Meshumed	0031	r1l9	0	SII	sceneCue	out		heading		SII
Lateiner_Meshumed	0031	line_1608658404103_561	0	IIR	musicCue	out		heading		IIR
Lateiner_Meshumed	0032	line_1608658086002_445	0	IR	musicCue	in		heading		IR
Lateiner_Meshumed	0032	r1l9	0	RI	musicCue	in		heading		RI
Lateiner_Meshumed	0032	line_1608658237690_500	0	IR	musicCue	in		heading		IR
Lateiner_Meshumed	0032	r1l35	0	IIR	musicCue	out		heading		IIR
Lateiner_Meshumed	0032	r1l36	0	RII	musicCue	out		heading,stage		RII כהר זינגט.
Lateiner_Meshumed	0033	r2l4	0	IIR	musicCue	out		heading		IIR
Lateiner_Meshumed	0036	line_1608637058494_298	0	IR	musicCue	in		heading		IR
Lateiner_Meshumed	0037	line_1609680003376_513	0	R II	musicCue	out		heading		R II S II
Lateiner_Meshumed	0037	line_1609680003376_513	5	S II	sceneCue	out		heading		R II S II
