source_value	wikidata_yi	english_name	wikidata_qid	resolved_category	match_status	grade	flags	candidates	confidence	entry_ids	contexts
מירגאָראָד		Myrhorod		unmatched	name_ambiguous	C_review	ambiguous_exact_name	"[{""kima_id"": 14421, ""rom"": ""Myrhorod (Poltavsʹka oblastʹ, Ukraine)"", ""heb"": ""מירהורוד (מחוז פולטבה, אוקראינה)""}, {""kima_id"": 26508, ""rom"": ""Myrhorod (Ukraine)"", ""heb"": ""מירגורוד (אוקראינה)""}]"	0.5	1-facs_212_tr_1741260189	birth
באָטקע		Botka		unmatched	fuzzy	C_review		"[{""kima_id"": 13074, ""rom"": ""Sobótka (Wrocław, Poland)"", ""heb"": ""סובוטקה (פולין)""}]"	0.6	1-facs_247_tr_1713385128	birth
אישאמיר		Ishamar		unmatched	fuzzy	C_review		"[{""kima_id"": 27012, ""rom"": ""Shama (Ghana)"", ""heb"": ""שאמא (גאנה)""}, {""kima_id"": 7245, ""rom"": ""Mogadishu (Somalia)"", ""heb"": ""מוגדישו (סומליה)""}]"	0.6	1-facs_258_tr_1741260279	birth
אָלגאָראָבאָס		Olgarovos		unmatched	no_match	C_review		[]	0.0	1-facs_258_tr_1741260281	birth
גאָרליצע		Gorlice		unmatched	fuzzy	C_review		"[{""kima_id"": 923, ""rom"": ""Gorlice (Poland)"", ""heb"": ""גורליץ (פולין)""}]"	1.0	1-facs_261_tr_1741260190	birth
סקאָלאָ		Skole		unmatched	name_ambiguous	C_review	ambiguous_exact_name	"[{""kima_id"": 8001, ""rom"": ""Skala-Podilʹsʹka (Ukraine)"", ""heb"": ""סקאלה-פודילסקה (אוקראינה)""}, {""kima_id"": 17382, ""rom"": ""Skole (Ukraine)"", ""heb"": ""סקולה (אוקראינה)""}]"	0.5	1-facs_266_tr_1741260236	birth
באָלשאָי טאָקמאָק		Prymorsk		unmatched	no_match	C_review		[]	0.0	1-facs_267_tr_1741260279	birth
ביעלאַ צערקאָוו		Bila Tserkva		unmatched	fuzzy	C_review		"[{""kima_id"": 350, ""rom"": ""Bila T︠S︡erkva (Ukraine)"", ""heb"": ""בילה צרקווה (אוקראינה)""}]"	1.0	1-facs_280_TextRegion_1711971459737_380	birth
רושטשוק		Ruse		unmatched	fuzzy	C_review		"[{""kima_id"": 444, ""rom"": ""Ruse (Bulgaria)"", ""heb"": ""רוסצ'וק (בולגריה)""}]"	1.0	1-facs_287_tr_1741260245	birth
מעזשירעוו		Medzhibozh		unmatched	no_match	C_review		[]	0.0	1-facs_287_tr_1741260241	birth
יעדיניעץ		Yedintsy		unmatched	no_match	C_review		[]	0.0	1-facs_287_tr_1741260236	birth
סעקורען		Secureni		unmatched	no_match	C_review		[]	0.0	1-facs_299_tr_1741260438	birth
מיקאָלייווע		Mykolaiv		unmatched	name_ambiguous	C_review	ambiguous_exact_name	"[{""kima_id"": 10962, ""rom"": ""Mykolaïv (Mykolaïvsʹka oblastʹ, Ukraine)"", ""heb"": ""מיקולייב (מחוז מיקולייב, אוקראינה)""}, {""kima_id"": 27169, ""rom"": ""Mykolaïv (Ukraine)"", ""heb"": ""מיקולייב (אוקראינה)""}]"	0.5	1-facs_299_tr_1741260425	birth
נזשיבי		Nyzhankovychi		unmatched	fuzzy	C_review		"[{""kima_id"": 87879, ""rom"": ""Nyzhankovychi (Ukraine)"", ""heb"": ""ניז'יאנקוביצה (אוקראינה)""}]"	1.0	1-facs_300_r_4	birth
באָבין		Bobin		unmatched	fuzzy	C_review		"[{""kima_id"": 71631, ""rom"": ""Babyn (Chernivet︠s︡ʹka oblastʹ, Ukraine)"", ""heb"": ""באבין (מחוז צ'רנוביץ, אוקראינה)""}]"	1.0	1-facs_305_tr_1741260383	birth
זשאָרקי		Zhorky		unmatched	no_match	C_review		[]	0.0	1-facs_305_tr_1741260377	birth
נאָווידוואָר		Nowy Dwór Mazowiecki		unmatched	fuzzy	C_review		"[{""kima_id"": 42, ""rom"": ""Nowy Dwór Mazowiecki (Poland)"", ""heb"": ""נובי דבור מזוביצקי (פולין)""}]"	1.0	1-facs_306_tr_1741260491|2-facs_65_tr_1744131354	birth
קאָדימאַ		Kodima		unmatched	no_match	C_review		[]	0.0	1-facs_307_r_2|1-facs_308_tr_1741260516	birth
זאבלאָטוווקא		Zablotvoka		unmatched	no_match	C_review		[]	0.0	1-facs_312_TextRegion_1708860400000_821	birth
קלעשטשעל		Kleszczele		unmatched	no_match	C_review		[]	0.0	1-facs_323_tr_1741260490	birth
סטאָוויסק		Stawiszyn		unmatched	name_ambiguous	C_review	ambiguous_exact_name	"[{""kima_id"": 20711, ""rom"": ""Stavky (Veselynivsʹkyĭ raĭon, Ukraine)"", ""heb"": ""סטאוויסק (אוקראינה)""}, {""kima_id"": 23885, ""rom"": ""Stawiski (Poland)"", ""heb"": ""סטויסק (פולין)""}, {""kima_id"": 23800, ""rom"": ""Stawiszyn (Poland)"", ""heb"": ""סטאווישין (פולין)""}]"	0.5	1-facs_330_r_16|1-facs_137_tr_1740521115	birth
טאָרנאָוו		Tarnów		unmatched	name_ambiguous	C_review	ambiguous_exact_name	"[{""kima_id"": 765, ""rom"": ""Tarnów (Poland)"", ""heb"": ""טרנוב (פולין)""}, {""kima_id"": 17463, ""rom"": ""Tornow (Calau, Germany)"", ""heb"": ""טורנוב (קלאו)""}]"	0.5	1-facs_332_tr_1741260405	birth
קאָנסקאָיאָליע		Konskoiyolie		unmatched	no_match	C_review		[]	0.0	1-facs_337_tr_1741260519	birth
וואָלאָטשיסק		Volochysk		unmatched	fuzzy	C_review		"[{""kima_id"": 87880, ""rom"": ""Volochysʹk (Ukraine)"", ""heb"": ""וולוצ'יסק (אוקראינה)""}, {""kima_id"": 17744, ""rom"": ""Pidvolochysʹk (Ukraine)"", ""heb"": ""פאדוואלאטשוסקא (אוקראינה)""}]"	0.6666666666666666	1-facs_348_tr_1741260382	birth
זוואָניעץ		Zvanyach		unmatched	no_match	C_review		[]	0.0	1-facs_349_tr_1741260454	birth
וואידיסלאָוו		Władysławów		unmatched	name_ambiguous	C_review	ambiguous_exact_name	"[{""kima_id"": 20470, ""rom"": ""Kudirkos Naumiestis (Lithuania)"", ""heb"": ""קודירקוס נאומייסטיס (ליטא)""}, {""kima_id"": 24652, ""rom"": ""Władysławów (Poland)"", ""heb"": ""ולדיסלבוב (פולין)""}]"	0.5	1-facs_350_tr_1741260476|1-facs_350_tr_1741260473	birth
נאָדוואורנאַ		Nadvirna		unmatched	fuzzy	C_review		"[{""kima_id"": 1640, ""rom"": ""Nadvirna (Ukraine)"", ""heb"": ""נדבורנה (אוקראינה)""}]"	1.0	1-facs_353_tr_1741260469	birth
ביניאַקאָני		Byenyakoni		unmatched	no_match	C_review		[]	0.0	1-facs_353_tr_1741260479	birth
סטאָרע-מיאָסטאָ		Stare Miasto		unmatched	name_ambiguous	C_review	ambiguous_exact_name	"[{""kima_id"": 19647, ""rom"": ""Stare Miasto (Warsaw, Poland)"", ""heb"": ""עיר ישנה (ורשה)""}, {""kima_id"": 22782, ""rom"": ""Stare Miasto (Poznań, Poland)"", ""heb"": ""העיר העתיקה (פוזנן, פולין)""}, {""kima_id"": 22810, ""rom"": ""Stare Miasto (Lublin, Poland)"", ""heb"": ""העיר העתיקה (לובלין, פולין)""}]"	0.5	1-facs_354_tr_1741260453	birth
ביאָלאַ-צערקאָוו		Bila Tserkva		unmatched	fuzzy	C_review		"[{""kima_id"": 350, ""rom"": ""Bila T︠S︡erkva (Ukraine)"", ""heb"": ""בילה צרקווה (אוקראינה)""}]"	1.0	1-facs_365_tr_1741260403	birth
סטעפּין		Stepin		unmatched	no_match	C_review		[]	0.0	1-facs_379_tr_1739715276	birth
סעקורעני		Secureni		unmatched	no_match	C_review		[]	0.0	1-facs_381_r_2	birth
ראָסנע		Rosne		unmatched	no_match	C_review		[]	0.0	1-facs_395_tr_1739715051	birth
לעלציץ		Łęczyca		unmatched	name_ambiguous	C_review	ambiguous_exact_name	"[{""kima_id"": 650, ""rom"": ""Łęczyca (Łęczyca, Poland)"", ""heb"": ""לנצ'יצה (לנצ'יצה, פולין)""}, {""kima_id"": 21071, ""rom"": ""Łęczyca (Poland : Voivodeship)"", ""heb"": ""לונטשיץ (פולין : מחוז)""}]"	0.5	1-facs_413_tr_1739715083	birth
ניקאָלאַיעוו		Mykolaiv		unmatched	name_ambiguous	C_review	ambiguous_exact_name	"[{""kima_id"": 10962, ""rom"": ""Mykolaïv (Mykolaïvsʹka oblastʹ, Ukraine)"", ""heb"": ""מיקולייב (מחוז מיקולייב, אוקראינה)""}, {""kima_id"": 27169, ""rom"": ""Mykolaïv (Ukraine)"", ""heb"": ""מיקולייב (אוקראינה)""}]"	0.5	1-facs_20_tr_1740515229|2-facs_307_r_1|2-facs_357_tr_1744365788|3-facs_28_tr_1752653013|3-facs_313_tr_1756043369|3-facs_351_tr_1756108349|6-facs_34_r_1|7-facs_16_r_2	birth
גרודעק		Horodok		unmatched	name_ambiguous	C_review	ambiguous_exact_name	"[{""kima_id"": 13157, ""rom"": ""Horodok (Lʹvivsʹka oblastʹ, Ukraine)"", ""heb"": ""הורודוק (מחוז לביב, אוקראינה)""}, {""kima_id"": 20620, ""rom"": ""Horodok (Lut︠s︡ʹkyĭ raĭon, Ukraine)"", ""heb"": ""האראדישטש (אוקראינה)""}]"	0.5	1-facs_21_tr_1740515222	birth
האָראָשקי		Horoshki		unmatched	no_match	C_review		[]	0.0	1-facs_35_tr_1740520969|5-facs_19_tr_1729944965	birth
זוואָנטשיק		Zvonachka		unmatched	no_match	C_review		[]	0.0	1-facs_38_tr_1740521016	birth
סאָוואָליווקע		Sovolivka		unmatched	no_match	C_review		[]	0.0	1-facs_48_tr_1740521130	birth
ניעזשין		Nizhyn		unmatched	fuzzy	C_review		"[{""kima_id"": 1644, ""rom"": ""Niz︠h︡yn (Ukraine)"", ""heb"": ""ניזהין (אוקראינה)""}]"	1.0	1-facs_61_tr_1740521167	birth
