attestation_id,source_corpus,source_record_id,org_db_id,source_field,context,source_value,source_value_script,link_status,qid,label_en,label_yi,place_type,category,kima_id,kima_rom,kima_heb,lat,lon,maaty_qid,maaty_qid_conflict,rejected_qid,relink_source,suggested_qid,suggested_english,is_descriptor,review_flags,link_method
P-1-facs_209_tr_1741260252#settlement#1,person,1-facs_209_tr_1741260252,,settlement,burial,ניו יאָרק,hebrew,linked,Q60,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,32,New York (N.Y.),ניו יורק (נ.י.),40.712778,-74.006111,,,,,,,,,
P-1-facs_210_tr_1741260180#place#1,person,1-facs_210_tr_1741260180,,place,burial,וואַשינגטאָן בית-עולם,hebrew,linked,Q7971720,Washington Cemetery,,Jewish cemetery,cemetery,,,,,,,,,,,,,,
P-1-facs_212_tr_1741260189#place#1,person,1-facs_212_tr_1741260189,,place,burial,וואַשינגטאָן סעמעטער,hebrew,linked,Q7971720,Washington Cemetery,,Jewish cemetery,cemetery,,,,,,,,,,,,,,
P-1-facs_212_tr_1741260189#province#1,person,1-facs_212_tr_1741260189,,province,burial,ניו יאָרק,hebrew,needs_review,Q60,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,32,New York (N.Y.),ניו יורק (נ.י.),40.712778,-74.006111,,,,,,,,province_role_mismatch,
P-1-facs_212_tr_1741260189#country#1,person,1-facs_212_tr_1741260189,,country,burial,אַמעריקע,hebrew,linked,Q30,United States,פאראייניקטע שטאטן פון אמעריקע,"sovereign state, constitutional republic, democratic republic, federal republic, superpower, country, historical unrecognized state",country,6421,United States,ארצות הברית,39.828175,-98.5795,,,,,,,,,
P-1-facs_248_tr_1741260287#place#1,person,1-facs_248_tr_1741260287,,place,burial,"הר הכרמל פון ""אַרבעטער רינג""",hebrew,linked,Q4285547,Mount Carmel Cemetery,,Jewish cemetery,cemetery,,,,,,,,,,,,,,
P-1-facs_248_tr_1741260287#settlement#1,person,1-facs_248_tr_1741260287,,settlement,burial,ניו יאָרק,hebrew,linked,Q60,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,32,New York (N.Y.),ניו יורק (נ.י.),40.712778,-74.006111,,,,,,,,,
P-1-facs_255_tr_1741260322#place#1,person,1-facs_255_tr_1741260322,,place,burial,בית עולם פֿון די יידישע טעאַטריקל עליינס,hebrew,linked,Q2341172,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,1692,West Bank,גדה מערבית,,,,,,,,,,,
P-1-facs_280_r_2#settlement#1,person,1-facs_280_r_2,,settlement,burial,נ. י.,hebrew,linked,Q60,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,32,New York (N.Y.),ניו יורק (נ.י.),40.712778,-74.006111,,,,,,,,,
P-1-facs_283_tr_1741260226#place#1,person,1-facs_283_tr_1741260226,,place,burial,בית עולם פֿון דער יידישער טעאָטריקעל-עלייענס,hebrew,linked,Q2341172,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,1692,West Bank,גדה מערבית,,,,,,,,,,,
