variant,script,corpora,occurrences,fields,contexts,suggested_qid,suggested_english,is_descriptor,attestation_ids
סיגאָר-סטאָר,hebrew,org,1,venues,,,,,O-ORG-C00983#venues#1
סיגעל סטריט,hebrew,org,1,addresses,,,,,O-ORG-C00338_Q01#addresses#1
סידאָר פאַרק בית עולם פֿון יידיש נאַציאָנאָלן אַרבעטער פֿאַרבאַנד,hebrew,person,1,place,burial,,,,P-3-facs_415_tr_1755856164#place#3
סיוויק פלעי האוז,hebrew,org,1,venues,,,,,O-ORG-C00364#venues#1
סיטי האָל,hebrew,org,1,venues,,,,,O-ORG-C01549#venues#1
סיים,hebrew,org,1,venues,,,,,O-ORG-C02700_Q01#venues#1
סיימאַן,hebrew,org,1,venues,,,,,O-ORG-C05594#venues#1
סילווערלעיק בית עולם,hebrew,person,1,place,burial,,,,P-4-facs_43_r#place#3
סימפּאָנישן אַרקעסטער,hebrew,org,1,venues,,,,,O-ORG-C02986_Q01#venues#1
סימפאָנישער אָרקעסטער און אָפּערע,hebrew,org,1,venues,,,,,O-ORG-C02000#venues#1
סימפעראָפּאָלער רעגירונגסשול,hebrew,org,1,venues,,,,,O-ORG-C06036#venues#1
סינגער האָל,hebrew,org,1,venues,,,,,O-ORG-C05397#venues#1
סינעמאַ-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C02476#venues#1
סלאָוואָצקי שטאָט-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C05583#venues#1
סלאָוויאַנסקי באַזאַר,hebrew,org,1,venues,,,,,O-ORG-C04025#venues#1
סלאָנעטשנאַ גאַס 33,hebrew,org,1,addresses,,,,,O-ORG-C01779_Q01#addresses#1
סמיטס טעאָטער,hebrew,org,1,venues,,,,,O-ORG-C05307#venues#1
סמיטס טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C05307#venues#2
סמיטס פּרינצעס-קלאָב,hebrew,org,1,venues,,,,,O-ORG-C06194#venues#1
סעוואָי-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C06279#venues#1
סעלווין טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C03843#venues#1
סעלווין-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C03843#venues#2
סענטער סקווער טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C04675#venues#1
סענטער-געזעלשאָפֿט,hebrew,org,1,venues,,,,,O-ORG-C01335#venues#1
סענטראָל טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C07256#venues#1
סענטראָל עוועניו,hebrew,org,1,addresses,,,,,O-ORG-C00459_Q05#addresses#1
סענטשודייטאָטער,hebrew,org,1,venues,,,,,O-ORG-C03844#venues#1
סעקאַנד-עוועניו-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00682#venues#6
סעקאַנד-עוועניוטעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00682#venues#7
סעקאָנד געוועניו,hebrew,org,1,venues,,,,,O-ORG-C06168#venues#1
סעקאָנד געוועניו און האוסטאָן סטריט,hebrew,org,1,addresses,,,,,O-ORG-C00340_Q01#addresses#2
סעקאָנד עוועניו און 2טע סטריט,hebrew,org,1,addresses,,,,,O-ORG-C00634#addresses#3
סעקאָנד עוועניו און צווייטע סטריט,hebrew,org,1,addresses,,,,,O-ORG-C00634#addresses#4
סעקאָנד עוועניו טאַטער,hebrew,org,1,venues,,,,,O-ORG-C00682#venues#9
סעקאָנד עוועניו-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00682#venues#12
סעקאָנד עוועניו-טעאָטער,hebrew,org,1,venues,,,,,O-ORG-C00682#venues#13
סעקאָנד-עוועניו טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00682#venues#14
סעקאָנד-עוועניו-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00682#venues#15
סעקאָנד-עוועניו-טעאָטער,hebrew,org,1,venues,,,,,O-ORG-C00682#venues#16
סעקאָנד-עוועניו-טעאטער,hebrew,org,1,venues,,,,,O-ORG-C00682#venues#17
סעקאָנד-עוועניו-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00682#venues#18
סעקאָנדגעוועניו-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C02486#venues#1
סעקאנד-געוועניו-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C02486#venues#2
סעקאנד-עוועניו-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00634#venues#3
ספּאָרט-צענטער,hebrew,org,1,venues,,,,,O-ORG-C07011#venues#1
ספּעדיינא קאָנצערט האָל,hebrew,org,1,venues,,,,,O-ORG-C00764#venues#1
ספּענצערס יידישער רעגירונגס-גימנאַזיע,hebrew,org,1,venues,,,,,O-ORG-C02179#venues#1
סקאַדווילער ישיבה,hebrew,org,1,venues,,,,,O-ORG-C07389#venues#1
"סקאַלאַ""-טעאַטער",hebrew,org,1,venues,,,,,O-ORG-C02168#venues#1
סקאַלאַ'-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00409_Q02#venues#3
סקאַלאַ'טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C03009#venues#3
סקאַלאַ-געביידע,hebrew,org,1,venues,,,,,O-ORG-C03535#venues#1
סקאַלאַ-טעאָטער,hebrew,org,1,venues,,,,,O-ORG-C00409_Q02#venues#5
סקאַלאַ-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00409_Q01#venues#5
סקאַלאַטעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00409_Q01#venues#6
סקאָלאָ-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00579#venues#14
סקאָלאָטעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00409_Q01#venues#9
עבריה,hebrew,org,1,venues,,,,,O-ORG-C05542#venues#1
עדוואַרד ר. גלענס סטודיאָ,hebrew,org,1,venues,,,,,O-ORG-C02199#venues#1
עדיוקיישאָנעל עלייענס,hebrew,org,1,venues,,,,,O-ORG-C07281#venues#1
עדמאַנטאַן בית עולם לאָנדאָן,hebrew,person,1,place,burial,,,,P-2-facs_372_tr_1744366832#place#3
עוואָנגעלישער שול,hebrew,org,1,venues,,,,,O-ORG-C03003#venues#1
על מאַראָקאָ האָטעל,hebrew,org,1,venues,,,,,O-ORG-C01185#venues#1
עלדאַראַדאָ,hebrew,org,1,venues,,,,,O-ORG-C00144_Q01#venues#1
עלדאַראַדאָ טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C02258#venues#4
עלדאָראַדאַ-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C02258#venues#5
עלדאָראַדאָ-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C07144#venues#1
עלדאָראָדאָ,hebrew,org,1,venues,,,,,O-ORG-C05507#venues#1
עלדאָראָדאָ-טעאָטער,hebrew,org,1,venues,,,,,O-ORG-C02258#venues#8
עלדאָראָדאָ-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00166#venues#3
עלדאָראדא,hebrew,org,1,venues,,,,,O-ORG-C05162#venues#4
עלדרידזש סטריט,hebrew,org,1,addresses,,,,,O-ORG-C05588#addresses#1
עלדריטש סטריט 133,hebrew,org,1,addresses,,,,,O-ORG-C04200#addresses#1
עלדריטשסטריט-מיוזיק-האָל,hebrew,org,1,venues,,,,,O-ORG-C04929#venues#1
עלוווינגס מעטראָפּאָליטאָן-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00770_Q02#venues#1
עלוויינגס טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00997#venues#1
עלווינגן,hebrew,org,1,venues,,,,,O-ORG-C01168#venues#1
עלווינגס מעטראָפּאָליטאן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00770_Q01#venues#1
עלווינגסטעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00997#venues#2
עליאָס גליקמאַן,hebrew,org,1,venues,,,,,O-ORG-C00677#venues#1
עליזעאום-טעאטער,hebrew,org,1,venues,,,,,O-ORG-C04344_Q01#venues#4
עליזעאום-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00103#venues#16
עליזעאוםטעאַטער,hebrew,org,1,venues,,,,,O-ORG-C04344_Q01#venues#5
"עליזעום""-טעאַטער",hebrew,org,1,venues,,,,,O-ORG-C03530#venues#1
עליזעום'-טעאָטער,hebrew,org,1,venues,,,,,O-ORG-C01511#venues#1
עליזעום-באַגאַטעלאַ,hebrew,org,1,venues,,,,,O-ORG-C01965#venues#1
עלסמיר טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01014#venues#1
עמבער קלוב,hebrew,org,1,venues,,,,,O-ORG-C07077#venues#1
עמינאַ,hebrew,org,1,venues,,,,,O-ORG-C03513#venues#1
עמפּייער טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C03500#venues#1
עמפיאָן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01027_Q01#venues#5
ענגלישן רעפּערטאָרי-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C05374#venues#1
ענגלישע שול,hebrew,org,1,venues,,,,,O-ORG-C05120#venues#1
ענגלישער בינע,hebrew,org,1,venues,,,,,O-ORG-C01543#venues#1
ענטינען אין דער היים,hebrew,org,1,venues,,,,,O-ORG-C07057#venues#1
עץ חיים-שול,hebrew,org,1,venues,,,,,O-ORG-C01182#venues#1
עק דזשייקאַ און וואָלינסקא,hebrew,org,1,venues,,,,,O-ORG-C01903_Q02#venues#1
עקסעלסיאָר,hebrew,org,1,venues,,,,,O-ORG-C00131_Q02#venues#2
עקסעלסיאָר טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00131_Q01#venues#4
עקסעלסיאָר-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C02464#venues#1
עקעדעמי אָוו מיוזיק,hebrew,org,1,venues,,,,,O-ORG-C00984#venues#1
ערמיטאַזש,hebrew,org,1,venues,,,,,O-ORG-C01966#venues#1
ערן-אַלייע פֿון יידישע שרייבער אויפֿן אַרבעטער רינג בית עולם,hebrew,person,1,place,burial,,,,P-6-facs_177_tr_1747825182#place#3
ערשטן יידישן אַטלאַנטניק גאַרדען,hebrew,org,1,venues,,,,,O-ORG-C05034#venues#1
ערשטן יידישן מלוכה-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00643_Q02#venues#1
ערשטן יידישן קאָמעדיע טאַטער,hebrew,org,1,venues,,,,,O-ORG-C05066#venues#1
ערשטע יידישע דראָמאַטישע שול,hebrew,org,1,venues,,,,,O-ORG-C06501#venues#1
ערשטער וואוינונג,hebrew,org,1,venues,,,,,O-ORG-C07387#venues#1
ערשטער ווילנער יידישע רעאַל-גימנאַזיע,hebrew,org,1,venues,,,,,O-ORG-C01246#venues#1
ערשטער יידישער וועלטלעכער שול,hebrew,org,1,venues,,,,,O-ORG-C02299#venues#1
ערשטער סטריט,hebrew,org,1,addresses,,,,,O-ORG-C00340_Q01#addresses#4
"פ""ג „מלכה""",hebrew,org,1,venues,,,,,O-ORG-C07280#venues#1
פּאַוויליאָן'-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C03253#venues#2
פּאַוויליאָן-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00005#venues#5
פּאַוויליאָן-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C03967#venues#3
פּאַלאַס-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01241_Q01#venues#1
פּאַלי-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C03848_Q02#venues#1
פּאַמול ווערדי,hebrew,org,1,venues,,,,,O-ORG-C01864#venues#3
פּאַסאַזש פון די ברידער הערמאַן,hebrew,org,1,addresses,,,,,O-ORG-C02664#addresses#1
פּאַפּיראָסן-פֿאַבריק,hebrew,org,1,venues,,,,,O-ORG-C03830#venues#1
פּאַפּסט טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01830#venues#1
פּאַקאָנָא בערג,hebrew,org,1,venues,,,,,O-ORG-C07385#venues#1
פּאַריזער יידישן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C03810#venues#1
פּאַריזער סאַרבאָנע,hebrew,org,1,venues,,,,,O-ORG-C00724#venues#1
פּאַריזער פֿאַליע דראַמאָטיק,hebrew,org,1,venues,,,,,O-ORG-C05521#venues#1
פּאָבליק און האָי-סקול,hebrew,org,1,venues,,,,,O-ORG-C01323_Q01#venues#1
פּאָבליק סקול,hebrew,org,1,venues,,,,,O-ORG-C00740#venues#1
פּאָבליק-סקול,hebrew,org,1,venues,,,,,O-ORG-C00740#venues#2
פּאָבליק-סקנל,hebrew,org,1,venues,,,,,O-ORG-C00740#venues#3
פּאָדזאַמטשע,hebrew,org,1,venues,,,,,O-ORG-C01224_Q01#venues#1
פּאָדזשאַמטשע,hebrew,org,1,venues,,,,,O-ORG-C01224_Q01#venues#2
פּאָדסראָקאַן,hebrew,org,1,venues,,,,,O-ORG-C00111#venues#4
פּאָווילאָן-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00005#venues#6
פּאָוויליאָן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C05466#venues#1
פּאָוויליאָן-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00556#venues#7
פּאָוויליאָןטעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00005#venues#9
פּאָלאַס,hebrew,org,1,venues,,,,,O-ORG-C03126#venues#1
פּאָלאַס-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01241_Q02#venues#1
פּאָלאַס-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01241_Q03#venues#1
פּאָלאָס-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C05776#venues#1
פּאָלאָקעוויטשעס פּאַפּיראָסן-פֿאַבריק,hebrew,org,1,venues,,,,,O-ORG-C02259#venues#1
פּאָליטעכניקום,hebrew,org,1,venues,,,,,O-ORG-C00170_Q03#venues#1
פּאָלקאָוואי בית-המדרש,hebrew,org,1,venues,,,,,O-ORG-C06122#venues#1
פּאָמול ווערדע,hebrew,org,1,venues,,,,,O-ORG-C01864#venues#5
פּאָנטעאָן-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C06470#venues#1
פּאָניאַטאָווער לאַגער,hebrew,org,1,venues,,,,,O-ORG-C02707#venues#1
פּאָרק-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C06432#venues#1
פּאוויליאָן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00556#venues#8
פּאוויליאָן-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00005#venues#10
פּאמול ווערדע,hebrew,org,1,venues,,,,,O-ORG-C01864#venues#6
פּובליק און האי-סקול,hebrew,org,1,venues,,,,,O-ORG-C01323_Q01#venues#2
פּויזנער קאָנסערוואַטאָריע,hebrew,org,1,venues,,,,,O-ORG-C03381#venues#1
"פּויליש טעאַטער ""פּאָפּולאַרני""",hebrew,org,1,venues,,,,,O-ORG-C01941#venues#1
פּוילישן טעמפּל-כאָר,hebrew,org,1,venues,,,,,O-ORG-C04635#venues#1
פּוילישן טעאַטער ״רעדוטאָ״,hebrew,org,1,venues,,,,,O-ORG-C02087#venues#1
פּוילישן סיים,hebrew,org,1,venues,,,,,O-ORG-C02700_Q02#venues#1
פּוילישן שטאָטטעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00441_Q01#venues#3
פּוילישן פֿאַרבאַנד אין קאַנאַדע,hebrew,org,1,venues,,,,,O-ORG-C06953#venues#1
פּוילישן פֿאָלקס-אוניווערזיטעט,hebrew,org,1,venues,,,,,O-ORG-C07198#venues#1
פּוילישן פֿאָלקס-טעאָטער,hebrew,org,1,venues,,,,,O-ORG-C02897#venues#2
פּוילישע דראַמאַטישע שול פֿון הריניעוויעצקא,hebrew,org,1,venues,,,,,O-ORG-C02714_Q01#venues#1
פּוילישעס טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C02162#venues#1
פּוילישעס טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C03208#venues#1
פּוילישער אָפּעדע,hebrew,org,1,venues,,,,,O-ORG-C06614#venues#2
פּוילישער בינע,hebrew,org,1,venues,,,,,O-ORG-C01834_Q02#venues#1
פּוילישער דראַמאַטישער שול פון הריניוויעצקאַ,hebrew,org,1,venues,,,,,O-ORG-C02714_Q02#venues#1
פּוילישער פראָווינץ,hebrew,org,1,venues,,,,True,O-ORG-C00585#venues#1
פּוילישער שול,hebrew,org,1,venues,,,,,O-ORG-C01161_Q02#venues#1
פּוילן און גאַליציע,hebrew,org,1,venues,,,,,O-ORG-C01597#venues#2
"פּוילן, ליטע און רוסלאַנד",hebrew,org,1,venues,,,,,O-ORG-C00847#venues#1
פּולס,hebrew,org,1,venues,,,,,O-ORG-C02215#venues#1
פּיטקיין עוועניו,hebrew,org,1,addresses,,,,,O-ORG-C01838_Q01#addresses#1
פּיינסקיס דרוקעריי,hebrew,org,1,venues,,,,,O-ORG-C06459#venues#1
פּילנער ביר-ברויעריי,hebrew,org,1,venues,,,,,O-ORG-C01876#venues#1
פּיעטריקאָווער 22,hebrew,org,1,addresses,,,,,O-ORG-C04429#addresses#1
פּיפּלס,hebrew,org,1,venues,,,,,O-ORG-C06625#venues#1
פּיפּלס 2210 טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00633_Q01#venues#2
פּיפּלס טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00633_Q01#venues#4
פּיפּלס מוזיק-האָל,hebrew,org,1,venues,,,,,O-ORG-C01692_Q01#venues#1
פּיפּלס מיוזיק האָל,hebrew,org,1,venues,,,,,O-ORG-C01165_Q02#venues#1
פּיפּלס פלעיס,hebrew,org,1,venues,,,,,O-ORG-C01897#venues#1
פּיפּלס-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00633_Q01#venues#6
פּיפּלסטעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00633_Q01#venues#7
פּיפּעלס טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C05395#venues#1
פּיפּעלס מוזיק-האָל,hebrew,org,1,venues,,,,,O-ORG-C01692_Q02#venues#1
פּיפּעלס-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01042#venues#2
פּיפלס-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00633_Q01#venues#9
פּיפלס-מוזיק-האָל,hebrew,org,1,venues,,,,,O-ORG-C01692_Q01#venues#2
פּסיכיאַטרישן אינסטיטוט,hebrew,org,1,venues,,,,,O-ORG-C06887#venues#1
פּעדאַגאָגישן אינסטיטוט,hebrew,org,1,venues,,,,,O-ORG-C00405_Q01#venues#1
פּעדאַגאָנישן אינסטיטוט,hebrew,org,1,venues,,,,,O-ORG-C00302#venues#1
פּעדאָגאַגישן אינסטיטוט,hebrew,org,1,venues,,,,,O-ORG-C00405_Q03#venues#1
פּעטער גאַס,hebrew,org,1,addresses,,,,,O-ORG-C03560#addresses#1
פּעטערבורגער,hebrew,org,1,venues,,,,,O-ORG-C06854#venues#1
פּעטערבורגער אוניווערזיטעט,hebrew,org,1,venues,,,,,O-ORG-C00906#venues#1
פּעטערבורגער אוניווערסיטעט,hebrew,org,1,venues,,,,,O-ORG-C00906#venues#2
פּעטערבורגער טעאַטער-שול,hebrew,org,1,venues,,,,,O-ORG-C03086#venues#1
פּעטערבורגער מוזיק-קאָנסערוואַטאָריע,hebrew,org,1,venues,,,,,O-ORG-C01551#venues#1
פּעטערבורגער קאָנסערוואַטאָריע,hebrew,org,1,venues,,,,,O-ORG-C00695#venues#1
פּעטראָגראָדער געוו. סובאָרין-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C04627#venues#1
פּעל מעל,hebrew,org,1,venues,,,,,O-ORG-C02142#venues#1
פּעלהאַם בעי געגנט,hebrew,org,1,venues,,,,,O-ORG-C07488#venues#1
פּעלהעם-סטריט,hebrew,org,1,addresses,,,,,O-ORG-C06098#addresses#1
פּעלהעם-סטריטקלאָב,hebrew,org,1,venues,,,,,O-ORG-C06098#venues#1
פּערדי טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C06200#venues#1
פּערי-טעאָ טער,hebrew,org,1,venues,,,,,O-ORG-C06593#venues#1
פּעריגען-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C04890#venues#1
פּערלאג יהואָש,hebrew,org,1,venues,,,,,O-ORG-C04136#venues#1
פּערעגאן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C07069#venues#1
פּראַגער כאָר-שול,hebrew,org,1,venues,,,,,O-ORG-C00771#venues#1
פּראַגער מענער-גימנאַזיע,hebrew,org,1,venues,,,,,O-ORG-C03880#venues#1
פּראַטער שטר. 60,hebrew,org,1,addresses,,,,,O-ORG-C03103#addresses#1
פּראַטער שטראַסע 60,hebrew,org,1,addresses,,,,,O-ORG-C06662#addresses#1
פּראָגרעסיוו-דראַמאָטיקקלאָב,hebrew,org,1,venues,,,,,O-ORG-C00155_Q04#venues#1
פּראָווינץ פֿון עסטרייך און דייטשלאַנד,hebrew,org,1,venues,,,,True,O-ORG-C05962#venues#1
פּראָטער שטראסע,hebrew,org,1,addresses,,,,,O-ORG-C00745#addresses#1
פּראָספּעקט,hebrew,org,1,venues,,,,,O-ORG-C06009#venues#1
פּראָספּעקט טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00595#venues#3
פּראָספּעקט טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00595#venues#4
פּראָספּעקטטעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00595#venues#7
פּראָפעסאָר האַקסיס סקול אָוו מיוזיק ענד דראַמאַ,hebrew,org,1,venues,,,,,O-ORG-C07277#venues#1
פּראָפעסיאנעלן יידישן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C02500_Q01#venues#1
פּראָפעסיאנעלע יידישע ליטעראַרישע טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C07283#venues#1
פּריוואַטער וואוינונג,hebrew,org,1,venues,,,,,O-ORG-C04778#venues#1
פּריוואַטער רעאַל-שול,hebrew,org,1,venues,,,,,O-ORG-C06907#venues#1
פּרינזעס-קלאָב,hebrew,org,1,venues,,,,,O-ORG-C01039#venues#1
פּרינץ אַלברעכט-מוזיי,hebrew,org,1,venues,,,,,O-ORG-C03516#venues#1
פּרינצעס טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01828_Q01#venues#1
פּרינצעס מיוזיק-האָל,hebrew,org,1,venues,,,,,O-ORG-C06338#venues#1
פּרינצעס סטריט נומער 3,hebrew,org,1,addresses,,,,,O-ORG-C00808#addresses#2
פּרינצעס סטריט קלוב,hebrew,org,1,venues,,,,,O-ORG-C07045#venues#1
פּרינצעס-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01828_Q02#venues#1
פּרינצעס-סטריט קלוב'-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C07056#venues#1
פּרינצעס-קלאָב,hebrew,org,1,venues,,,,,O-ORG-C01039#venues#2
פּרינצעס-קלוב צו סמיט,hebrew,org,1,venues,,,,,O-ORG-C04617#venues#1
פּרינצעסטעאַטער,hebrew,org,1,venues,,,,,O-ORG-C06293#venues#1
פּרינצעסקלוב,hebrew,org,1,venues,,,,,O-ORG-C02042#venues#1
פּרעזידענט-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01091#venues#2
פּ׳פ „פּראָגרעס“,hebrew,org,1,venues,,,,,O-ORG-C02255#venues#1
פֿאַבריק פֿון פראַשעק,hebrew,org,1,venues,,,,,O-ORG-C03315#venues#1
פֿאַוויליאָן-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00005#venues#11
פֿאַר דער שול,hebrew,org,1,venues,,,,,O-ORG-C05340#venues#1
פֿאַרווערטס,hebrew,org,1,venues,,,,,O-ORG-C00257_Q01#venues#3
פֿאַרלאַג,hebrew,org,1,venues,,,,,O-ORG-C07253#venues#1
פֿאַרלאָג פֿון ר. מאַזין,hebrew,org,1,venues,,,,,O-ORG-C00438#venues#1
פֿאָלקס אוניווערזיטעט,hebrew,org,1,venues,,,,,O-ORG-C01291_Q01#venues#1
פֿאָלקסטעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00096_Q01#venues#4
פֿילהאַרמאַניק-אוידיטאָריום,hebrew,org,1,venues,,,,,O-ORG-C01327#venues#1
פֿראָנט,hebrew,org,1,venues,,,,True,O-ORG-C01282#venues#1
פא'ש,hebrew,org,1,venues,,,,,O-ORG-C02113#venues#1
פאַוויליאָן,hebrew,org,1,venues,,,,,O-ORG-C01387_Q03#venues#4
פאַוויליאָן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00005#venues#12
פאַוויליאָן-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00005#venues#14
פאַוויליאָן-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00005#venues#15
פאַנטעאָן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01103#venues#1
פאַראיין פון יוגנט-ליבהאָבער דער קונסט,hebrew,org,1,venues,,,,,O-ORG-C07310#venues#1
פאַראייניקטע יידישע געווערקשאַפטן,hebrew,org,1,venues,,,,,O-ORG-C02030_Q02#venues#1
פאַריין פון יידישע ליטעראַטן און זשורנאַליסטן,hebrew,org,1,venues,,,,,O-ORG-C03333_Q02#venues#1
"פאַרלאַג „דאָס פּוילישע יידנטום""",hebrew,org,1,venues,,,,,O-ORG-C07214#venues#1
פאַרלאַג פֿון ש. גאָלדפֿאַרב,hebrew,org,1,venues,,,,,O-ORG-C04117#venues#1
פאַרלאָג „דער עמעס“,hebrew,org,1,venues,,,,,O-ORG-C00309#venues#1
פאַרלאָג „ליטעראַטור און קונסט“,hebrew,org,1,venues,,,,,O-ORG-C00301#venues#1
פאַרק וויאו מענאָר,hebrew,org,1,venues,,,,,O-ORG-C07397#venues#1
פאַרקוועי-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00683#venues#3
פאַרשטעט פון וואַרשע,hebrew,org,1,venues,,,,,O-ORG-C06406#venues#1
פאָבליק,hebrew,org,1,venues,,,,,O-ORG-C00635_Q01#venues#8
פאָבליק טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00635_Q01#venues#9
פאָבליק-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00635_Q02#venues#1
פאָדען,hebrew,org,1,venues,,,,,O-ORG-C05341#venues#1
פאָלקס-בינע,hebrew,org,1,venues,,,,,O-ORG-C00190_Q01#venues#3
פאָלקסבינע,hebrew,org,1,venues,,,,,O-ORG-C00190_Q01#venues#4
פאָמול ווערדי,hebrew,org,1,venues,,,,,O-ORG-C01864#venues#7
פאבריק פון י. ל. שערעשעווסקי,hebrew,org,1,venues,,,,,O-ORG-C03818#venues#1
פוילישן שטאָט-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C05731#venues#1
פולטאָן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C07285#venues#1
פוקלמאַנס טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00884#venues#1
פיבאָדי פלעי האוז,hebrew,org,1,venues,,,,,O-ORG-C01869#venues#1
פיגאַראַ טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C07249#venues#1
פילאָסאָפישן פאַקולטעט,hebrew,org,1,venues,,,,,O-ORG-C04205#venues#1
פילאדלפיער-אַרטש-סטריט-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00293#venues#9
פילהאַרמאָניע,hebrew,org,1,venues,,,,,O-ORG-C02006_Q01#venues#1
פילהאַרמאָניע-זאָל,hebrew,org,1,venues,,,,,O-ORG-C03591#venues#1
פילהאַרמאָניע-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00929_Q01#venues#1
פילהאַרמאָניק,hebrew,org,1,venues,,,,,O-ORG-C02006_Q02#venues#1
