current_official_name,name_1945_1991,name_1918_1939,name_pre_1918,region,north_latitude,east_longitude,km_from,dir_from,nearest_major_city,yiddish_transcription,born_there_yiddish,yiddish_name
Bron'ka (U),Bron'ka (R),Suchá-Broňka? (Cz),Szuhabaranka (H),Transcarpathia,48° 25',23° 16',40,ESE,Mukacheve,/BRONyKE/,---,בראָנקע
Bronivka (U),? (R),,,eastern Ukraine,49° 27',26° 27',35,W,Khmel'nyts'kyy,/BRO'NyEFKE/,־־,בראָניעווקע
Broshniv-Osada (U),Broshnev-Osada (R),Broszniów (P),,east Galicia,48° 59',24° 12',30,WNW,Ivano-Frankivs'k,/KRE'KhEVITs/? /BROShNyEV/?,־־,קרעכעוויץ? בראָשניעוו?
Brovary (U),Brovary (R),,,eastern Ukraine,50° 30',30° 46',10,NE,Kyiv,/BROVA'R/,־־,בראָוואַר
Brusyliv (U),Brusilov (R),,,eastern Ukraine,50° 17',29° 32',55,E,Zhytomyr,/BRESILEV/,"דוד איגנאַטאָוו, פּסח יודיטש, חיים ליובאָמירסקי (לובין), ישׂראל־חיים פּאָמעראַנץ, יוסף פּאַקראַסאָ","ברוסילעוו, ברעסילעוו"
Buchach (U),Buchach (R),Buczacz (P),?,east Galicia,49° 4',25° 24',45,ENE,Ivano-Frankivs'k,/BITShU'TSh/,"שמואל־יוסף עגנון, ראובֿן פֿעלדשוה, משה פֿערנהאָף??, עמנואל רינגעלבלום, נאָך??","ביטשוטש, בעטשאָטש?"
Budenets'? (U),Budenets (R),Budeneţ? (Rm),,north Bukovina,48° 5',25° 39',25,SW,Chernivtsi,/BU'DENITs/,־־,בודעניץ
Bukachivtsi? (U),Bukachevtsy (R),Bukaczowce? (P),,east Galicia,49° 15',24° 30',35,NNW,Ivano-Frankivs'k,/BA'?LKEVITs/? /BUKI'TsEVITs/?,מאיר (מאַקס) ווײַסבערג,באַלקע?וויץ? בוקיטשעוויץ?
Buky (U),Buki (R),,,eastern Ukraine,49° 5',30° 25',115,WSW,Cherkasy,/BUKI'/,"אַהרן־בן־דוד הדיין, משה כאַשטשעוואַצקי",בוקי
Burdyakivtsi (U),Burdyakovtsy (R),Burdiakowce (P),,east Galicia,48° 54',26° 10',60,NNE,Chernivtsi,/BERDIKOVITs/,־־,בערדיקאָוויץ
