kima_id	kima_rom	variant	source	attestations	contexts	wikidata_qid	notes
19386	Călărași (Moldova : Raionul)	קאַלאַראָש	Zylbercweig lexicon (Maaty reconciliation)	2-facs_325_r_4	birth	Q1014367	match_status:WIKIDATA
19544	Novohrad-Volynsʹkyĭ (Ukraine)	נאָווגאָראָד-וואָלינסק (זוויהיל)	Zylbercweig lexicon (Maaty reconciliation)	2-facs_342_tr_1744365731	birth	Q149024	match_status:WIKIDATA
24684	Nemakščiai (Lithuania)	נעמאָקשטי	Zylbercweig lexicon (Maaty reconciliation)	2-facs_343_tr_1744365797	birth	Q2037259	match_status:NAME_EXACT
9128	Piatra Neamt (Romania)	פּיאטראנאץ	Zylbercweig lexicon (Maaty reconciliation)	2-facs_350_r	birth	Q187945	match_status:NAME_EXACT
683	Botosani (Romania)	באָטאַשאַן	Zylbercweig lexicon (Maaty reconciliation)	2-facs_352_r_6	birth	Q178855	match_status:WIKIDATA
683	Botosani (Romania)	באָטאַשאן	Zylbercweig lexicon (Maaty reconciliation)	2-facs_361_tr_1744366818	birth	Q178855	match_status:WIKIDATA
7180	Newark (N.J.)	ניואַרק	Zylbercweig lexicon (Maaty reconciliation)	2-facs_365_tr_1744366833	birth	Q25395	match_status:WIKIDATA
1718	Uz︠h︡horod (Ukraine)	אונגוואַר	Zylbercweig lexicon (Maaty reconciliation)	2-facs_371_tr_1744366832	birth	Q156711	match_status:WIKIDATA
9048	Kam'i︠a︡net︠s︡ʹ-Podilʹsʹkyĭ (Ukraine)	קאמענעץ-פּאַדאָלסק	Zylbercweig lexicon (Maaty reconciliation)	2-facs_378_tr_1744366824	birth	Q193965	match_status:WIKIDATA
17888	Rymanów (Poland)	רימאַ	Zylbercweig lexicon (Maaty reconciliation)	2-facs_380_tr_1744366817	birth	Q2588425	match_status:WIKIDATA
82665	Krasnohrad (Ukraine)	קאָנסטאַנטינאָגראָד	Zylbercweig lexicon (Maaty reconciliation)	2-facs_382_tr_1744366863	birth	Q1104739	match_status:WIKIDATA
683	Botosani (Romania)	באָטאָשאַן	Zylbercweig lexicon (Maaty reconciliation)	2-facs_384_tr_1744366804|5-facs_178_tr_1736588957|7-facs_52_tr_1756359809	birth	Q178855	match_status:WIKIDATA
20319	Sculeni (Moldova)	סקוליען	Zylbercweig lexicon (Maaty reconciliation)	2-facs_391_tr_1744366854	birth	Q2633540	match_status:WIKIDATA
22390	Z︠H︡vanet︠s︡' (Ukraine)	זוואניץ	Zylbercweig lexicon (Maaty reconciliation)	2-facs_392_r_2	birth	Q4178401	match_status:NAME_EXACT
20257	Pogost-Zagorodskiy (Belarus)	פּאַהאַסט	Zylbercweig lexicon (Maaty reconciliation)	2-facs_397_r	birth	Q3917727	match_status:WIKIDATA
18363	Łomazy (Poland)	לאָמאזי	Zylbercweig lexicon (Maaty reconciliation)	2-facs_399_tr_1744366849	birth	Q152112	match_status:WIKIDATA
19898	Panemunė (Kaunas, Lithuania)	פּאַנעמונאָק	Zylbercweig lexicon (Maaty reconciliation)	2-facs_401_tr_1744366824	birth	Q303374	match_status:NAME_EXACT
9177	Pochaïv (Ukraine)	פּיטשאַיעוו	Zylbercweig lexicon (Maaty reconciliation)	2-facs_403_tr_1744366821	birth	Q149060	match_status:WIKIDATA
18683	Vetka (Belarus)	וויעטקע	Zylbercweig lexicon (Maaty reconciliation)	2-facs_408_tr_1744366806	birth	Q518559	match_status:WIKIDATA
14587	Kirovohrad (Ukraine)	יעליסאַוועטגראַד	Zylbercweig lexicon (Maaty reconciliation)	3-facs_12_tr_1752652590|6-facs_33_tr_1747746219|7-facs_18_tr_1756799204	birth	Q158292	match_status:WIKIDATA
347	Berez︠h︡any (Ukraine)	ברזשעזשאַני (בערזשאַן)	Zylbercweig lexicon (Maaty reconciliation)	3-facs_12_tr_1752652594	birth	Q793424	match_status:WIKIDATA
666	Góra Kalwaria (Poland)	גער	Zylbercweig lexicon (Maaty reconciliation)	3-facs_17_tr_1752653007	birth	Q985642	match_status:WIKIDATA
19949	Busenberg (Rhineland-Palatinate, Germany)	בוזענבערג	Zylbercweig lexicon (Maaty reconciliation)	3-facs_21_tr_1752653037	birth	Q560257	match_status:WIKIDATA
10820	Verkhnʹodniprovsʹk (Ukraine)	ווערכנאָדניעפּראָווסק	Zylbercweig lexicon (Maaty reconciliation)	3-facs_37_tr_1752653028	birth	Q639428	match_status:WIKIDATA
82089	Telenești (Moldova)	טעלענעשטי	Zylbercweig lexicon (Maaty reconciliation)	3-facs_92_tr_1753268305	birth	Q647051	match_status:WIKIDATA
10965	Mahili︠o︡ŭ (Belarus)	מאָהיליעוו אויפֿן דניעפר	Zylbercweig lexicon (Maaty reconciliation)	3-facs_92_r	birth	Q154835	match_status:WIKIDATA
10965	Mahili︠o︡ŭ (Belarus)	מאָהילעוו ביים דניעפר	Zylbercweig lexicon (Maaty reconciliation)	3-facs_115_tr_1753726028	birth	Q154835	match_status:WIKIDATA
18134	Khortyt︠s︡i︠a︡ (Ukraine)	כאָרטיץ	Zylbercweig lexicon (Maaty reconciliation)	3-facs_124_tr_1754820292	birth	Q372813	match_status:NAME_EXACT
10765	Zaporiz︠h︡z︠h︡i︠a︡ (Ukraine)	אַלעקסאַנדראָווסק	Zylbercweig lexicon (Maaty reconciliation)	3-facs_125_tr_1754820306	birth	Q157835	match_status:WIKIDATA
14587	Kirovohrad (Ukraine)	יעליסאַוועטגראד	Zylbercweig lexicon (Maaty reconciliation)	3-facs_128_tr_1754820296	birth	Q158292	match_status:WIKIDATA
753	Toronto (Ont.)	טאָראָנטאָ	Zylbercweig lexicon (Maaty reconciliation)	3-facs_128_tr_1754820291	birth	Q172	match_status:WIKIDATA
17744	Pidvolochysʹk (Ukraine)	פּאָדוואָלאָטשיסק	Zylbercweig lexicon (Maaty reconciliation)	3-facs_133_tr_1755157303	birth	Q2092533	match_status:WIKIDATA
19544	Novohrad-Volynsʹkyĭ (Ukraine)	נאָוואָגראָדוואָלינסק (זוויהיל)	Zylbercweig lexicon (Maaty reconciliation)	3-facs_145_tr_1754213821	birth	Q149024	match_status:WIKIDATA
383	Kobryn (Belarus)	קאָברין	Zylbercweig lexicon (Maaty reconciliation)	3-facs_155_tr_1754213834	birth	Q955992	match_status:WIKIDATA
