current_official_name,name_1945_1991,name_1918_1939,name_pre_1918,region,north_latitude,east_longitude,km_from,dir_from,nearest_major_city,yiddish_transcription,born_there_yiddish,yiddish_name,country,lat_dec,lon_dec,country,lat_dec,lon_dec
Bolekhiv (U),Bolekhov (R),Bolechów (P),,east Galicia,49° 4',23° 52',60,NW,Ivano-Frankivs'k,/BO'LEKhEV/,"מיכאל הענדעל, שמעון על(ל)ענדמאַן, נתן פֿרוכטער","באָלעכעוו, באָלעכאָוו",Ukraine,49.0667,23.8667,Ukraine,49.0667,23.8667
Bolhrad (U),Bolgrad (R),,,south Bessarabia,45° 41',28° 37',165,SW,Odesa,/BOLGRAD/,־־,באָלגראַד,Ukraine,45.6833,28.6167,Ukraine,45.6833,28.6167
Bolotnytsya (U),Bolotnitsa (R),,,eastern Ukraine,50° 49',32° 56',130,SE,Chernihiv,/BLO'TNITsE/,דוד־שלמה אָרלאָווסקי,בלאָטניצע,Ukraine,50.8167,32.9333,Ukraine,50.8167,32.9333
Boremel' (U),Baremel' (R),Boremel (P),,Volhynia,50° 28',25° 12',25,SSW,Luts'k,/BAREMLyE/ (stress?),מויני שולמאַן??,באַרעמליע,Ukraine,50.4667,25.2000,Ukraine,50.4667,25.2000
Borivka (U),Borovka (R),,,eastern Ukraine,48° 31',28° 15',30,E,Mohyliv,/BO'?RIFKE/?,־־,באָריווקע,Ukraine,48.5167,28.2500,Ukraine,48.5167,28.2500
Borivtsi (U),Borovtsy (R),Bărăuţi (Rm),,north Bukovina,48° 35',25° 38',35,NW,Chernivtsi,/BOREVE'Ts/,־־,באָרעוועץ,Ukraine,48.5833,25.6333,Ukraine,48.5833,25.6333
Borodyanka (U),Borodyanka (R),,,eastern Ukraine,50° 39',29° 56',35,NW,Kyiv,/BOREDYANKE/,־־,באָרעדיאַנקע,Ukraine,50.6500,29.9333,Ukraine,50.6500,29.9333
Borshchahivka (U),Borshchagovka (R),,,eastern Ukraine,49° 29',29° 32',75,NE,Vinnytsya,/BORShTShIFKE/,־־,באָרשטשיווקע,Ukraine,49.4833,29.5333,Ukraine,49.4833,29.5333
Borshchi (U),Borshchi (R),,,eastern Ukraine,47° 50',29° 29',15,SW,Balta,/BARShTSh/?,־־ (איין שטאָט?),באַרשטש?,Ukraine,47.8333,29.4833,Ukraine,47.8333,29.4833
Borshchiv (U),Borshchyov (R),Borszczów (P),,east Galicia,48° 48',26° 3',45,NNE,Chernivtsi,/BORShTShEV/,"מענדל בלומענטאַל, נחמן בלומענטאַל, יהודית בלומענטאַל־מײַזיל",באָרשטשעוו,Ukraine,48.8000,26.0500,Ukraine,48.8000,26.0500
Borshchivka (U),Borshchyovka (R),,,eastern Ukraine,,,,,?,/BO'RShTShIFKE/,יעקבֿ ווײַנבערג?,באָרשטשיווקע,Ukraine,,,Ukraine,,
