qid,label_en,label_yi,place_type,category,kima_id,kima_rom,kima_heb,lat,lon,n_attestations,n_person,n_org,n_flagged_mentions,fields,n_variants,variants,corpora,external_sources
Q170996,Galați,,"municipality of Romania, capital of county in Romania, big city, border city, port city",settlement,9907,Glatz (Germany),גלאץ (גרמניה),45.423333,28.042500,9,9,0,0,place,2,גאַלאַץ;גאָלאַץ,person,wikidata;kima
Q1715,Hannover (Germany),,,settlement,979,Hannover (Germany),הנובר (גרמניה),52.374444444444,9.7386111111111,1,0,1,0,settlements,1,האַנאָווער,org,wikidata;kima
Q172,Toronto,טאראנטא,"city, provincial or territorial capital city in Canada, single-tier municipality, big city, largest city, financial center, census division of Canada",settlement,753,Toronto (Ont.),טורונטו (אונטריו),43.670278,-79.386667,34,7,27,0,place;settlements,8,טאַראַנטאָ;טאַראַנטע;טאָראַָנטאָ;טאָראַנטאָ;טאָראָנטאָ;טאָראָׁנטאָ;טאָׁראָנטאָ;טאראנטא,org;person,wikidata;kima
Q1720,Mainz,מיינץ,"big city, college town, urban municipality in Germany, urban district of Rhineland-Palatinate",neighborhood,645,"Mainz (Rhineland-Palatinate, Germany)","מינץ (רינלנד-פלטינט, גרמניה)",,,1,1,0,0,place,1,מיינץ,person,wikidata;kima
Q172107,Polish–Lithuanian Commonwealth,פויליש-ליטווישע קאמאנוועלט,"sovereign state, historical country, rump state",country,,,,,,178,166,12,0,countries;country;province,5,"פּוי, ליש-ליטע;פּויליש ליטע;פּויליש-ליטע;פּוילישליטע;פּוילישלליטע",org;person,wikidata
Q1721808,Chechelnyk,,,settlement,,,,,,1,0,1,0,settlements,1,טשעטשעלניק,org,wikidata
Q1724334,Ay (France : Canton),,,settlement,18352,Ay (France : Canton),אי (צרפת : קנטון),49.055611111111,4.0038611111111,1,0,1,0,settlements,1,א'י,org,wikidata;kima
Q1726,Munich,,,settlement,234,Munich (Germany),מינכן (גרמניה),48.1375,11.575,10,0,10,0,settlements,2,מינכן;מינכען,org,wikidata;kima
Q1731,Dresden,,,settlement,627,Dresden (Germany),דרזדן (גרמניה),51.05089,13.73832,2,0,2,0,settlements,1,דרעזדען,org,wikidata;kima
Q173451,transistor–transistor logic,,"logic circuit technology family, technical standard",other,,,,,,3,3,0,3,place,2,הרובישאָוו;הרובעשאָוו,person,wikidata
Q1735,Innsbruck (Austria),,,settlement,7771,Innsbruck (Austria),אינסברוק (אוסטריה),47.268333333333,11.393333333333,1,0,1,0,settlements,1,אינסברוק,org,wikidata;kima
Q173591,Arad,,"municipality of Romania, capital of county in Romania, big city",settlement,8353,Arad (Romania),ארד (רומניה),,,2,2,0,0,place,1,אַראָד,person,wikidata;kima
Q174,São Paulo,סאו פאולא,"municipality of Brazil, largest city, big city, megacity, city",settlement,25,São Paulo (Brazil),סאו פאולו (ברזיל),-23.550394,-46.633947,8,5,3,0,place;settlements,6,סאַן פּאַול;סאַן פּאַולאַ;סאַן פּאַולאָ;סאַן פּאָולאָ;סאַן פאַולאָ;סאָן פּאולא,org;person,wikidata;kima
Q1741,Vienna,וויען,"federal capital, statutory city of Austria, federal state of Austria, metropolis, enclave, city-state, municipality of Austria, largest city, district of Austria, place with town rights and privileges",neighborhood,945,Vienna (Austria),וינה (אוסטריה),48.208333,16.372500,174,23,151,0,place;settlements,1,ווין,org;person,wikidata;kima
Q1746788,Toporów,,Q3558970,settlement,,,,,,1,1,0,0,place,1,טאָפּאַראָוו,person,wikidata
