source_value	english_name	wikidata_qid	kima_id	kima_rom	kima_heb	match_status	entry_ids	contexts	is_new_variant	source
זאָוויערטשע	Zawiercie	Q148827	18118	Zawiercie (Poland)	זבירציה (פולין)	WIKIDATA	1-facs_107_r_8	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
נעמעראָוו	Nemyriv	Q997335	27168	Nemyriv (Vinnyt︠s︡ʹka oblastʹ, Ukraine)	נמיריב (מחוז ויניצקה, אוקראינה)	WIKIDATA	1-facs_117_tr_1740520951	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
בערעסלאָוו	Beryslav	Q829317	25311	Beryslav (Ukraine)	בריסלב (אוקראינה)	WIKIDATA	1-facs_136_tr_1740521130|2-facs_297_tr_1744280788	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
ניקאָלאַיעוו	Mykolaiv	Q41572	10962	Mykolaïv (Mykolaïvsʹka oblastʹ, Ukraine)	מיקולייב (מחוז מיקולייב, אוקראינה)	WIKIDATA	1-facs_20_tr_1740515229|2-facs_307_r_1|2-facs_357_tr_1744365788|3-facs_28_tr_1752653013|3-facs_313_tr_1756043369|3-facs_351_tr_1756108349|6-facs_34_r_1|7-facs_16_r_2	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
מירגאָראָד	Myrhorod	Q161961	14421	Myrhorod (Poltavsʹka oblastʹ, Ukraine)	מירהורוד (מחוז פולטבה, אוקראינה)	WIKIDATA	1-facs_212_tr_1741260189	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
לובאָר	Liubar	Q2652151	85189	Liubar (Ukraine)	ליובר (אוקראינה)	WIKIDATA	1-facs_257_tr_1741260312	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
יאָנאָוו	Jonava	Q743218	17163	Jonava (Lithuania)	ינובה (ליטא)	WIKIDATA	1-facs_265_tr_1741260308	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
לובני	Lubny	Q269517	18544	Lubny (Ukraine)	לובני (אוקראינה)	WIKIDATA	1-facs_281_tr_1741260291|2-facs_60_tr_1744131442	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
טאָלטשיין	Tulchyn	Q997568	81438	Tulʹchyn (Ukraine)	טולצ'ין (אוקראינה)	WIKIDATA	1-facs_293_tr_1741260460	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
ניי-זאָגער	Nowy Sącz	Q802	435	Nowy Sącz (Poland)	צנז (פולין)	WIKIDATA	1-facs_298_tr_1741260461	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
מיקאָלייווע	Mykolaiv	Q41572	10962	Mykolaïv (Mykolaïvsʹka oblastʹ, Ukraine)	מיקולייב (מחוז מיקולייב, אוקראינה)	WIKIDATA	1-facs_299_tr_1741260425	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
זשיראָרדאָוו	Żyrardów	Q393251	11623	Żyrardów (Poland)	ז'ירדוב (פולין)	WIKIDATA	1-facs_335_tr_1741260385|2-facs_391_tr_1744366851|3-facs_374_tr_1755856111	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
קאָנסקאָיאָליע	Końskowola	Q1959	175	Końskowola (Poland)	קונסקה וולה (פולין)	WIKIDATA	1-facs_337_tr_1741260519	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
האַרבי	Harbin	Q42956	321	Harbin (China)	חרבין (סין)	WIKIDATA	1-facs_391_tr_1739715056	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
אַדזוד	Adjud	Q357784	26323	Adjud (Romania)	אדג'וד (רומניה)	NAME_EXACT	1-facs_412_TextRegion_1710153731052_73	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
זגערזש	Zgierz	Q104407	13277	Zgierz (Poland)	זגירז' (פולין)	WIKIDATA	1-facs_46_tr_1740521017|6-facs_112_tr_1747825141	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
באָרדיזשאָן	Burdujeni	Q18537031	27065	Burdujeni (Suceava, Romania)	בורדוזשן (סוצ'אבה, רומניה)	NAME_EXACT	1-facs_81_r_7	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
פלינסק	Pinsk	Q204150	409	Pinsk (Belarus)	פינסק (בלארוס)	WIKIDATA	1-facs_93_tr_1740521079	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
גלוכאָוו	Hlukhiv	Q864827	24693	Hlukhiv (Ukraine)	חלוחיב (אוקראינה)	WIKIDATA	2-facs_111_tr_1744279149|2-facs_69_tr_1744131410	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
