UID,EngName,Latitude,Longitude,HebName,blank5,Rishon,YS_id,IsWord,Notes,Sourcing,KaganID,JGenID,AltEng,USBGN,EngClean,_match_status,_match_method,_grade,_confidence,_sound_match,_flags,_kima_id,_kima_name_rom,_kima_name_heb,_distance_km,_candidates
US-00188,"Springfield, MA",42.1014831,-72.589811,ספרינגפיעלד,,,,,,Prenum - Minhat Yaakov,,,,,Springfield,name_exact,coords,B_review,0.85,True,,7968,Springfield (Mass.),ספרינגפילד (מסצ'וסטס),3.7,6033|7720|7968|8224|10092|10706|12701|13894|25370
US-00189,"Newark, NJ",40.735657,-74.1723667,נוארק,,,,,,Prenum - Minhat Yaakov,,,,,Newark,name_exact,coords,B_review,0.85,True,,7180,Newark (N.J.),ניוארק (ניו ג'רזי),1.1,32|7180
US-00194,"Bayonne, New Jersey",40.6687141,-74.1143091,בעיאן,,,,,,Prenum - Novardok Harkavy,,,,,Bayonne,name_exact,coords,B_review,0.85,True,,10150,Bayonne (France),ביון (צרפת),5805.8,10150|12682
US-00201,"St. Paul, MN",44.9537029,-93.0899578,סט פאל,,,,,,https://www.hebrewbooks.org/pdfpager.aspx?req=43498&st=&pgnum=6,,,,,St. Paul,name_exact,coords,B_review,0.85,True,,9466,Saint Paul (Minn.),סנט פאול (מינסוטה),1.1,9161|9466|12105
US-00201,"St. Paul, MN",44.9537029,-93.0899578,סט. פאול,,,,,,Prenum - Pri Yerucham,,,,,St. Paul,name_exact,coords,B_review,0.85,True,,9466,Saint Paul (Minn.),סנט פאול (מינסוטה),1.1,9161|9466|12105
US-00201,"St. Paul, MN",44.9537029,-93.0899578,סטפאול,,,,,,Prenum - Nitei Natan,,,,,St. Paul,name_exact,coords,B_review,0.85,True,,9466,Saint Paul (Minn.),סנט פאול (מינסוטה),1.1,9161|9466|12105
US-00201,"St. Paul, MN",44.9537029,-93.0899578,סיינט פאול,,,,,,Prenum - Kitzur Moreh Nevukhim,,,,,St. Paul,name_exact,coords,B_review,0.85,True,,9466,Saint Paul (Minn.),סנט פאול (מינסוטה),1.1,9161|9466|12105
US-00201,"St. Paul, MN",44.9537029,-93.0899578,סנטפאול,,,,,,Prenum - Divrei Radakh,,,,,St. Paul,name_exact,coords,B_review,0.85,True,,9466,Saint Paul (Minn.),סנט פאול (מינסוטה),1.1,9161|9466|12105
US-00205,"Astoria, Queens, NY",40.7643574,-73.9234618999999,אסטאריא,,,,,,Prenum - Kitzur Moreh Nevukhim,,,,,Astoria,name_exact,coords,B_review,0.85,True,,18571,"Astoria (New York, N.Y.)","אסטוריה (ניו יורק, ניו יורק)",0.0,11806|18571
US-00212,"Syracuse, NY",43.0481221,-76.1474243999999,זיראקוס,,,,,,Aharon Selig Pinkas Shadar,,,,,Syracuse,name_exact,coords,B_review,0.85,True,,7567,Syracuse (N.Y.),סירקיוז (ניו יורק),0.3,7567|8019|9393
US-00212,"Syracuse, NY",43.0481221,-76.1474243999999,סיראקיוז,,,,,,Prenum - Kitzur Moreh Nevukhim,,,,,Syracuse,name_exact,coords,B_review,0.85,True,,7567,Syracuse (N.Y.),סירקיוז (ניו יורק),0.3,7567|8019|9393
US-00212,"Syracuse, NY",43.0481221,-76.1474243999999,סעראקיוז,,,,,,Prenum - Divrei Radakh,,,,,Syracuse,name_exact,coords,B_review,0.85,True,,7567,Syracuse (N.Y.),סירקיוז (ניו יורק),0.3,7567|8019|9393
US-00212,"Syracuse, NY",43.0481221,-76.1474243999999,סערקיאז,,,,,,Aharon Selig Pinkas Shadar,,,,,Syracuse,name_exact,coords,B_review,0.85,True,,7567,Syracuse (N.Y.),סירקיוז (ניו יורק),0.3,7567|8019|9393
US-00212,"Syracuse, NY",43.0481221,-76.1474243999999,סערקיוז,,,,,,Aharon Selig Pinkas Shadar,,,,,Syracuse,name_exact,coords,B_review,0.85,True,,7567,Syracuse (N.Y.),סירקיוז (ניו יורק),0.3,7567|8019|9393
US-00212,"Syracuse, NY",43.0481221,-76.1474243999999,סקווירז,,,,,,Prenum - Atzei Zayit,,,,,Syracuse,name_exact,coords,B_review,0.85,True,,7567,Syracuse (N.Y.),סירקיוז (ניו יורק),0.3,7567|8019|9393
US-00216,"New Brunswick, NJ",40.4862157,-74.4518188,ניו בראנזוויק,,,,,,Prenum - Kitzur Moreh Nevukhim,,,,,New Brunswick,name_exact,coords,B_review,0.85,True,,6308,New Brunswick (N.J.),ניו ברנזוויק (ניו ג'רזי),0.6,6308|10626
US-00223,"Burlington, VT",44.4758825,-73.2120719999999,בוירלינגטאן,,,,,,Prenum - Even Yaakov,,,,,Burlington,name_exact,coords,B_review,0.85,True,,8564,Burlington (Vt.),בורלנגטון (ורמונט),2.0,8564|14738
US-00224,"Albany, NY",42.6525793,-73.7562317,אלבאני,,,,,,Prenum - Minhat Yaakov,,,,,Albany,name_exact,coords,B_review,0.85,True,,13141,Albany (N.Y.),אלבני (ניו יורק),0.9,10318|13141|16828
US-00224,"Albany, NY",42.6525793,-73.7562317,אלבינא,,,,,,Prenum - Divrei Radakh,,,,,Albany,name_exact,coords,B_review,0.85,True,,13141,Albany (N.Y.),אלבני (ניו יורק),0.9,10318|13141|16828
US-00224,"Albany, NY",42.6525793,-73.7562317,אלבענע,,,,,,Prenum - Beit Yehuda,,,,,Albany,name_exact,coords,B_review,0.85,True,,13141,Albany (N.Y.),אלבני (ניו יורק),0.9,10318|13141|16828
US-00225,"Troy, NY",42.7284117,-73.6917850999999,טראי,,,,,,Prenum - Beit Yehuda,,,,,Troy,name_exact,coords,B_review,0.85,True,,6756,Troy (N.Y.),טרוי (ניו יורק),0.4,2287|2316|6756
US-00228,"Rochester, NY",43.1565778999999,-77.6088465,ראטשהעסטער,,,,,,Prenum - Beit Yehuda,,,,,Rochester,name_exact,coords,B_review,0.85,True,,6371,Rochester (Minn.),רוצ'סטר (מינסוטה),1198.6,6371|10159
US-00228,"Rochester, NY",43.1565778999999,-77.6088465,ראטשעזטער,,,,,,Aharon Selig Pinkas Shadar,,,,,Rochester,name_exact,coords,B_review,0.85,True,,6371,Rochester (Minn.),רוצ'סטר (מינסוטה),1198.6,6371|10159
US-00228,"Rochester, NY",43.1565778999999,-77.6088465,ראטשעסטער,,,,,,Prenum - Divrei Radakh,,,,,Rochester,name_exact,coords,B_review,0.85,True,,445,Rochester (N.Y.),רוצ'סטר (ניו יורק),1.0,445|6371|10159
US-00228,"Rochester, NY",43.1565778999999,-77.6088465,ראכעסטער,,,,,,Prenum - Atzei Zayit,,,,,Rochester,name_exact,coords,B_review,0.85,True,,6371,Rochester (Minn.),רוצ'סטר (מינסוטה),1198.6,6371|10159
