kima_id	kima_rom	variant	source	fischer_uid	method	orig_status	dist_km	sourcing
16230	Strîmtura (Maramureș, Romania)	סורדעק	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00236	exact_geoverified	name_exact	4.8	Kagan
16230	Strîmtura (Maramureș, Romania)	סטרומטערע	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00236	exact_geoverified	name_exact	4.8	Kagan
16230	Strîmtura (Maramureș, Romania)	סטרימטערי	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00236	exact_geoverified	name_exact	4.8	Kagan
16230	Strîmtura (Maramureș, Romania)	סטרימטערע	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00236	exact_geoverified	name_exact	4.8	Kagan
16230	Strîmtura (Maramureș, Romania)	סטרעמטירי	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00236	exact_geoverified	name_exact	4.8	Kagan
884	Gherla (Romania)	גהערלא	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00237	coord_rearbitrated	fuzzy	1.9	Kagan
884	Gherla (Romania)	ס' אויוואר	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00237	coord_rearbitrated	fuzzy	1.9	Kagan
884	Gherla (Romania)	ס' איוואר	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00237	coord_rearbitrated	fuzzy	1.9	Added to Kagan
884	Gherla (Romania)	סאמאשאויוואר	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00237	coord_rearbitrated	fuzzy	1.9	Kagan
2372	Transylvania (Romania)	"ז""ב"	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00240	exact_geoverified	name_exact	112.2	Shoel UMeshiv
2372	Transylvania (Romania)	זיבן בערג	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00240	exact_geoverified	name_exact	112.2	RSK
2372	Transylvania (Romania)	זיבנבערגן	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00240	exact_geoverified	name_exact	112.2	JGen
72075	Săveni (Botoșani, Romania)	סאוון	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00247	coord_rearbitrated	fuzzy	0.7	JGen
72075	Săveni (Botoșani, Romania)	סיווען	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00247	coord_rearbitrated	fuzzy	0.7	RSK
72075	Săveni (Botoșani, Romania)	סיועל	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00247	coord_rearbitrated	fuzzy	0.7	RSK
18831	Darabani (Romania)	דאראבאן	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00248	exact_geoverified	name_exact	0.5	JGen
18831	Darabani (Romania)	דאראבאני	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00248	exact_geoverified	name_exact	0.5	Kagan
18831	Darabani (Romania)	דערבאן	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00248	exact_geoverified	name_exact	0.5	Kagan
18816	Vatra Dornei (Romania)	דארנא	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00253	exact_geoverified	name_exact	0.0	Kagan
18816	Vatra Dornei (Romania)	דארנע	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00253	exact_geoverified	name_exact	0.0	JGen
18816	Vatra Dornei (Romania)	וטרהדורניי	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00253	exact_geoverified	name_exact	0.0	JGen
6385	Cimpulung Moldovenesc (Romania)	קאמפעלונג	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00254	exact_geoverified	name_exact	1.2	JGen
6385	Cimpulung Moldovenesc (Romania)	קימפעלינג	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00254	exact_geoverified	name_exact	1.2	JGen
6385	Cimpulung Moldovenesc (Romania)	קמפולונג מולדובנסק	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00254	exact_geoverified	name_exact	1.2	JGen
