rid,label_yi,label_en,qid,lat,lon,occurrences,fields,_match_status,_match_method,_confidence,_kima_id,_kima_name_rom,_kima_name_heb,_distance_km,_candidates
R103,אַן אומבאַקאַנטן פלאַץ,,,,,1,place,no_match,,0.0,,,,,
R104,אַנדיזשאַן,,,,,1,settlements,no_match,,0.0,,,,,
R105,אַנהאָלט,,,,,1,province,fuzzy,fuzzy,1.0,,,,,18490
R106,אַסי,,,,,1,settlements,no_match,,0.0,,,,,
R107,אַסיטניאָשקע,,,,,1,place,no_match,,0.0,,,,,
R108,אַסיניאָשקי,,,,,1,place,no_match,,0.0,,,,,
R109,אַסכאַבאַד,,,,,1,settlements,no_match,,0.0,,,,,
R110,אַרבעטסלאַגער ה. ק. פּ.,,,,,1,place,no_match,,0.0,,,,,
R111,אַרגענטיינע,,,,,1,countries,no_match,,0.0,,,,,
R112,אָדעסער קאַטאַקאָמבעס,,,,,1,place,no_match,,0.0,,,,,
R113,אָהאיאָ,,,,,1,settlements,no_match,,0.0,,,,,
R114,אָטאַקיי,,,,,1,settlements,no_match,,0.0,,,,,
R115,אָטען,,,,,1,settlements,no_match,,0.0,,,,,
R116,אָלעקסאָנדדיער קרייז,,,,,1,province,no_match,,0.0,,,,,
R117,אָלעקסאָנדראָוו,,,,,1,settlements,fuzzy,fuzzy,0.571,,,,,24321
R118,אָנטאַריע,,,,,1,province,no_match,,0.0,,,,,
R119,אויף אַ ישוב לעבן ווילנע,,,,,1,place,no_match,,0.0,,,,,
R120,אויף אַ שייף,,,,,1,place,no_match,,0.0,,,,,
R121,אויף אַ שיף קיין דרום אַמעריקע,,,,,1,place,no_match,,0.0,,,,,
R122,אויף דער אַרישער זייט,,,,,1,place,no_match,,0.0,,,,,
R123,אויף דער רוסיש-עסטרייכישער גרענעץ,,,,,1,province,no_match,,0.0,,,,,
R124,אויפֿן וועג אַ היים,,,,,1,place,no_match,,0.0,,,,,
R125,אויפֿן וועג קיין דאַנציג,,,,,1,place,no_match,,0.0,,,,,
R126,אויפֿן וועג פֿון מינעאָפּאָלס קיין דענווער,,,,,1,place,no_match,,0.0,,,,,
R127,אומבאַקאַנטן פלאַץ,,,,,1,place,no_match,,0.0,,,,,
R128,אונגערן,,,,,1,countries,fuzzy,fuzzy,1.0,,,,,7547
R129,אונטער נויטרויער קאָמיטאט,,,,,1,province,no_match,,0.0,,,,,
R130,אוקר.,,,,,1,province,no_match,,0.0,,,,,
R131,אוקראַאנא,,,,,1,countries,fuzzy,fuzzy,1.0,,,,,5826|21515|9105|2324|17492
R132,אוקראייניש דערל קאָוואָליי,,,,,1,place,no_match,,0.0,,,,,
R133,איינער פֿון די יידישע געטאָס,,,,,1,place,no_match,,0.0,,,,,
R134,איכנאָוו,,,,,1,place,no_match,,0.0,,,,,
R135,אין אַ געטאָ,,,,,1,place,no_match,,0.0,,,,,
R136,אין אַ קעלער אויף סמאָטשע 1,,,,,1,place,no_match,,0.0,,,,,
R137,אין איינע פֿון די געטאָס,,,,,1,place,no_match,,0.0,,,,,
R138,אין די ווייסרוסישע וועלדער,,,,,1,place,no_match,,0.0,,,,,
R139,אין וואַגאָן,,,,,1,place,no_match,,0.0,,,,,
R140,אין שטוב,,,,,1,place,no_match,,0.0,,,,,
R141,אינזל סאָן-פֿראַנציסקאָ,,,,,1,place,no_match,,0.0,,,,,
R142,איעווער גוב.,,,,,1,province,no_match,,0.0,,,,,
R143,אלטשעווסק,,,,,1,settlements,no_match,,0.0,,,,,
R144,ב'א,,,,,1,settlements,no_match,,0.0,,,,,
R145,ב'אַ,,,,,1,settlements,no_match,,0.0,,,,,
R146,בּעסאַראַבּיע,,,,,1,province,fuzzy,fuzzy,0.667,,,,,1775
R147,באַמבערג,,,,,1,settlements,fuzzy,fuzzy,1.0,,,,,141|76816|6940
R148,באַקוו,,,,,1,settlements,fuzzy,fuzzy,1.0,,,,,78472|26530|507
R149,באַקוויער דיסטריקט,,,,,1,province,no_match,,0.0,,,,,
R150,באַקי,,,,,1,settlements,fuzzy,fuzzy,1.0,,,,,71489|18427|81136
R151,באַרקאָוו,,,,,1,settlements,fuzzy,fuzzy,1.0,,,,,17274|8380
R152,באָלטע,,,,,1,settlements,fuzzy,fuzzy,1.0,,,,,21649|18584|19240|75340|16344
R153,באָסלעוו,,,,,1,settlements,no_match,,0.0,,,,,
R154,באָסקאָוויץ,,,,,1,settlements,no_match,,0.0,,,,,
R155,באָראַ פּאַרק,,,,,1,settlements,fuzzy,fuzzy,1.0,,,,,16527
R156,באָראָ-פּאַרק,,,,,1,settlements,no_match,,0.0,,,,,
R157,באאליטק,,,,,1,place,no_match,,0.0,,,,,
R158,באנימאָלאָוואָווז,,,,,1,place,no_match,,0.0,,,,,
R159,באקאו,,,,,1,settlements,no_match,,0.0,,,,,
R160,בוכענוואָלד,,,,,1,place,no_match,,0.0,,,,,
R161,בוענאָס אַרעס,,,,,1,settlements,fuzzy,fuzzy,1.0,,,,,70597|7921|9397|510
R162,בוענאָס-אַרעס,,,,,1,settlements,no_match,,0.0,,,,,
R163,בוענאָס-איידעס,,,,,1,settlements,fuzzy,fuzzy,0.615,,,,,510
R164,בוקאַווינע,,,,,1,province,fuzzy,fuzzy,0.75,,,,,3056
R165,ביאַליסטאָקער געגנט,,,,,1,province,no_match,,0.0,,,,,
R166,ביז לעמבערג,,,,,1,province,no_match,,0.0,,,,,
R167,ביעלאַצערקאָוו,Bila Tserkva,Q33529,,,1,settlements,fuzzy,fuzzy,1.0,,,,,350
R168,ביעלאָ צערקאָוו,,,,,1,settlements,fuzzy,fuzzy,0.571,,,,,350
R169,ביראָ בידזשאַנער,,,,,1,settlements,no_match,,0.0,,,,,
R170,"בית ישראל"" האָספּיטאָל",,,,,1,place,no_match,,0.0,,,,,
R171,בית עלמין,,,,,1,place,no_match,,0.0,,,,,
R172,בעיאָן,,,,,1,settlements,no_match,,0.0,,,,,
R173,בעל[זשיץ,,,,,1,place,no_match,,0.0,,,,,
R174,בען,,,,,1,place,no_match,,0.0,,,,,
R175,בעסאַראַציע,,,,,1,province,no_match,,0.0,,,,,
R176,בעסאַראביער גוב.,,,,,1,province,no_match,,0.0,,,,,
R177,בעסאַרביע,,,,,1,province,fuzzy,fuzzy,0.667,,,,,1775
R178,בעסאָיאָביע,,,,,1,province,no_match,,0.0,,,,,
R179,בעסאָראַביע,,,,,1,province,fuzzy,fuzzy,0.667,,,,,1775
R180,בערעזאָווקע,,,,,1,settlements,no_match,,0.0,,,,,
R181,בערעזיין,,,,,1,settlements,fuzzy,fuzzy,1.0,,,,,19331|19332|18951|21644|20298
R182,בערעזין,,,,,1,settlements,no_match,,0.0,,,,,
R183,בראַזיליע,,,,,1,countries,fuzzy,fuzzy,0.667,,,,,7255
R184,בראַנוויל,,,,,1,settlements,fuzzy,fuzzy,0.833,,,,,6566
R185,בראַנווילער,,,,,1,settlements,fuzzy,fuzzy,0.625,,,,,6566
R186,בראַנסקער,Bronx,Q18426,,,1,settlements,name_exact,name_exact,0.95,10787,"Bronx (New York, N.Y.)","ברונקס (ניו יורק, ניו יורק)",,
R187,"בראַנקס, ניו-יאָרק",,,,,1,settlements,no_match,,0.0,,,,,
R188,בראָדער שפּיטאָל,,,,,1,place,no_match,,0.0,,,,,
R189,בראָזיליע,,,,,1,countries,fuzzy,fuzzy,0.667,,,,,7255
R190,בראָנסקער,Bronx,Q18426,,,1,settlements,name_exact,name_exact,0.95,10787,"Bronx (New York, N.Y.)","ברונקס (ניו יורק, ניו יורק)",,
R191,"בראָנקס, ניו-יאָרק",,,,,1,settlements,no_match,,0.0,,,,,
R192,בראָסלעווער קרייז,,,,,1,province,no_match,,0.0,,,,,
R193,בראנסק,,,,,1,settlements,fuzzy,fuzzy,1.0,,,,,10138|19550|12186
