kima_id	kima_rom	variant	variant_norm	n_datasets	datasets	sources	provenance
19927	Senica (Slovakia)	סעניצא	סעניצא	1	Fischer	Fischer:SK-00050	exact_geoverified
19927	Senica (Slovakia)	סעניצע	סעניצע	1	Fischer	Fischer:SK-00050	exact_geoverified
19929	Otynii︠a︡ (Ukraine)	אטוניא	אטוניא	1	Fischer	Fischer:UA-00292	exact_geoverified
19929	Otynii︠a︡ (Ukraine)	אטיניא	אטיניא	1	Fischer	Fischer:UA-00292	exact_geoverified
19929	Otynii︠a︡ (Ukraine)	אטיניע	אטיניע	1	Fischer	Fischer:UA-00292	exact_geoverified
19929	Otynii︠a︡ (Ukraine)	אטעניע	אטעניע	1	Fischer	Fischer:UA-00292	exact_geoverified
19929	Otynii︠a︡ (Ukraine)	אנטאניע	אנטאניע	1	Fischer	Fischer:UA-00292	exact_geoverified
19929	Otynii︠a︡ (Ukraine)	אנטיניא	אנטיניא	1	Fischer	Fischer:UA-00292	exact_geoverified
19929	Otynii︠a︡ (Ukraine)	אנטיניע	אנטיניע	1	Fischer	Fischer:UA-00292	exact_geoverified
19929	Otynii︠a︡ (Ukraine)	אנטניע	אנטניע	1	Fischer	Fischer:UA-00292	exact_geoverified
19935	Füzesgyarmat (Hungary)	פיזעשדיארמאט	פיזעשדיארמאט	1	Fischer	Fischer:HU-00343	exact_geoverified
19935	Füzesgyarmat (Hungary)	פעדעריארמוט	פעדעריארמוט	1	Fischer	Fischer:HU-00343	exact_geoverified
19949	Busenberg (Rhineland-Palatinate, Germany)	בוזענבערג	בוזענבערג	1	Zylbercweig	Zylbercweig:Q560257	3-facs_21_tr_1752653037
19958	Lovosice (Czech Republic)	לאבאזיץ	לאבאזיץ	1	Fischer	Fischer:CZ-00253	exact_geoverified
19958	Lovosice (Czech Republic)	לאבאסיץ	לאבאסיץ	1	Fischer	Fischer:CZ-00253	exact_geoverified
19958	Lovosice (Czech Republic)	לאוואסיטץ	לאוואסיטץ	1	Fischer	Fischer:CZ-00253	exact_geoverified
19958	Lovosice (Czech Republic)	לאוויסיץ	לאוויסיץ	1	Fischer	Fischer:CZ-00253	exact_geoverified
19958	Lovosice (Czech Republic)	לאווטיץ	לאווטיץ	1	Fischer	Fischer:CZ-00253	exact_geoverified
19962	Choszczno (Poland)	ארנסוואלד	ארנסוואלד	1	Fischer	Fischer:PL-00175	exact_geoverified
19962	Choszczno (Poland)	ארנסוואלדע	ארנסוואלדע	1	Fischer	Fischer:PL-00175	exact_geoverified
19962	Choszczno (Poland)	ארענסוואלד	ארענסוואלד	1	Fischer	Fischer:PL-00175	exact_geoverified
19974	Niemirów (Poland)	נימירוב	נימירוב	1	Fischer	Fischer:PL-00709	exact_geoverified
19977	Grodzisk Mazowiecki (Poland)	גראדזיטץ	גראדזיטץ	1	Fischer	Fischer:PL-00229	exact_geoverified
19977	Grodzisk Mazowiecki (Poland)	גראדזיסק	גראדזיסק	1	Fischer	Fischer:PL-00229	exact_geoverified
19977	Grodzisk Mazowiecki (Poland)	גראדזיצק	גראדזיצק	1	Fischer	Fischer:PL-00229	exact_geoverified
19977	Grodzisk Mazowiecki (Poland)	גראדזיק	גראדזיק	1	Fischer	Fischer:PL-00229	exact_geoverified
19977	Grodzisk Mazowiecki (Poland)	גראדזעסיק	גראדזעסיק	1	Fischer	Fischer:PL-00229	exact_geoverified
19977	Grodzisk Mazowiecki (Poland)	גראדזשיסק	גראדזשיסק	1	Fischer	Fischer:PL-00229	exact_geoverified
19977	Grodzisk Mazowiecki (Poland)	גראדיוזיסקע	גראדיוזיסקע	1	Fischer	Fischer:PL-00229	exact_geoverified
19977	Grodzisk Mazowiecki (Poland)	גראדיסק	גראדיסק	1	Fischer	Fischer:PL-00229	exact_geoverified
19977	Grodzisk Mazowiecki (Poland)	גראזיצק	גראזיצק	1	Fischer	Fischer:PL-00229	exact_geoverified
19979	Jemnice (Czech Republic)	יאמיניץ	יאמיניץ	1	Fischer	Fischer:CZ-00051	exact_geoverified
19979	Jemnice (Czech Republic)	יאמניטש	יאמניטש	1	Fischer	Fischer:CZ-00051	exact_geoverified
19979	Jemnice (Czech Republic)	יעמניטץ	יעמניטץ	1	Fischer	Fischer:CZ-00051	exact_geoverified
19981	Toporiv (Ukraine)	טאפעראב	טאפעראב	1	Fischer	Fischer:UA-00189	exact_geoverified
19981	Toporiv (Ukraine)	טאפראב	טאפראב	1	Fischer	Fischer:UA-00189	exact_geoverified
19981	Toporiv (Ukraine)	טאפרוב	טאפרוב	1	Fischer	Fischer:UA-00189	exact_geoverified
19981	Toporiv (Ukraine)	טאפריב	טאפריב	1	Fischer	Fischer:UA-00189	exact_geoverified
19981	Toporiv (Ukraine)	טאפריוו	טאפריוו	1	Fischer	Fischer:UA-00189	exact_geoverified
19981	Toporiv (Ukraine)	טאפרעוו	טאפרעוו	1	Fischer	Fischer:UA-00189	exact_geoverified
19981	Toporiv (Ukraine)	טופורוב	טופורוב	1	Fischer	Fischer:UA-00189	exact_geoverified
19981	Toporiv (Ukraine)	מאפאריב	מאפאריב	1	Fischer	Fischer:UA-00189	exact_geoverified
19986	Tarnogród (Poland)	טארנאגראד	טארנאגראד	1	Fischer	Fischer:PL-00145	exact_geoverified
19986	Tarnogród (Poland)	טארני גראד	טארניגראד	1	Fischer	Fischer:PL-00145 | Fischer:PL-00145	exact_geoverified
19986	Tarnogród (Poland)	טארנעגראד	טארנעגראד	1	Fischer	Fischer:PL-00145	exact_geoverified
19986	Tarnogród (Poland)	טרנגראד	טרנגראד	1	Fischer	Fischer:PL-00145	exact_geoverified
19987	Chełmża (Poland)	חעלמזשא	חעלמזשא	1	Fischer	Fischer:PL-00814	exact_geoverified
20006	Osieck (Poland)	אשעצק	אשעצק	1	Fischer	Fischer:PL-00644	exact_geoverified
20011	Kozin (Ukraine)	קאזין	קאזין	1	Fischer	Fischer:UA-00092	coord_rearbitrated
20015	Ostryna (Belarus)	אוסטרינה	אוסטרינה	1	Fischer	Fischer:BY-00134	exact_geoverified
20015	Ostryna (Belarus)	אסטרין	אסטרין	1	Fischer	Fischer:BY-00134	exact_geoverified
20016	Novyy Dvor (Belarus)	נאווידוואר	נאווידוואר	1	Fischer	Fischer:BY-00135	exact_geoverified
20017	Rozhanka (Belarus)	ראזאנקע	ראזאנקע	1	Fischer	Fischer:BY-00085	exact_geoverified
20017	Rozhanka (Belarus)	ראזשאנקע	ראזשאנקע	1	Fischer	Fischer:BY-00085	exact_geoverified
20017	Rozhanka (Belarus)	רוז'אנקה	רוזאנקה	1	Fischer	Fischer:BY-00085	exact_geoverified
20017	Rozhanka (Belarus)	רוזשענקע	רוזשענקע	1	Fischer	Fischer:BY-00085	exact_geoverified
20018	Vasilishki (Belarus)	ווא שילעסאק	וואשילעסאק	1	Fischer	Fischer:BY-00084	exact_geoverified
20018	Vasilishki (Belarus)	וואסיליסאק	וואסיליסאק	1	Fischer	Fischer:BY-00084	exact_geoverified
20018	Vasilishki (Belarus)	וואסילישאק	וואסילישאק	1	Fischer	Fischer:BY-00084	exact_geoverified
20018	Vasilishki (Belarus)	וואסילישוק	וואסילישוק	1	Fischer	Fischer:BY-00084	exact_geoverified
20018	Vasilishki (Belarus)	וואשיליסאק	וואשיליסאק	1	Fischer	Fischer:BY-00084	exact_geoverified
20018	Vasilishki (Belarus)	וואשילישאק	וואשילישאק	1	Fischer	Fischer:BY-00084	exact_geoverified
20018	Vasilishki (Belarus)	וואשילעשאק	וואשילעשאק	1	Fischer	Fischer:BY-00084	exact_geoverified
20022	Golʹshany (Belarus)	אלשאן	אלשאן	1	Fischer	Fischer:BY-00093	coord_rearbitrated
20022	Golʹshany (Belarus)	הולשאני	הולשאני	1	Fischer	Fischer:BY-00093	coord_rearbitrated
20026	Bircza (Poland)	בירטש	בירטש	1	Fischer	Fischer:PL-00015	exact_geoverified
20026	Bircza (Poland)	בירטשא	בירטשא	1	Fischer	Fischer:PL-00015	exact_geoverified
20026	Bircza (Poland)	בערטש	בערטש	1	Fischer	Fischer:PL-00015	exact_geoverified
20034	Hagen (Germany)	הגן	הגן	1	Fischer	Fischer:DE-00096	exact_geoverified
