unlinked_id,label_yi,label_en,qid,lat,lon,occurrences,fields
U287,נעשאַנאַל-טעאַטער,,,,,4,venues
U288,נעשאָנאַל טעאַטער,,,,,4,venues
U289,סאָסנאָוויץ,,,,,4,settlements
U290,סקאַלאַ-טעאַטער,,,,,4,venues
U291,עליזעום-טעאַטער,,,,,4,venues
U292,פּאָלטאַווער גוב.,,,,,4,province
U293,פּאָלטאָווער גוב.,,,,,4,province
U294,פּויקן,,,,,4,countries;country
U295,פּעטראָגראָד,,,,,4,settlements
U296,פילאַדעלפיע,,,,,4,settlements;venues
U297,פילאדעלפיע,,,,,4,settlements
U298,קאָוונער,,,,,4,province;settlements
U299,קאָפּענהאָגן,,,,,4,settlements
U300,קובאַ,,,,,4,countries;venues
U301,קרים,,,,,4,place;province;venues
U302,ראָוונע,,,,,4,settlements
U303,רוסישפּוילן,,,,,4,country;province
U304,ריגער געטאָ,Riga Ghetto,Q1370115,,,4,province;settlements;venues
U305,שטאָטישער שול,,,,,4,venues
U306,שיקאָגאַ,,,,,4,settlements
U307,תל אביב,,,,,4,settlements
U308,תלמוד תורה,,,,,4,venues
U309,אָדעאָן-טעאַטער,,,,,3,venues
U310,אוירווינג פלייס טעאַטער,,,,,3,venues
U311,אוירווינג פלייס-טעאַטער,,,,,3,venues
U312,אוירווינג-פלייס-טעאַטער,,,,,3,venues
U313,אורוגוויי,,,,,3,countries
U314,איטאָליע,,,,,3,countries
U315,באלטימאָר,,,,,3,settlements
U316,בודאפּעסט,,,,,3,settlements
U317,בוענאָס-אַיירעס,,,,,3,settlements
U318,בייערן,,,,,3,province;venues
U319,ביעלאָצערקאָוו,Bila Tserkva,Q33529,,,3,settlements
U320,בענדער,Bender,Q200639,,,3,settlements
U321,בערן,Bern,Q70,,,3,settlements
U322,בריסל,,,,,3,settlements
U323,גאַליציע און עסטרייך,,,,,3,venues
U324,גאָלאַץ,,,,,3,settlements
U325,גרויסן טעאַטער,,,,,3,venues
U326,גרויסעס טעאַטער,,,,,3,venues
U327,דזשעלנע גאַס,,,,,3,addresses
U328,דניעפּראָפּיעטראָווסק,Dnipro,Q43295,,,3,settlements
U329,דרום-רוסלאַנד,,,,,3,country;province
U330,האַוואַנאַ,Havana,Q1563,,,3,settlements
U331,האַמבורג,Hamburg,Q1055,,,3,settlements
U332,האָפּקינסאָן,,,,,3,venues
U333,האָפּקינסאָן טעאַטער,,,,,3,venues
U334,האָפּקינסאָן טעאַטער,,,,,3,venues
U335,הינטער מאָסקווע,,,,,3,place;province
U336,וואַרשא,Warsaw,Q270,,,3,settlements
U337,וואָלינער גובערניע,,,,,3,province
U338,וויטעבּסק,,,,,3,settlements
U339,ווילשייער איבעל טעאַטער,,,,,3,venues
U340,ווינדזאָר-טעאַטער,,,,,3,venues
U341,וולאַצלאַוועק,Włocławek,Q146521,,,3,settlements
U342,זשאָרדען ד'היווער,,,,,3,venues
U343,זשיגניצאַ,,,,,3,venues
U344,זשיגניצע,,,,,3,venues
U345,טאַראַנטאָ,,,,,3,settlements
U346,טאַרנאָוו,Tarnów,Q102317,,,3,settlements
U347,טאָמאַשאָוו,,,,,3,settlements
U348,טאָשקענט,,,,,3,settlements
U349,טורן-האָל,,,,,3,venues
U350,טיפליס,Tbilisi,Q994,,,3,settlements
U351,טעמפּל,,,,,3,venues
U352,טשעלסי,Chelsea,Q3245,,,3,settlements
U353,יאַס,,,,,3,settlements
U354,יאָהאַנעסבורג,,,,,3,settlements
U355,יאָס',Iași,Q46852,,,3,settlements
U356,יו. עס. איי.,,,,,3,countries
U357,יונײַטעד סטייטס,,,,,3,countries
U358,יידישן מלוכה-טעאַטער,,,,,3,venues
U359,ייוואָ,,,,,3,venues
U360,כאָסטאָן,Boston,Q100,,,3,settlements
U361,כאָר,,,,,3,settlements;venues
U362,כאָר-שול,,,,,3,venues
U363,לאדזש,,,,,3,settlements
U364,לויוויטש,Łowicz,Q372680,,,3,settlements
U365,ליבערטי טעאַטער,,,,,3,venues
U366,לידע,Lida,Q188317,,,3,settlements
U367,ליריק,,,,,3,venues
U368,מאַנטשעסטער,,,,,3,settlements
U369,מאַריענבאַד,Mariánské Lázně,Q183689,,,3,settlements
U370,מאָהיל. גוב.,,,,,3,province
U371,מאָהילעווער גובערניע,,,,,3,province
U372,מוראַנאָווער טעאַטער,,,,,3,venues
U373,מיטלאַזיע,,,,,3,place;settlements
U374,מינכן,Munich,Q1726,,,3,settlements
U375,מלאַווע,Mława,Q572394,,,3,settlements
U376,מלוכה-טעאַטער,,,,,3,venues
U377,מעטראָפּאָליטאָן-אָפּערע,,,,,3,venues
U378,מעטראָפּאָליטאָן-טעאַטער,,,,,3,venues
U379,מערב-דייטשלאַנד,,,,,3,countries;venues
U380,נאָוואָליפּיע 72,,,,,3,addresses;place
U381,נאָוואָשטשי-טעאַטער,,,,,3,venues
U382,ניו-יאָרק,,,,,3,settlements
U383,ניוּ-יאָרק,,,,,3,settlements
U384,סאַנדאמיר,Sandomierz,Q486948,,,3,settlements
U385,סאָוויעטרוסלאַנד,,,,,3,countries;venues
U386,סאָפאָלק סטריט,,,,,3,addresses
U387,סווואָלקער געגנט,,,,,3,province
U388,סטאָניסלאָוואָוו,,,,,3,country;settlements
U389,סינאַגאָגע,,,,,3,venues
U390,סעקאַנד עוועניו-טעאַטער,,,,,3,venues
U391,סעקאָנד עוועניו טעאַטער,,,,,3,venues
U392,סקאַלאַ,,,,,3,venues
U393,סקאָלאָ-טעאַטער,,,,,3,venues
U394,עליזעאום-טעאַטער,,,,,3,venues
U395,עמפּייר-טעאַטער,,,,,3,venues
U396,עסטאָניע,,,,,3,province
U397,עסטלאַנד,,,,,3,countries;place
U398,פּאָדאָל,,,,,3,province
U399,פּאָדאָל. גוב.,,,,,3,province
U400,פּאָדאָליער גוב.,,,,,3,province
U401,פּאָדאָליער געגנט,,,,,3,province
U402,פּאָדאָלער גוב.,,,,,3,province
U403,פּאָלאָצק,,,,,3,settlements
U404,פּאָלטאָוואַ,Poltava,Q125286,,,3,settlements
U405,פּאָלטאָוואָ,Poltava,Q125286,,,3,settlements
U406,פּויליש ליטע,,,,,3,province
U407,פּיפּלס טעאַטער,,,,,3,venues
U408,פּלאָצק,,,,,3,settlements
U409,פּלאָצקער גוב.,,,,,3,province
U410,פֿראַנקרייך,,,,,3,countries
U411,פינסקער געגנט,,,,,3,province
U412,קאַאייראָ,Cairo,Q85,,,3,settlements
U413,קאַאיראָ,Cairo,Q85,,,3,province;settlements
U414,קאַלישער גוב.,,,,,3,province
U415,קאַראָווע גאַס,,,,,3,addresses
U416,קאָנאָדע,,,,,3,countries
U417,קאנאַדע,,,,,3,countries
U418,קהלה,,,,,3,venues
U419,קולטור-ליגע,,,,,3,venues
U420,קונסט-ווינקל,,,,,3,venues
U421,קיעווער,,,,,3,settlements;venues
U422,קיעווער געגנט,,,,,3,province;venues
U423,קליוולענד,Cleveland,Q5083,,,3,settlements
U424,קרולעווסקאַ גאַס,,,,,3,addresses
U425,ראָיאַל-טעאַטער,,,,,3,venues
U426,ראָלאַנד טעאַטער,,,,,3,venues
U427,ראָסטאָוו,Rostov-on-Don,Q34125,,,3,settlements
U428,רוסלאַנד און בעסאַראַביע,,,,,3,settlements
U429,רעאַל-שול,,,,,3,venues
U430,שול,,,,,3,venues
U431,שיקאַגער,,,,,3,settlements
U432,שעדלעצער גוב.,,,,,3,province
U433,שעדלעצער געגנט,,,,,3,province
U434,פֿאַראייניקטע שטאָטן,,,,,3,countries;venues
U435,פֿאָלקס-טעאַטער,,,,,3,venues
U436,Detroit,,,,,2,venues
U437,Second Avenue,,,,,2,addresses
U438,"א""י",,,,,2,countries;venues
U439,אַטלאַנטאָ,Atlanta,Q23556,,,2,settlements
U440,אַמסטערדאָם,Amsterdam,Q727,,,2,settlements
U441,אַמפיאָן-טעאַטער,,,,,2,venues
U442,אַנטווערפּן,Antwerp,Q12892,,,2,settlements
U443,אַנטווערפּען,Antwerp,Q12892,,,2,settlements
U444,אַרבעטער-היים,,,,,2,venues
U445,אַרטיסטן-קיך,,,,,2,venues
U446,אַרטיסטן-פֿאַריין,,,,,2,venues
U447,אַרטש סטריט,,,,,2,venues
U448,אַרטש-סטריט-טעאַטער,,,,,2,venues
U449,אָבאָזשנע גאַס,,,,,2,addresses
U450,אָדעאָן,,,,,2,venues
U451,אָדעסע,Odesa,Q1874,,,2,settlements
